sp004-000001_KS_11	अभ्यर्थ्येति
sp004-001043_KS_12	दृगञ्जनस्य दृष्टिकज्जलस्य भञ्जनम् भञ्जकम्
sp004-001044_KS_12	कर्तरि ल्युट्
sp004-001045_KS_12	मृतभर्तृकतया कज्जलधारणस्य अनुचितत्वात् इति भावः
sp004-001046_KS_12	अत एव
sp004-001047_KS_12	जगद्भ्यः अभयदम् अभयदातारम् उमापतेः हरस्य
sp004-001048_KS_12	कुमारम् पुत्रम् प्राप्य सद्यः सहसा प्रमोदे प्रकृष्टोन्मोदे परः आसक्तः अभवत् जातः
sp004-001049_KS_12	तथा हि
sp004-001050_KS_12	अभिमते मनोरथे
sp004-001051_KS_12	पूर्णे सति मुदा प्रीत्या निमित्तेन को वा न माद्यति
sp004-001052_KS_12	अपि तु सर्व एव उन्मत्तो भवति इत्यर्थः
sp004-001053_KS_12	अत्र सामान्येन विशेषसमर्थनरूपः अर्थान्तरन्यासह अलङ्कारः
sp004-001054_KS_12	इदम् हरिणीछन्दः
sp004-001055_KS_12	रसयुगहयैर्न्सौ म्नौ लो गो यदा हरिणी तदा इति लक्षणात्
sp004-001056_KS_12	इति श्रीपर्वणीकरोपनामक श्रीलक्ष्मणभट्टात्मज सतीगर्भसम्भव श्रीसीतारामकविविरचितया सञ्जीविनीसमाख्यया व्याख्यया समेतः
sp004-001057_KS_12	श्रीकालिदाससकृतौ कुमारसम्भवे महाकाव्ये कुमारसैनापत्यवर्णनम् नाम द्वादशः सर्गः
sp004-001058_KS_15	सेनापतिम् इति
sp004-001059_KS_15	बलस्य बलनामकराक्षसस्य शात्रवः शत्रुरेव शात्रवः
sp004-001060_KS_15	प्रज्ञादित्वात् स्वार्थे अण्
sp004-001061_KS_15	इन्द्रः
sp004-001062_KS_15	सेनापतिम् पृतनाधिपम्
sp004-001063_KS_15	अन्धकद्विषः हरस्य नन्दनम् पुत्रम् कार्तिकेयम्
sp004-001064_KS_15	पुरस्कृत्य अग्रे कृत्वा सैन्यैः सह युधे युद्धाय
sp004-001065_KS_15	युद्धम् कर्तुमिति यावत्
sp004-001066_KS_15	क्रियार्थ इत्यादिना चतुर्थी
sp004-001067_KS_15	उपैति आयाति
sp004-001068_KS_15	इत्येवम्भूता हृदयप्रकम्पिनी हृदयम् वेपयन्ती किंवदन्ती जनश्रुतिः
sp004-001069_KS_15	किंवदन्ती जनश्रुतिः इत्यमरः
sp004-001070_KS_15	सुरद्विषाम् दैत्यानाम् तारकनगरनिवासिनाम् पुरः अग्रे अभूत्
sp004-001071_KS_15	सर्गेस्मिन् इन्द्रवंश उपजाती वृत्ते
sp004-001072_KS_15	चमूप्रभुम् इति
sp004-001073_KS_15	महासुराः तारकनगरनिवासिनः दैत्याः विजयश्रिया विजयलक्ष्म्या श्रितम् सेवितम्
sp004-001074_KS_15	एतेन अस्य कादाचित्कोऽपि पराभवः न भवतीति ध्वनितम्
sp004-001075_KS_15	अत एव चमूप्रभुम् सेनाधिपम् मन्मथमर्दनस्य शिवस्य आत्मजम्
sp004-001076_KS_15	अनेन यदीयः पिता सकलभुवनजेतुः मकरध्वजस्यापि प्लोषिता
sp004-001077_KS_15	अतः अस्य किम् वक्तव्यम्
sp004-001078_KS_15	कार्यम् निदानाद्धि गुणान् अधीते
sp004-001079_KS_15	प्रवर्तितो दीप इव प्रदीपात् इत्यादिन्यायेन तारकेणापि अयम् दुर्जेयः इति ध्वनितम्
sp004-001080_KS_15	तम् कार्तिकेयम् विजित्वरीभिः जयशीलाभिः
sp004-001081_KS_15	जयतेः इण्नश्जिसर्तिभ्यः क्वरप् इति क्वरपि परे
sp004-001082_KS_15	ह्रस्वस्य पिति इति तुकि कृते टिड्ढाणञ् इत्यनेन ङीप्
sp004-001083_KS_15	सुराणाम् देवानाम् पृतनाभिः सेनाभिः सः आगतम् आयातम्
sp004-001084_KS_15	श्रुत्वा चिरम् बहुकालपर्यन्तम् चित्ते मनसि चुक्षुभिरे सञ्चेलुः
sp004-001085_KS_15	बिभ्युरित्यर्थः
sp004-001086_KS_15	क्षुभ सञ्चलने कर्तरि लिट्
sp004-001087_KS_15	अत्र वाच्यापेक्षया व्यङ्ग्यार्थस्य अधिकचमत्कृतिजनकत्वात् ध्वनिः
sp004-001088_KS_15	समेत्येति
sp004-001089_KS_15	दैत्याधिपतेः तारकस्य पुरे नगरे स्थिताः ते महासुराः समेत्य समुदित्य
sp004-001090_KS_15	सङ्घीभूय इति यावत्
sp004-001091_KS_15	तथा किरीटेषु मुकुटेषु बद्धः अञ्जलिः यैः तथा सन्तः
sp004-001092_KS_15	प्रणम्य युयुत्सुना योद्धुम् इच्छुना मन्मथशत्रोः
sp004-001093_KS_15	शिवस्य सूनुना पुत्रेण कुमारेण सह आगतम् जम्भजितम् इन्द्रम् न्यवेदयन्
sp004-001094_KS_15	शशम्भुपुत्रः महेन्द्रः आगतः इति निवेदितवन्तः इत्यर्थः
sp004-001095_KS_15	दासीकृतेति
sp004-001096_KS_15	दासीकृतम् भृत्यीकृतम्
sp004-001097_KS_15	दासो भृत्ये च शूद्रे च इति मेदिनी
sp004-001098_KS_15	अशेषजगत्त्रयम् समस्तलोकत्रितयम् येन तथाभूतम् माम् शचीपतिः इन्द्रः
sp004-001099_KS_15	कतिशः कतिवारम् युद्धे न जिगाय जयति स्म
sp004-001100_KS_15	अपि तु अनेकवारम् जिगाय इति काकुः
sp004-001101_KS_15	जयनिषेधस्य काक्वाश्रितत्वात् जयनिषेध एव ध्वन्यते
sp004-001102_KS_15	साम्प्रतम् वर्तमानकाले गिरीशपुत्रस्य कुमारस्य बलेन वीर्येण तदाश्रयेण इत्यर्थः
sp004-001103_KS_15	ध्रुवम् निश्चयेन विजेता विजेष्येते इति सः तारकः काकुतः
sp004-001104_KS_15	काक्व अहसत् जहास
sp004-001105_KS_15	कदाचिदपि न विजेष्यते इति ध्वन्यते
sp004-001106_KS_15	तत इति
sp004-001107_KS_15	ततः अनन्तरम् क्रुधा क्रोधेन निमित्तेन विस्फुरितः उच्छ्वसितः अधरः अनूर्ध्वः ओष्ठः यस्य
sp004-001108_KS_15	प्रसिद्धम् चैतत् यत् क्रोधवशात् अधरविस्फुरणम्
sp004-001109_KS_15	तथा अधरः हीनः
sp004-001110_KS_15	नीच इति यावत्
sp004-001111_KS_15	अधरस्तु पुमानोष्ठे हीने अनूर्ध्वम् च वाच्यवत् इति मेदिनी
sp004-001112_KS_15	विस्फुरिताधरश्च असौ अधरश्चेति विशेषणसमासः
sp004-001113_KS_15	तथा त्रिलोक्याः जय एव केलिः क्रीडा
sp004-001114_KS_15	तस्याम् लालसा इच्छा यस्य
sp004-001115_KS_15	अनायासेनैव त्रिलोकीम् जेष्यामि इत्यभिमानवान् इत्यर्थः
sp004-001116_KS_15	एवम्भूतः सः तारकः असुरः दर्पिताः सञ्जातदर्पाः तथा दोर्बलेन
sp004-001117_KS_15	भुजबलेन उद्धतान् प्रगल्भान् सेनापतीन् सेनाधिपान् युधे युद्धाय
sp004-001118_KS_15	युद्धम् कर्तुम् इत्यर्थः
sp004-001119_KS_15	सन्नहनार्थम् सन्नद्धीभवनार्थम् च आदिशत् आजज्ञे
sp004-001120_KS_15	युद्धे इति पाठे युद्धे विषये त्रिलोकीजयकेलि लालासः इत्यन्वयितव्यम्
sp004-001121_KS_15	महेति
sp004-001122_KS_15	उदायुधाः उद्धृतानि आयुधानि शस्त्राणि यैः एवम्भूताः
sp004-001123_KS_15	महाचमूनाम् महतीनाम् सेनानाम् अधिपाः स्वामिनः सद्यः त्वरितम् सुतराम् सन्नह्य
sp004-001124_KS_15	सन्नद्धाः भूत्वा विनम्राः ये क्षितिपालाः राजानः तैः सङ्कुले व्याप्ते
sp004-001125_KS_15	तस्य तारकस्य यत् अङ्गनद्वारम् चत्वरप्रवेशद्वारम् तस्य वरः श्रेष्ठः यः प्रकोष्ठकः अन्तरम्
sp004-001126_KS_15	मध्यमिति यावत्
sp004-001127_KS_15	प्रकोष्ठो मणिबन्धे स्यात् कूर्परस्यान्तरेऽपि च
sp004-001128_KS_15	भूपकक्षान्तरेपि स्यात् इति मेदिनी
sp004-001129_KS_15	तत्र समन्ततः सर्वतः तस्थुः
sp004-001130_KS_15	नृपम् प्रतीक्षमाणाः इति शेषः
sp004-001131_KS_15	समन्ततस्तु परितः सर्वतो विष्वगित्यपि इत्यमरः
sp004-001132_KS_15	स इति
sp004-001133_KS_15	सः राजा तारकः पुरः अग्रे द्वारपालेन प्रदर्शितान् कृतानतीन् बाहुवरान्
sp004-001134_KS_15	बाहवः वराः श्रेष्ठाः येषाम् तथोक्तान् अधिष्ठितान्
sp004-001135_KS_15	द्वारे इति शेषः
sp004-001136_KS_15	महाहवरूपिणः अम्भोधेः समुद्रस्य विधूनने कम्पने उद्धतान् प्रगल्भान्
sp004-001137_KS_15	महावीरान् इत्यर्थः
sp004-001138_KS_15	सङ्ग्रामाभ्यागमाहवाः इत्यमरः
sp004-001139_KS_15	बहून् पृतनाधिपान् सेनापतीन् ददर्श दृष्टवान्
sp004-001140_KS_15	अदभ्रम् बहुलम् बहु इत्यमरः
sp004-001141_KS_15	बलीति
sp004-001142_KS_15	अथ अनन्तरम् बली वीर्यवान् सः तारकः बलारातेः इन्द्रस्य सम्बन्धिनः बलस्य सैन्यस्य
sp004-001143_KS_15	बलम् गन्धरसे रूपे स्थामनि स्थौल्यसैन्ययोः इति मेदिनी
sp004-001144_KS_15	अतिशातनम् तनूकर्तारम्
sp004-001145_KS_15	हन्तारम् इत्यर्थः
sp004-001146_KS_15	दिग्दन्तिनाम् ऐरावतादीनाम् नादद्रवयोः घोषमदयोः
sp004-001147_KS_15	नाशनः नाशकः स्वनः घोषः यस्य तम्
sp004-001148_KS_15	यदीयघोषवशात् दिग्दन्तिनोऽपि तूष्णीम् शुष्कमदाश्च भवन्ति इति भावः
sp004-001149_KS_15	महीधरेषु पर्वतेषु अम्भोधिषु च नवारितक्रमम् अनिवारितसञ्चारम्
sp004-001150_KS_15	न शब्देन सह सुप्सुपा इति समासः
sp004-001151_KS_15	घोरम् भीमम् रथम् अधिरुह्य ययौ जगाम
sp004-001152_KS_15	प्रतस्थे इति यावत्
sp004-001153_KS_15	युगेति
sp004-001154_KS_15	युगक्षये प्रलयकाले क्षुब्धः सञ्चलितः यः पयोधिः
sp004-001155_KS_15	समुद्रः तस्य निःस्वन इव निस्वनः यासाम्
sp004-001156_KS_15	प्रलयकालोद्वेलीभूत सागरसदृशघोरघोषाः इत्यर्थः
sp004-001157_KS_15	चलन्तीनाम् पताकानाम् वैजयन्तीनाम्
sp004-001158_KS_15	पताका वैजयन्त्याम् स्यात् सौभाग्ये नाटकाङ्कयोः इति मेदिनी
sp004-001159_KS_15	कुलेन समूहेन वारितातपाः दूरीकृतघर्माः धरायाः भूमेः रजोभिः ग्रस्ताः दिगन्तानि दिक्प्रान्तानि
sp004-001160_KS_15	भास्करस्य याभिः तथाभूताः पृतनाः सेनाः कर्त्र्यः
sp004-001161_KS_15	प्रयान्तम् प्रतिष्ठमानम् तम् पतिम् तारकासुरम् अन्वयुः अनुजग्मुरित्यर्थः
sp004-001162_KS_15	चमूरज इति
sp004-001163_KS_15	अभिसुरम् सुरसम्मुखम् प्रसर्पिणः प्रतिष्ठमानस्य महासुरस्य
sp004-001164_KS_15	तारकस्य सम्बन्धिनीनाम् चमूनाम् रजः रेणुः
sp004-001165_KS_15	दिगन्तदन्तिनाम् ऐरावतादीनाम् सितेषु शुभ्रेषु दन्तप्रकाण्डेषु
sp004-001166_KS_15	दन्तरूपासु शाखासु इत्यर्थः
sp004-001167_KS_15	प्रकाण्डो न स्त्री विटपे मूलशाखान्तरे तयोः इति मेदिनी
sp004-001168_KS_15	शुभ्रताम् पाण्डुताम् दानाम्बुना मदजलेन घनेषु सघनेषु कुम्भेषु मूर्धान्तरेषु
sp004-001169_KS_15	गण्डस्थलेषु इति यावत्
sp004-001170_KS_15	कुम्भो राश्यन्तरे हस्तिमूर्धान्ते राक्षसान्तरे इति मेदिनी
sp004-001171_KS_15	पङ्कताम् कर्दमताम्
sp004-001172_KS_15	पङ्कोऽस्त्री कर्दमे पापे इति मेदिनी
sp004-001173_KS_15	प्राप
sp004-001174_KS_15	धवलिमाश्रयीभूतसम्बन्धेन युक्तम् हि धवलत्वम् इति भावः
sp004-001175_KS_15	अन्यत्स्फुटम्
sp004-001176_KS_15	महीभृतामिति
sp004-001177_KS_15	महीभृताम् पर्वतानाम् सम्बन्धिनः ये कन्दराः दर्यः
sp004-001178_KS_15	दरी तु कन्दरो वा स्त्री इत्यमरः
sp004-001179_KS_15	तेषाम् दारणे स्फोटने उल्बणैः उद्भटैः
sp004-001180_KS_15	आत्मव्याप्तिवशात् स्फोटद्भिरिव भासमानैः इत्यर्थः
sp004-001181_KS_15	तथा घनैः दृढैः
sp004-001182_KS_15	कठोरैः इति यावत्
sp004-001183_KS_15	वनम् स्यात् कांस्यतालादिवाद्यमध्यमनृत्ययोः
sp004-001184_KS_15	ना मुस्तादौ घनाद्येषु विस्तारे लोहमुद्गरे
sp004-001185_KS_15	त्रिषु सान्द्रे दृढे च इति मेदिनी
sp004-001186_KS_15	तद्वाहिनीनाम् तारकसेनानाम् सम्बन्धिनः ये पटहाः आनकाः
sp004-001187_KS_15	पटहो ना समारम्भे आनके पुन्नपुंसकम् इति मेदिनी
sp004-001188_KS_15	तेषाम् स्वनैः कर्तृभिः उद्वेलिताः वेलाम् अतिक्रमिताः
sp004-001189_KS_15	महार्णवाः महान्तः समुद्राः चुक्षुभिरे सञ्चेलुः
sp004-001190_KS_15	पटहध्वनिजनितभयात् इति भावः
sp004-001191_KS_15	तथा नभःस्रवन्ती आकाशगङ्गा च सहसा अकस्मात् अभ्यवर्धत
sp004-001192_KS_15	अतिवेला बभूव इत्यर्थः
sp004-001193_KS_15	सुरारिनाथस्येति
sp004-001194_KS_15	तुमुलैः सङ्कुलैः तुमुलः कलिवृक्षे ना तुमुलम् रणसङ्कुले इति मेदिनी
sp004-001195_KS_15	सुरारिरेव नाथः राजा तस्य
sp004-001196_KS_15	यद्वा सुरारीणाम् नाथः राजा
sp004-001197_KS_15	तस्य सम्बन्धिनीनाम् महाचमूनाम् स्वनैः शब्दैः विगाह्यमानाः व्याप्यमाना सुरापगा मन्दाकिनी
sp004-001198_KS_15	अभ्युच्छ्रितैः अभ्युत्पतितैः वारिजैः वारिजानि कमलानि विद्यन्ते येषु तैः
sp004-001199_KS_15	कमलसहितैः इत्यर्थः
sp004-001200_KS_15	अर्शआदिभ्यः इत्यच्
sp004-001201_KS_15	ऊर्मिशतैः तरङ्गशतकैश्च
sp004-001202_KS_15	ऊर्मिशतैः तरङ्गशतैश्च
sp004-001203_KS_15	ऊर्मिशतैः तरङ्गशतैश्च भङ्गस्तरङ्ग ऊर्मिर्वा इत्यमरः
sp004-001204_KS_15	नाकनिकेतनावलीम् स्वर्गवेश्मपङ्क्तिम् अक्षालयत् ममार्ज
sp004-001205_KS_15	अथेति
sp004-001206_KS_15	अथ अनन्तरम् प्रयाणाभिमुखस्य प्रस्थानसम्मुखस्य नाकिनाम् देवानाम्
sp004-001207_KS_15	द्विषः वैरिणः तारकस्य पुरस्तात् अग्रे भो तारक
sp004-001208_KS_15	तव त्वत्कर्मकम्
sp004-001209_KS_15	अगाधः अतलस्पर्शः
sp004-001210_KS_15	अगाधमतलस्पर्शे त्रिषु श्वभ्रे नपुंसकम् इति मेदिनी
sp004-001211_KS_15	यः दुःखाम्बुधिः दुःखसमुद्रः तन्मध्ये मज्जनम् भविष्यति
sp004-001212_KS_15	इत्येवम् अशुभोपदेशिनी अशुभवादिनी उत्पातपरम्परा दुःशकुनपङ्क्तिः बभूव
sp004-001213_KS_15	आगामीति
sp004-001214_KS_15	घोरतरा अतिशयभयानका कुपक्षिणाम् गृध्रादीनाम् कपोतादीनाम् वा परम्परा
sp004-001215_KS_15	आगामि भविष्यत् यत् दैत्यस्य अशनकेलिः भोजनक्रीडा तत्काङ्क्षतीति तथाभूता
sp004-001216_KS_15	तथा सुरारिवाहिनीः तारकसेनाः उपर्युपरि
sp004-001217_KS_15	उपर्यध्यधसः सामीप्ये इति द्विर्भावः
sp004-001218_KS_15	तद्योगे द्वितीया
sp004-001219_KS_15	तदुक्तम् वामनेन उपर्यादिषु सामीप्ये द्विरुक्तेषु द्वितीयया इति
sp004-001220_KS_15	दिवारितातपा न निवारितधर्मा च सती व्योम्नि आकाशे पदम् स्थानम् दधौ धृतवती
sp004-001221_KS_15	अनेन पद्येन प्रयाणानौचित्यद्योतकम् उत्पातद्वयम् वर्णितम्
sp004-001222_KS_15	तथाहि
sp004-001223_KS_15	आकस्मिकोपरि वृत्तिः आतपानिवृत्तिश्च
sp004-001224_KS_15	तस्मात् सर्वथैव अस्य मरणम् भविष्यति इति सूच्यते
sp004-001225_KS_15	मुहुरिति
sp004-001226_KS_15	विभग्नाः त्रोटिताः आतपवारणसहिताः ध्वजाः येन
sp004-001227_KS_15	चलन्त्यः विसरन्त्यः याः धराधूलयः पृथिवीरजांसि
sp004-001228_KS_15	तासाम् कुलेन साधनीभूतेन आकुलानि व्याकुलीकृतानि ईक्षणानि लोकनेत्राणि येन
sp004-001229_KS_15	तथा भूतस्य कम्पितस्य
sp004-001230_KS_15	नभसि भ्रमितस्य इति यावत्
sp004-001231_KS_15	अश्वानाम् मातङ्गानाम् महारथानाम् च आकरस्य निकरस्य
sp004-001232_KS_15	आकरो निकरे रत्नस्थाने श्रेष्ठे च कथ्यते इति मेदिनी
sp004-001233_KS_15	अनवेक्षणम् अदर्शनम् येन
sp004-001234_KS_15	आच्छादितसकलसेनाङ्गः प्रभञ्जनः वायुः
sp004-001235_KS_15	पवमानप्रभञ्जनाः इत्यमरः
sp004-001236_KS_15	अभूत् उत्पन्नः
sp004-001237_KS_15	मुहुः प्रसभम् इत्यस्य विशेषणत्रयेऽपि सम्बन्धः
sp004-001238_KS_15	अयम् तृतीयः उत्पातः
sp004-001239_KS_15	सद्य इति
sp004-001240_KS_15	सद्यो विभिन्नम् तत्क्षणपतितम् यदञ्जनम् कज्जलम्
sp004-001241_KS_15	अञ्जनम् कज्जले चाक्तौ सौवीरे च रसान्तरे इति मेदिनी
sp004-001242_KS_15	तस्य पुञ्ज इव निकर इव तेजः धाम येषाम्
sp004-001243_KS_15	नूतनपातितकज्जलसमूहश्यामभासः इत्यर्थः
sp004-001244_KS_15	उच्चकैः महान्तः
sp004-001245_KS_15	विस्तीर्णाः इति यावत्
sp004-001246_KS_15	तथा भृशम् भयङ्कराकारभृतः
sp004-001247_KS_15	अतिभीषणस्वरूपधारिणः इत्यर्थः
sp004-001248_KS_15	महाभुजङ्गमाः महान्तः सर्पाः पुरः अग्रे विषाग्निम् गरलरूपम् अग्निम्
sp004-001249_KS_15	क्ष्वेडस्तु गरलम् विषम् इत्यमरः
sp004-001250_KS_15	विकिरन्तः विक्षिपन्तः सन्तः पथः सैन्यगन्तव्यमार्गान् अतीत्य
sp004-001251_KS_15	पूर्वविहित आत्मसम्बन्धेन वियोज्य ययुः
sp004-001252_KS_15	चतुर्थोऽयम् उत्पातः
sp004-001253_KS_15	मिलदिति
sp004-001254_KS_15	दिनानाम् प्रभुः सूर्यः द्विषतः शत्रुभूतस्य द्विषद्द्वेषणदुर्हृदः इत्यमरः
sp004-001255_KS_15	महासुरस्य तारकस्य अन्तम् विनाशम्
sp004-001256_KS_15	मरणम् इति यावत्
sp004-001257_KS_15	अन्तःस्वरूपे नाशे ना स्त्री शेषे चान्तिके त्रिषु इति मेदिनी
sp004-001258_KS_15	आसूचयितुम् ज्ञापयितुम् मिलन्तः संयुजन्तः
sp004-001259_KS_15	तथा महाभीमाः अतिभयङ्कराः ये भुजङ्गाः सर्पाः
sp004-001260_KS_15	तैः भीषणम् भयदम् परिवेषम् परिधिम् कुण्डलाकारम्
sp004-001261_KS_15	परिवेषस्तु परिधिरूपसूर्यकमण्डले इत्यमरः
sp004-001262_KS_15	अतिमत्सरादिव आदधौ धृतवान्
sp004-001263_KS_15	विनाशरूप फलसूचक परिवेषाधाने मत्सरस्य हेतुत्वाभावेऽपि हेतुत्वकल्पनात् हेतूत्प्रेक्षा
sp004-001264_KS_15	अत एव भयङ्करः विभीषकः
sp004-001265_KS_15	मेघर्ति इति खश्
sp004-001266_KS_15	पञ्चमोऽयम् उत्पातः
sp004-001267_KS_15	त्विषामिति
sp004-001268_KS_15	त्विषाम् तेजसाम् अधीशस्य रवेः अधिमण्डलम् मण्डले इत्यर्थः
sp004-001269_KS_15	विभक्त्यर्थे अव्ययीभावः
sp004-001270_KS_15	समेताः समुदिताः शिवाः क्रोष्ट्र्यः
sp004-001271_KS_15	शिवा झाटामलौषधौ
sp004-001272_KS_15	अभयामलकी गौरी क्रोष्ट्रीशक्रफलासु च इति विश्वः
sp004-001273_KS_15	सुरारिराजस्य तारकस्य सम्बन्धिनि रणान्ते सङ्ग्रामसमीपे यत् शोणितम् रक्तम्
sp004-001274_KS_15	द्रुतम् शीघ्रम् प्रसह्य बलात् पातुम् पानम् कर्तुम् उत्सुकाः इव परुषम् कठोरम् यथा तथा ववाशिरे चुक्रुशुः
sp004-001275_KS_15	अत्र उत्पातद्वयम्
sp004-001276_KS_15	मार्तण्डमण्डलाधिकरणकम् शिवासमुदितत्वम् तत्कर्तृक कठोररुदितम् चेति
sp004-001277_KS_15	षष्ठसप्तमौ एतौ उत्पातौ
sp004-001278_KS_15	दिवापीति
sp004-001279_KS_15	अथ दिवापि दिनेऽपि तरलाः चञ्चलाः तरस्विनीः वेगवतीः
sp004-001280_KS_15	रंहस्तरसी तु रयः स्यदः इत्यमरः
sp004-001281_KS_15	ताराः नक्षत्राणि वाहिनीः परितः अभितः परितः समया इत्यादिना द्वितीया
sp004-001282_KS_15	परापतन्तीः विलोक्य लोकः मनसा सुरद्विषः सम्बन्धि
sp004-001283_KS_15	प्राणव्ययान्तम् प्राणनाशावधि व्यसनम् व्यचिन्तयत्
sp004-001284_KS_15	प्राणनाशावधि राज्ञः दुःखम् भविष्यति इति चिन्तयामास इत्यर्थः
sp004-001285_KS_15	अष्टमः अयम् उत्पातः
sp004-001286_KS_15	ज्वलद्भिरिति
sp004-001287_KS_15	निरम्बुदात् अनुद्भूतमेघात् नभसः व्योम्नः सकाशात्
sp004-001288_KS_15	अभितः ज्वलद्भिः प्रस्फुरद्भिः प्रभाभरैः कान्तिसमूहैः कृत्वा
sp004-001289_KS_15	उच्चैः अतिशयितम् यथा तथा उद्भासितानि प्रकाशितानि
sp004-001290_KS_15	अशेषदिगन्तराम्बराणि समस्तदिशाम् प्रान्तगतानि येन
sp004-001291_KS_15	तथा रौद्रेण भयानकेन रवेण घोषेण हृदन्तस्य उरोमध्यस्य दारणम् विदारकम् वज्रम् स्फूर्जथुः पपात
sp004-001292_KS_15	स्फुर्जथुर्वज्रनिर्घोषः इत्यमरः
sp004-001293_KS_15	अत्रापि उत्पातद्वयम् अम्बुदसान्निध्याभावेऽपि वज्रदर्शनम् तत्पातश्चेति
sp004-001294_KS_15	एवम् नवमदशमौ उत्पातौ उक्तौ
sp004-001295_KS_15	ज्वलद्भिरिति
sp004-001296_KS_15	नभस्तलम्
sp004-001297_KS_15	निरम्बुदम् सत् इति शेषः
sp004-001298_KS_15	ज्वलद्भिः अङ्गारचयैः काष्ठशकलसमूहैः
sp004-001299_KS_15	तथा शोणितास्थिभिश्च सह गाढम् दृढम्
sp004-001300_KS_15	बह्विति यावत्
sp004-001301_KS_15	ववर्ष
sp004-001302_KS_15	ज्वलदङ्गाररुधिरास्थिगर्भितम् जलम् ववर्षेत्यर्थः
sp004-001303_KS_15	अम्बुदसान्निध्याभावेऽपि वृष्टिः एकादशतमोऽयम् उत्पातः
sp004-001304_KS_15	सापि अङ्गारादिमिश्रितेति द्वादशतमः
sp004-001305_KS_15	अत एव ज्वलन्त्यः दिशः रासभकण्ठधूसरम् खरगलसदृशधूसरवर्णम्
sp004-001306_KS_15	रासभो गर्दभे क्षुद्रजन्तुरोगप्रभेदयोः इति मेदिनी
sp004-001307_KS_15	धूमम् धूमरूपम् रजः रेणुम् मुखैः प्रारम्भदेशैः व्यसृजन् तत्यजुः
sp004-001308_KS_15	त्रयोदशतमः अयम् उत्पातः
sp004-001309_KS_15	निर्घातेति
sp004-001310_KS_15	प्रकोपिना प्रकृष्टरोषेण कालेन यमेन आर्जिता उत्पादिता
sp004-001311_KS_15	गर्जिनी गर्जनाम् कुर्वती तर्जना अपकारगीः यत्र
sp004-001312_KS_15	अत एव अम्बरस्य आशानाम् च कुहरेण अन्तरेण उदरम्भरिः
sp004-001313_KS_15	अत एव गिरीणाम् श्रृङ्गस्य शातनः भेदकः तथा घनः सान्द्रः निर्घातश्चासौ घोषश्च
sp004-001314_KS_15	सः भूम्ना बाहुल्येन श्रुतिभित्तिभेदनः कर्णकुड्यताडनः बभूव
sp004-001315_KS_15	चतुर्दशतमः अयम् उत्पातः
sp004-001316_KS_15	स्खलदिति
sp004-001317_KS_15	द्विषः तारकस्य बलम् सैन्यम्
sp004-001318_KS_15	बलम् गन्धरसे रूपे स्थामनि स्थौल्यसैन्ययोः इति विश्वः
sp004-001319_KS_15	प्रक्षुभ्यद्भिः उन्मथ्यमानैः अम्भोधिभिः विभिन्नाः विदीर्णाः भूधराः पर्वताः यत्र
sp004-001320_KS_15	प्रोत्पद्यमान विकटतर धरणिकम्पप्रोच्छलत् समुद्वेल जलधि घोरतरप्रवाहस्फुटन्तः
sp004-001321_KS_15	धराधराः बभूवुः इति भावः
sp004-001322_KS_15	एवम्भूतात् अवनिप्रकम्पात् भूकम्पात् हेतोः स्खलन्महेभम् मूर्च्छत् बृहत्करीन्द्रम्
sp004-001323_KS_15	प्रपतत्तुरङ्गमम् प्रकृष्टपतद्वाजिराजम् परस्पराश्लिष्ट उभयवत्
sp004-001324_KS_15	अन्योन्यासंसक्त आननः यत्र तथाभूतम् बभूव
sp004-001325_KS_15	पञ्चदशतमः अयम् उत्पातः
sp004-001326_KS_15	उर्ध्वीकृतास्या इति
sp004-001327_KS_15	सर्वे श्वानः समेत्य समुदेत्य ऊर्ध्वीकृतास्याः उर्ध्वदिशाविहितवदनाः
sp004-001328_KS_15	तथा रविदत्तदृष्टयः सूर्यनिबद्धलोचनाः
sp004-001329_KS_15	तथा करुणेन करुणरसपूरितेन अत एव श्रवणान्तशातिना
sp004-001330_KS_15	कर्णमध्यतनूकारिणा स्वरेण शब्देन कृत्वा रुदन्तः क्रोशन्तः सन्तः
sp004-001331_KS_15	सुरविद्विषः तारकस्य पुरः अग्रे निर्ययुः निरगच्छन्
sp004-001332_KS_15	षोडशतमः अयम् उत्पातः
sp004-001333_KS_15	अपीति
sp004-001334_KS_15	गाढम् दृढम् यथा तथा परिणामे उत्तरकाले दारुणाम् भयप्रदाम् महत्तमाम् अतिशयमहतीम्
sp004-001335_KS_15	अरिष्टसन्ततिम् उत्पातपरम्पराम् पश्यन्नपि असुरः तारकः क्रुधा अमर्षेण
sp004-001336_KS_15	प्रयाणव्यवसायतः प्रस्थानोद्योगात् न न्यवर्तत न निवृत्तः खलु
sp004-001337_KS_15	यतः दुर्दैवेन दुरदृष्टेण दष्टः हतः
sp004-001338_KS_15	विनाशकाले विपरीतबुद्धिः इति न्यायात् इति भावः
sp004-001339_KS_15	अरिष्टेति
sp004-001340_KS_15	महासुरः तारकः अरिष्टम् विपाके उत्तरकाले दारुणम् भयदम् आशङ्क्य
sp004-001341_KS_15	तर्कयित्वा निवार्यमाणः निषिध्यमानोऽपि पुर एव प्रतस्थे न तु पश्चात् निववृते
sp004-001342_KS_15	तथाहि
