sp019-000001_lahari_2	भावना कीदृशी तस्य
sp019-000564_lahari_5	भवान् स्वभार्यायाम् स्नेहम् दर्शयतु
sp019-000565_lahari_5	तस्याः उदरे अहम् भवतः शिशुः भूत्वा पुनः उत्पत्स्ये इति सा अवदत्
sp019-000566_lahari_5	तावत् वचनकर्म तस्याः श्रमम् अजनयत् मया ज्ञातम्
sp019-000567_lahari_5	सातङ्कम् ताम् मातापितरौ वीक्षेते स्म
sp019-000568_lahari_5	मम तत्र उपस्थितिः रमायाः श्रमाय भवेत् इति चिन्तया प्रस्थातुम् उत्थितः अहम्
sp019-000569_lahari_5	सा तनुतरम् करम् किञ्चित् उत्थाप्य आप्रच्छनम् कृतवती
sp019-000570_lahari_5	तस्याः मातापितरौ वन्दित्वा अहम् निर्वचनम् ततः निर्गतः
sp019-000571_lahari_5	सुशीलाम् सादरम् सस्नेहम् च द्रष्टुम् रमा माम् वचनबद्धम् कृतवती इति स्मरन् स्वनगराभिमुखः अभवम्
sp019-000572_lahari_6	कटुः अनुभवः
sp019-000573_lahari_6	विश्वनाथः प्रतिवसति मैसूरुनगरस्य गोकुल् विस्तरणे
sp019-000574_lahari_6	पञ्चषष्टिवर्षवयाः सह किञ्चित् न्यूनवयसा पत्न्या सह सुखेन कालम् नयति
sp019-000575_lahari_6	तस्य पुत्रौ विदेशे उद्योगिनौ
sp019-000576_lahari_6	पुत्री तु ऊढा पत्या सह बेङ्गलूरुनगरे वसति
sp019-000577_lahari_6	प्रतिमासम् लभ्यते निवृत्तिवेतनम्
sp019-000578_lahari_6	गृहम् च स्वकीयम्
sp019-000579_lahari_6	अतः कापि चिन्ता नास्ति
sp019-000580_lahari_6	नवरात्रोत्सवार्थम् विदेशस्थयोः पुत्रयोः अन्यतरः श्रीरामः पत्न्या सह मैसुरुनगरमागतः
sp019-000581_lahari_6	कुटुम्बम् सकलम् दर्शनीयानि स्थानानि द्रष्टुम् गतम्
sp019-000582_lahari_6	रात्रौ गृहम् प्रत्यागतम् च
sp019-000583_lahari_6	सर्वे श्रान्ताः सुखम् शयिताः
sp019-000584_lahari_6	विश्वनाथः प्रगे उत्थितः
sp019-000585_lahari_6	तस्य रूढिः इयम्
sp019-000586_lahari_6	प्रगे उत्थाय स्वयम् खाफीम् निर्माय पीत्वा प्रातः सञ्चाराय गच्छति सः
sp019-000587_lahari_6	प्रायः गृहे तदा पत्नी शयिता भवति
sp019-000588_lahari_6	गृहस्य द्वारम् कीलकेन सुबद्धम् कृत्वा गच्छति
sp019-000589_lahari_6	अद्यापि प्रातः तथैव विश्वनाथः कृतवान्
sp019-000590_lahari_6	प्रातः शीतः वायुः वाति स्म
sp019-000591_lahari_6	अतः स्वेदकम् धृत्वा ग्रहात् निर्गतः विश्वनाथः
sp019-000592_lahari_6	वीथ्यः प्रायः निर्जनाः आसन्
sp019-000593_lahari_6	केचन प्रातःसञ्चारिणः तत्र तत्र दृश्यन्ते स्म
sp019-000594_lahari_6	वीथिदीपाः मन्दप्रकाशाः ज्वलन्ति स्म
sp019-000595_lahari_6	दूरतः वाहनानाम् शब्दः कदाचित् श्रूयते स्म
sp019-000596_lahari_6	कृशाङ्गोऽपि आरोग्यशाली विश्वनाथः सवेगम् पदानि निदधानः लोकस्य नानाविचारान् मनसि आवर्तयन् चलति स्म
sp019-000597_lahari_6	प्रातःकालस्य शुद्धवायुः तस्य मनसि चैतन्यम् पूरयति स्म
sp019-000598_lahari_6	एवम् गच्छति तस्मिन् पश्चाद्भागेन किञ्चिद् वाहनम् महता वेगेन आगत्य सहसा स्थितम्
sp019-000599_lahari_6	कुतूहलेन क्षणम् स्थित्वा विश्वनाथः तदपश्यत्
sp019-000600_lahari_6	कार्यानम्
sp019-000601_lahari_6	क्षणमात्रेण तस्मात् यानात् त्रयः दृढगात्राः युवानः अवातरन्
sp019-000602_lahari_6	द्वौ श्वानौ इव उत्प्लुत्य विश्वनाथम् गृहीतवन्तौ
sp019-000603_lahari_6	याने निक्षिप्यताम् एषः इति तृतीयः युवा अगर्जत्
sp019-000604_lahari_6	के भवन्तः
sp019-000605_lahari_6	कस्माद् माम् नयन्ति इति प्रष्टुमनाः विश्वनाथः मुखम् किञ्चिदिव व्याददात्
sp019-000606_lahari_6	तत्क्षणे एव तस्य मुखे वस्त्रग्रन्थिः प्रसभम् प्रवेशितः तृतीयेन यूना
sp019-000607_lahari_6	निश्चेतः मूकश्च सञ्जातः विश्वनाथः
sp019-000608_lahari_6	द्वौ तम् बलात् याने प्रवेशितवन्तौ
sp019-000609_lahari_6	तृतीयः युवा यानम् चालयितुम् प्रारभत
sp019-000610_lahari_6	द्वयोः अन्यतरः नीलवस्त्रेण विश्वनाथस्य नयने पिहितवान्
sp019-000611_lahari_6	विश्वनाथः अन्धो जातः
sp019-000612_lahari_6	क्व गम्यते केन पथा गम्यते इति न ज्ञायताम् इत्येवम् कृतम् इति विश्वनाथः ज्ञातवान्
sp019-000613_lahari_6	यानम् बहुदूरम् गतम् इति तु ज्ञातम्
sp019-000614_lahari_6	एते माम् कस्मात् नयन्ति
sp019-000615_lahari_6	किमपेक्षन्ते इति च तेन चिन्तितम् सन्ततम्
sp019-000616_lahari_6	अन्ततः यानम् विरतम् क्वापि
sp019-000617_lahari_6	विश्वनाथः यानात् अवतारितः
sp019-000618_lahari_6	किमपि स्थानम् प्रवेशितश्च
sp019-000619_lahari_6	अन्तःप्रवेशानन्तरम् कस्मिंश्चित् कोणे तम् ढौकयित्वा
sp019-000620_lahari_6	अपहरणकर्ता कश्चित् तस्य मुखपिधानम् नयनपिधानम् च व्यमोचयत्
sp019-000621_lahari_6	त्रस्तः श्रान्तः विक्लवः विश्वनाथः दैन्येन अपहरणकारान् नमस्कृत्य
sp019-000622_lahari_6	गद्गदस्वरेण अपृच्छत् के भवन्तः
sp019-000623_lahari_6	कस्मात् मामेवम् बद्ध्वा आनीतवन्तः
sp019-000624_lahari_6	किम् मयापराद्धम् इति
sp019-000625_lahari_6	तूष्णीम् तिष्ठ अस्माकम् नायकस्य आदेशेन आनीतोऽसि
sp019-000626_lahari_6	सः यावत् आगच्छति तावत् त्वया अत्र विना वचनम् स्थातव्यम् इति
sp019-000627_lahari_6	अन्यः अपहरणकारः अगर्जत्
sp019-000628_lahari_6	श्रान्तोऽस्मि पिपासया क्षुधया च पीडितोऽस्मि
sp019-000629_lahari_6	स्नातुमिच्छामि दयया अवकाशः दीयताम् इति विश्वनाथः अयाचत
sp019-000630_lahari_6	अपहरणकाराः भृशम् अहसन्
sp019-000631_lahari_6	स्नानम् कदा अस्माभिः कृतमित्येव न स्मरामः
sp019-000632_lahari_6	तव स्नानव्यवस्थाम् कः करिष्यति
sp019-000633_lahari_6	यदि खादितुमिच्छति पातुम् वा धनम् देहि
sp019-000634_lahari_6	क्वचित् किञ्चित् क्रीत्वा आनयाम तुभ्यम् किञ्चिद् दत्त्वा वयमपि प्रातराशम् करिष्यामः इति एकः अवदत्
sp019-000635_lahari_6	विश्वनाथः अर्धोरुकवस्त्रे रक्षितम् शतरूप्यकपत्रम् दत्तवान्
sp019-000636_lahari_6	अन्यत् अपि धनमस्ति चेद् देहि इति अपरः अपहरणकारः अगर्जत्
sp019-000637_lahari_6	नास्ति मयि किमपि अन्यत् इति विश्वनाथः दीनम् अवोचत्
sp019-000638_lahari_6	अहम् एव परीक्ष्ये इत्युक्त्वा अपहरणकारः तस्य वस्त्राणि हस्ताभ्याम् परामृशत्
sp019-000639_lahari_6	तत्र किमपि धनम् न आसीत्
sp019-000640_lahari_6	ततः तस्य दृष्टिः विश्वनातस्य हस्तघटीयन्त्रे पतिता
sp019-000641_lahari_6	इदम् विमोच्य देहि इति सः अवदत्
sp019-000642_lahari_6	भोः इदम् दातुम् नेच्छामि
sp019-000643_lahari_6	इदम् मम पुत्रेण दत्तम्
sp019-000644_lahari_6	अस्मिन् मम महती प्रीतिः
sp019-000645_lahari_6	क्षम्यताम् इति विश्वनाथः घटीयन्त्रम् हस्तेन गृह्णन् अवोचत्
sp019-000646_lahari_6	सहसा अपहरणकारः तम् प्राहरत् मुष्ट्या
sp019-000647_lahari_6	विश्वनाथः भग्नमूलः वृक्षः इव भूमौ न्यपतत्
sp019-000648_lahari_6	अपहरणकारः तस्य हस्तात् कर्कशरीत्या घटीयन्त्रम् विमोच्य
sp019-000649_lahari_6	स्वहस्ते धारयित्वा उच्चैः अहसत्
sp019-000650_lahari_6	प्रकोष्ठस्य द्वारम् पिधाय ते सर्वे निर्गताः
sp019-000651_lahari_6	स्वदैवम् निन्दन् असहायः विश्वनाथः भूमौ शयितः क्षणगणनाम् प्रारभत
sp019-000652_lahari_6	विश्वनाथस्य गृहे सर्वे विलम्बेन उत्थिताः
sp019-000653_lahari_6	खाफीम् पीत्वा पुत्रः स्नुषा च वार्तापत्रिकायाः पठने निरतौ अभूताम्
sp019-000654_lahari_6	विश्वनाथस्य पत्नी पार्वती स्नात्वा देवपूजाम् विधाय पाककर्म कर्तुम् महानसम् प्रविष्टा
sp019-000655_lahari_6	गृहस्य भित्तौ स्थापितम् घटीयन्त्रम् अष्टवादनवेलाम् सूचयितुम् न्यनदत्
sp019-000656_lahari_6	पार्वती पुत्रमाहूय अब्रवीत्
sp019-000657_lahari_6	तव पित्रे खाफीम् देहि अष्टवादनवेलायाम् सः द्वितीयवारम् पिबति खलु
sp019-000658_lahari_6	अत्र अस्ति खाफीचषकः इति
sp019-000659_lahari_6	पुत्रः अब्रवीत् मातः पिता प्रातःसञ्चारात् न प्रतिनिवृत्तः
sp019-000660_lahari_6	पार्वती चकिता किमिदम्
sp019-000661_lahari_6	अष्टवादनपर्यन्तम् कदापि तव पिता गृहात् बहिः न तिष्ठति
sp019-000662_lahari_6	सप्तवादनवेलायमेव तेन आगन्तव्यम्
sp019-000663_lahari_6	यदि सुहृदः दृश्यन्ते पथि तर्हि एव कदाचित् विलम्बः
sp019-000664_lahari_6	तथापि न पूर्वम् कदाचित् एतावान् विलम्बः कृतः तेन
sp019-000665_lahari_6	कस्मात् अद्य मम भर्ता न आगतः इति विक्लवम् मे चेतः
sp019-000666_lahari_6	मातः मा भैषीः
sp019-000667_lahari_6	किञ्चित् प्रतिपालयाम तावता पिता आगच्छेत्
sp019-000668_lahari_6	अन्यथा अहम् अन्वेषणम् प्रारभे इति पुत्रः अवदत्
sp019-000669_lahari_6	मातुः समाधानम् न आसीत्
sp019-000670_lahari_6	तथापि तूष्णीम् भूता
sp019-000671_lahari_6	स्नुषा पुत्रश्च स्नानम् कृत्वा शुभ्राणि वस्त्राणि अधारयताम्
sp019-000672_lahari_6	नववादन वेला विश्वनाथः न आगतः
sp019-000673_lahari_6	इदानीम् पार्वत्याः नयनयोः अश्रूणि दृष्टानि
sp019-000674_lahari_6	पुत्र त्रस्तम् हृदयम् तव पिता क्व गतः गच्छ कम्पितास्मि तस्य अनागमनेन इति सा अब्रवीत्
sp019-000675_lahari_6	पुत्रः श्रीरामः पत्नीम् सीताम् अवदत्
sp019-000676_lahari_6	मातरम् समाधेहि धैर्यवचनैः अहम् यानेन गत्वा पितरम् आनेष्यामि इति
sp019-000677_lahari_6	ततः मातरम् पृष्ट्वा पितुः प्रातः सञ्चारमार्गम् ज्ञात्वा सः प्रस्थितः
sp019-000678_lahari_6	घण्टार्धपर्यन्तम् वीथीषु अभ्राम्यत्
sp019-000679_lahari_6	बहून् जनान् पितुः विषये अपृच्छत्
sp019-000680_lahari_6	अस्मिन् मार्गे कोऽपि अपघातः जातः वा इति सः विचारितवान्
sp019-000681_lahari_6	तादृशघटनायाः किमपि चिह्नम् न आसीत्
sp019-000682_lahari_6	आपणेषु उपाहारगृहेषु सर्वान् परिचितान् अपरिचितान् अज्ञाताम् च अपृच्छत्
sp019-000683_lahari_6	किमपि न जातम् निराशः श्रीरामः गृहमागतः
sp019-000684_lahari_6	एकाकिनम् तम् द्वारे स्थिता माता अपश्यत्
sp019-000685_lahari_6	रोदितुम् च आरभत
sp019-000686_lahari_6	मातः मा रोदीः
sp019-000687_lahari_6	मया सर्वत्र अन्वेषणम् कृतम्
sp019-000688_lahari_6	पिता न दृष्टः
sp019-000689_lahari_6	किन्तु समाधानस्य कारणमस्ति
sp019-000690_lahari_6	तस्य प्रातः सञ्चारस्य पथि कोऽपि अपघातः न जातः
sp019-000691_lahari_6	न च कश्चित् रुग्णः अभवत्
sp019-000692_lahari_6	पिता कस्यचित् मित्रस्य गृहम् गतः स्यात्
sp019-000693_lahari_6	अपि ज्ञायन्ते तादृशानि मित्राणि
sp019-000694_lahari_6	दूरवाण्या विचारयाम इति श्रीरामेण उक्ते
sp019-000695_lahari_6	माता स्वभर्तुः मित्राणाम् नामानि तेषाम् दूरवाणीसङ्ख्याश्च सगद्गदम् अवदत्
sp019-000696_lahari_6	श्रीरामः तादृशैः सर्वैः सम्पर्कम् कृत्वा विचारितवान्
sp019-000697_lahari_6	सर्वत्र विश्वनाथः अत्र न आगतः इत्येव उत्तरम् लब्धम्
sp019-000698_lahari_6	पार्वती शिरसि हस्तौ कृत्वा दिङ्मूढा इव नष्टसञ्ज्ञा इव उपविष्टा
sp019-000699_lahari_6	पुत्रोऽपि किङ्कर्तव्यतामूढः चिन्तामग्नः जातः
sp019-000700_lahari_6	अपि तव पिता बन्धुगृहम् गत स्यात् इति सीता पतिम् अपृच्छत्
sp019-000701_lahari_6	उद्देशम् अकथयित्वा कथम् गच्छेत्
sp019-000702_lahari_6	तथापि विचारयाम इति उक्त्वा श्रीरामः बन्धूनाम् गृहाणाम् सम्पर्कम् साधयित्वा
sp019-000703_lahari_6	विचारयितुम् आरभत
sp019-000704_lahari_6	सर्वत्र नकारः एव श्रुतः
sp019-000705_lahari_6	एतावता कालेन विश्वनाथस्य अदर्शनवार्ता कथमपि प्रसृता
sp019-000706_lahari_6	प्रातिवेशिकाः आगत्य प्रष्टुम् स्वमनसि भातम् समाधानम् वक्तुम् च प्रारभन्त
sp019-000707_lahari_6	आरक्षकस्थानम् गत्वा विषयः निवेद्यताम् इति केचित् सूचितवन्तः
sp019-000708_lahari_6	मध्याह्नः जातः
sp019-000709_lahari_6	विश्वनाथस्य अपहारकाः तस्य धनेन आकण्ठम् भुक्त्वा तस्य कृते द्वित्राः इड्डलिकाः आनीय तस्य पुरतः न्यक्षिपन्
sp019-000710_lahari_6	धूसरितेन चषकेन जलम् च दत्तम्
sp019-000711_lahari_6	स्नानम् विना किमपि भक्षयितुम् अनिच्छन् अपि विश्वनाथः क्षुधम् शमयितुम् गत्यन्तरम् विना
sp019-000712_lahari_6	इड्डलिकाः भक्षयित्वा जलम् अपिबत्
sp019-000713_lahari_6	अद्य कस्याम् विषघटिकायाम् अहम् उत्थितः इति चिन्तयितुम् प्रारभत
sp019-000714_lahari_6	अपहारकाणाम् नायकः कः
sp019-000715_lahari_6	सः किमिच्छति धनार्थम् तेन अपहृतः अहम् किम्
sp019-000716_lahari_6	एवम् चेत् मम विमोचनम् भविष्यति वा न वा
sp019-000717_lahari_6	का गतिः गृहे पार्वती श्रीरामः स्नुषा सीता च किम् कुर्वन्तः स्युः
sp019-000718_lahari_6	मदर्थे तेषाम् चिन्ता कीदृशी स्यात्
sp019-000719_lahari_6	इत्यादयः प्रश्नाः उत्थिताः तस्य मनसि
sp019-000720_lahari_6	किमपि कर्तुम् अशक्तः मन्त्रबद्धः सर्पः इव जालबद्धः मत्स्यः इव सः कालम् अनयत्
sp019-000721_lahari_6	भगवती सहस्रमरीचिमालिनी पश्चिमसमुद्रे मज्चति सति अन्धकारः प्रसृतः
sp019-000722_lahari_6	तदा अपहरणकाराणाम् नायकः उग्रवदनः आगतः
sp019-000723_lahari_6	किम् मदुक्तम् कार्यमनुष्ठितम्
sp019-000724_lahari_6	अपि मे शत्रुः गृहीतः अत्र आनीतश्च इति सः कर्कशकण्ठेन अपृच्छत्
sp019-000725_lahari_6	तस्य वचनानि श्रुतवतः विश्वनाथस्य विस्मयः भयम् च हृदयम् युगपत् आक्रामताम्
sp019-000726_lahari_6	अहम् पुरा कदापि अस्य मुखमेव न दृष्टवान्
sp019-000727_lahari_6	कथम् मया सह अत्र शत्रुत्वम् इति व्यस्मयत
sp019-000728_lahari_6	महाशय सर्वमनुष्ठितम् सः वराकः अत्र बद्धः विद्यते इति अपहारकाः अवदन्
sp019-000729_lahari_6	आनीयतामत्र सः शीघ्रम् तस्य शिरः भूमौ पातयितुमिच्छामि इति नायकस्य कर्कशतरः ध्वनिः श्रुतः
sp019-000730_lahari_6	विश्वनाथस्य मुखम् स्विन्नम् जिह्वा शुष्का पादौ निःशक्तिकौ जातौ
sp019-000731_lahari_6	अपहारकेषु अन्यतमः द्वारम् उद्घाट्य विश्वनाथम् करेण गृहीत्वा आकृष्य नायकस्य पुरः न्यपातयत्
sp019-000732_lahari_6	नायकः करदीपम् प्रज्वाल्य भूमौ पतितम् विश्वनाथम् अपश्यत्
sp019-000733_lahari_6	तस्य नयनयोः प्रथमम् नैराश्यम् दृष्टम्
sp019-000734_lahari_6	ततः क्रोधः
sp019-000735_lahari_6	अनुचरान् अपहारकान् उद्दिश्य सः अवदत्
sp019-000736_lahari_6	रे मूर्खाः किमिदम् कृतम्
sp019-000737_lahari_6	कोऽयम् मया अपेक्षितः जनः न अयम्
sp019-000738_lahari_6	व्यर्थीकृतम् दिनम् युष्माभिः
sp019-000739_lahari_6	कोऽपि अनपेक्षितः जनः आनितः
sp019-000740_lahari_6	ततो विश्वनाथम् उद्दिश्य सः अवदत्
sp019-000741_lahari_6	कस्त्वम् कथम् एतैः गृहीतः
sp019-000742_lahari_6	रुदन् विलपन् विश्वनाथः अवदत्
sp019-000743_lahari_6	स्वामिन् अहम् किमपि न जानामि
sp019-000744_lahari_6	न मया किमपि अपराद्धम्
sp019-000745_lahari_6	प्रातः सञ्चारार्थम् क्वापि भ्राम्यन् अहम् प्रातः एतैः निगृहीतः
sp019-000746_lahari_6	कृपया माम् मुञ्चतु भवान्
sp019-000747_lahari_6	तव उपकारम् कदापि न विस्मरिष्यामि इति
sp019-000748_lahari_6	एवम् वदन् विश्वनाथः नायकस्य पादयोः पतितः
sp019-000749_lahari_6	अस्य नयने नीलवसनेन पिधाय एतम् नगरे क्वापि विमुञ्चत यथा मार्गम् न जानीयात्
sp019-000750_lahari_6	इदम् स्थलम् च नाभिजानीयात् इति अनुचरान् उक्त्वा
sp019-000751_lahari_6	नायकः विश्वनाथम् अब्रवीत्
sp019-000752_lahari_6	रे वराक गत्वा पत्नीपुत्रदीनाम् मुखानि पश्य
sp019-000753_lahari_6	अद्य किम् जातम् के दृष्टाः इति सकलम् विस्मर
sp019-000754_lahari_6	यदि एतद्विषये एकमपि शब्दम् तव जिह्वा उद्गिरेत्
sp019-000755_lahari_6	तर्हि त्वाम् पुनः आनीय हनिष्यामि याहि इति
sp019-000756_lahari_6	नीलवसनेन पिहितनयनः विश्वनाथः तैः आनीतः
sp019-000757_lahari_6	त्यक्तश्च नगरस्य निर्जने प्रदेशे रात्रौ
sp019-000758_lahari_6	श्रान्ततमोऽपि सः कथञ्चित् निशीथे गृहम् प्राप्तः
sp019-000759_lahari_6	द्वारघण्टिकायाम् तेन नोदितायाम् पत्नी तत्र धावन्ती द्वारम् उद्घाट्य
sp019-000760_lahari_6	तम् वीक्ष्य आनन्दाश्रुपरिपूर्णनयना
sp019-000761_lahari_6	श्रीराम सीते एषः आगतः तव पिता आगतः
sp019-000762_lahari_6	तव श्वशुरः आगतः
sp019-000763_lahari_6	अहम् उज्जीविता मम प्राणाः पुनरायाताः
sp019-000764_lahari_6	इति प्रलपन्ती अन्तः देवताप्रकोष्ठम् गत्वा दण्डवत् पतित्वा प्रणामसहस्रम् समर्पितवती
sp019-000765_lahari_6	पितः अद्यावधि क्व आसीत् भवान् किम् प्रवृत्तम् वदतु इति श्रीरामः अपृच्छत्
sp019-000766_lahari_6	सर्वम् तद् विस्मृतम् दुःस्वप्नवत् मया
sp019-000767_lahari_6	किमपि नैव प्रष्टव्यम् कश्चन कटुः अनुभवः जातः
sp019-000768_lahari_6	एतावदेव वदामि इति उक्त्वा विश्वनाथः व्यरमत्
sp019-000769_lahari_7	शिकागोनगरस्य वीथीषु हिमानी दृश्यते स्म
sp019-000770_lahari_7	शीतलः वायुः वाति स्म
sp019-000771_lahari_7	सायम् चतुर्वादनसमये एव अन्धकारः स्वसाम्राज्यम् लोके स्थापयितुम् प्रयत्नम् करोति स्म
sp019-000772_lahari_7	तद्विरोधाय सूर्येण प्रेषिताः भटाः इव दीपाः यथाशक्ति प्रकाशम् प्रसारयन्तः
sp019-000773_lahari_7	दृष्टिगोचराः भवन्ति स्म
sp019-000774_lahari_7	वाहनसञ्चारः तु शैत्यम् अन्धकारम् च अगणयित्वा
sp019-000775_lahari_7	रभसेन सततम् प्रवर्तते स्म
sp019-000776_lahari_7	बहुकवचाच्छादितशरीरः रमेशः बस्यानात् अवतीर्य स्ववसतिम् प्रति गतवान्
sp019-000777_lahari_7	यानस्थानकाद् अनतिदूरे एव आसीत् तस्य वसतिः
sp019-000778_lahari_7	तथापि वसतिः यावत् प्राप्ता तावता असह्याम् शीतपीडाम् अनुभूतवान् आसीत् सः
sp019-000779_lahari_7	कथमपि वसतिगृहम् प्राप्य कुञ्चिकया मुख्यद्वारम् उद्घाट्य यदा सः अन्तः प्रविष्टवान्
sp019-000780_lahari_7	तदा सुखोष्णेन वातावरणेन तस्य प्राणाः पुनः उज्जीविताः इव अभवन्
sp019-000781_lahari_7	ततश्च सोपानानि आरुह्य द्वितीयभूमिकास्थम् स्वप्रकोष्ठम् प्राप्य
sp019-000782_lahari_7	द्वारम् उद्घाट्य अन्तः गतवान् सः
sp019-000783_lahari_7	पुस्तकस्यूतम् कोणे क्षिप्त्वा पादुके विमुच्य मञ्चे शायितवान्
sp019-000784_lahari_7	दूरवीक्षणयन्त्रम् दूरनियन्त्रकेण प्रवर्तितवान् सः
sp019-000785_lahari_7	तत्र कयोश्चित् प्रेमसंलापः श्रुतः
sp019-000786_lahari_7	तयोश्चित्रमपि दृष्टम्
sp019-000787_lahari_7	यद्यपि रमेशस्य दृष्टिः चित्रसरण्याम् आसीत् तथापि मनः तु तत्र न आसीत्
sp019-000788_lahari_7	भारतवर्षाद् देशान्तरमागत्य तस्य अष्टमासाः अतीताः आसन्
sp019-000789_lahari_7	विद्याभ्यासः समुचिततया प्रवर्तते स्म
sp019-000790_lahari_7	तत्रत्याः परीक्षाः विलक्षणाः
sp019-000791_lahari_7	तदर्थम् सन्नाहमपि कुर्वन् आसीत् सः
sp019-000792_lahari_7	विदेशजीवनम् विचित्रमपि सुखदमासीत्
sp019-000793_lahari_7	कदाती जलम् रुद्धम् न भवति स्म नालेषु
sp019-000794_lahari_7	न कदापि भवति स्म विद्युच्छक्तिभङ्गः
sp019-000795_lahari_7	समृद्धाः आहारपदार्थाः
sp019-000796_lahari_7	नयन आनन्दिन्यः श्वेतवर्णाः ललनाः सस्मिताननाः दृष्टिपथम् आयान्ति स्म
sp019-000797_lahari_7	एवम् सर्वमपि सुखकारणमा् आसीत् तत्र
sp019-000798_lahari_7	तथापि बन्धूनाम् विरहः एकाकिता
sp019-000799_lahari_7	दुर्भरे प्रसङ्गे किम् करिष्यति इति भयम् च तम् बाधते स्म
sp019-000800_lahari_7	परीक्षा समाप्त्यनन्तरम् विरामः भविष्यति विद्यालयस्य
sp019-000801_lahari_7	तदा किम् कर्तव्यम्
sp019-000802_lahari_7	स्वदेशम् प्रति गन्तव्यम् चेत् गमनागमनव्ययः द्विसहस्रडालरात्मकः भविष्यति
sp019-000803_lahari_7	तावद्धनम् नास्ति
sp019-000804_lahari_7	यावद् विद्यार्थिवेतनम् प्राप्यते तावत्तु दैनन्दिनव्यवहाराय एव व्ययितम् भवति
sp019-000805_lahari_7	मातापितरौ निर्धनौ
sp019-000806_lahari_7	तौ कथम् वा षष्टिसहस्राधिकानि रूप्यकाणि प्रेषयेताम्
sp019-000807_lahari_7	मासत्रयम् शिकागोनगरे कथम् यापनीयम्
sp019-000808_lahari_7	ग्रन्थालये उपविश्य कियत्पठितुम् शक्यम्
sp019-000809_lahari_7	दूरवीक्षणयन्त्रम् विविधानि रोमाञ्चकराणि चित्राणि दर्शयति
sp019-000810_lahari_7	तथापि तत् प्रतिदिनम् दर्शम् निर्विण्णो भवति मानवः
sp019-000811_lahari_7	इत्थम् चिन्तयन् रमेशः शीतकोष्ठस्थितम् पयोहिमम् पात्रके निधाय
sp019-000812_lahari_7	चमसेन किञ्चित् किञ्चित् खादितुम् उद्युक्तः अभवत्
sp019-000813_lahari_7	तावता दूरवाणीयन्त्रम् ट्रीन् ट्रीन् इति शब्दमकरोत्
sp019-000814_lahari_7	वामहस्तेन दूरवाण्याः स्वीकारकमुन्नीय कर्णस्य समीपे गृहीत्वा
sp019-000815_lahari_7	हलो इति उक्तवान् रमेशः
sp019-000816_lahari_7	प्रत्युत्तररूपेण सुमधुरः कण्ठध्वनिः श्रुतः
sp019-000817_lahari_7	सः च कस्याश्चित् युवत्याः
sp019-000818_lahari_7	न सुपरिचितः ध्वनिः तथापि कदाचित् श्रुतपूर्वः इव
sp019-000819_lahari_7	साम्प्रदायिका कुशलप्रश्नानन्तरम् सा युवतिः अवदत्
sp019-000820_lahari_7	अपि माम् प्रत्यभिजानाति भवान्
sp019-000821_lahari_7	विश्वविद्यालयस्य ग्रन्थालये आवयोः परिचयः जातः
sp019-000822_lahari_7	अहम् तैलान्ड् देशस्य विद्यार्थी इति
sp019-000823_lahari_7	रमेशः अवदत् स्मरामि स्मरामि
sp019-000824_lahari_7	ततः आवाभ्याम् उपहारमन्दिरे पानीयम् पीतम् किल
sp019-000825_lahari_7	सत्यम् सा एव अहम्
sp019-000826_lahari_7	तदा भवत्या स्वस्य स्थितिः वर्णिता
sp019-000827_lahari_7	स्वदेशम् गन्तुमिच्छतः मम समीपे पर्यप्तमात्रेण धनम् नास्ति इति
sp019-000828_lahari_7	तद्विषये अहमद्य मम पत्या सः सम्भाषणम् कृतवती
sp019-000829_lahari_7	सः भवत्कृते कमपि उपायम् कर्तुमिच्छति
sp019-000830_lahari_7	यदि शक्यते तर्हि श्वः तस्यैव उपाहारमन्दिरस्य समीपे आगम्यताम्
sp019-000831_lahari_7	अहम् पत्या सह आगमिष्यामि
sp019-000832_lahari_7	तत्र पानीयम् पिबन्तः सर्वम् चर्चयाम
sp019-000833_lahari_7	यदि सर्वम् सङ्गच्छते तर्हि प्रायः भवान् स्वदेशम् गन्तुम् विरामानन्तरम् प्रत्यागन्तुम् च शक्नुयात्
sp019-000834_lahari_7	अल्पपरिचयवती अपि मयि भवत्याः एतावती कृपा
sp019-000835_lahari_7	कथमहम् कृतज्ञताम् निवेदयेयम् रमेशः अपृच्छत्
sp019-000836_lahari_7	अलम् चिन्तया अलम् एतादृशवचनेन सा अवदत्
sp019-000837_lahari_7	कस्मिन् समये तस्याः तद्भर्तुः च दर्शनम् कर्तव्यम् इत्यादिकम् ज्ञात्वा
sp019-000838_lahari_7	स्वीकारकम् अधः स्थापितवान् रमेशः
sp019-000839_lahari_7	लोके एतादृशाः कृपालवः अपि सन्ति
sp019-000840_lahari_7	तस्याः परिचयः मद्भाग्यात् एव जातः इति अचिन्तयत् सः
sp019-000841_lahari_7	अनन्तरदिने निगदितसमयात् पूर्वमेव उपाहारगृहस्य समीपे उपस्थितः आसीत् रमेशः
sp019-000842_lahari_7	सञ्चरन् शीतलः वायुः तस्य पीडाकरः न भवति स्म
sp019-000843_lahari_7	निश्चिते समये सा युवतिः तस्याः भर्ता च कार्यानेन आगतौ
sp019-000844_lahari_7	तया भर्तुः परिचयः कारितः
