sp002-000001_KS_04	मूर्च्छिता रतिः इत्युक्तम्
sp002-001499_RV_05	प्रसितोत्सुकाभ्याम् तृतीया च इति सप्तम्यर्थे तृतीया
sp002-001500_RV_05	शासितुर्गुरोः आज्ञयापि आज्ञयावा आत्मना स्वतो वा
sp002-001501_RV_05	प्रकृत्यादिभ्य उपसङ्ख्यानमिति तृतीया
sp002-001502_RV_05	माम् सम्भावयितुम् बहूकर्तुम् वनात्प्राप्तोऽसि
sp002-001503_RV_05	गुर्वर्थम् वा स्वार्थम् वा त्वादागमनमित्यर्थः
sp002-001504_RV_05	इतीति
sp002-001505_RV_05	अर्घ्यपात्रेण मृण्मयपात्रेण अनुमितः व्ययः सर्वस्वत्यागः यस्य तस्य रघोः
sp002-001506_RV_05	इति उक्तप्रकाराम् उदाराम् औदार्ययुक्तामपि गाम् वाचम्
sp002-001507_RV_05	मनो नियोगक्रियया उत्सुकम् मे इत्येवम् रूपाम्
sp002-001508_RV_05	स्वर्गेषु पशुवाग्वज्रदिङ्गनेत्रघृणिभूजले
sp002-001509_RV_05	लक्ष्यदृष्ट्या स्त्रियाम् पुंसि गौः इत्यमरः
sp002-001510_RV_05	निशम्य श्रुत्वा वरतन्तुशिष्यः कौत्सः स्वार्थोपपत्तिम् स्वकार्यसिद्धिम् प्रति दुर्बलाशः सन्
sp002-001511_RV_05	मृण्मयपात्रदर्शनात् शिथिलमनोरथः सन् तम् रघुम् इति वक्ष्यमाणप्रकारेण अवोचत्
sp002-001512_RV_05	उक्तवान्
sp002-001513_RV_05	सर्वत्रेति
sp002-001514_RV_05	हे राजन् त्वम् सर्वत्र नः अस्माकम् वार्तम् स्वास्थ्यम् अवेहि जानीहि
sp002-001515_RV_05	वार्तम् फल्गुन्यरोगे च इत्यमरः
sp002-001516_RV_05	वार्तम् पाटवमारोग्यम् भव्यम् स्वास्थ्यमनामयम् इति यादवः
sp002-001517_RV_05	न चैतदाश्चर्यमित्याह नाथ इति
sp002-001518_RV_05	त्वयि नाथे ईश्वरे सति प्रजानाम् अशुभम् दुःखम् कुतः
sp002-001519_RV_05	तथाहि
sp002-001520_RV_05	अर्थान्तरम् न्यस्यति सूर्य इत्यादिना
sp002-001521_RV_05	सूर्ये तपति प्रकाशमाने सति तमिस्रा तमस्ततिः
sp002-001522_RV_05	तमिस्रम् तिमिरम् रोगे तमिस्रा तु तमस्ततौ
sp002-001523_RV_05	कृष्णपक्षनिशायाम् च इति विश्वः
sp002-001524_RV_05	तमिस्रमिति पाठे तु तमिस्रम् तिमिरम्
sp002-001525_RV_05	तमिस्रम् तिमिरम् तमः इत्यमरः
sp002-001526_RV_05	लोकस्य जनस्य
sp002-001527_RV_05	लोकस्तु भुवने जन इत्यमरः
sp002-001528_RV_05	दृष्टेः आवरणाय आवरणम् कर्तुम् कथम् कल्पेत
sp002-001529_RV_05	सम्पद्येत न कल्पेत इत्यर्थः
sp002-001530_RV_05	दृष्टिमावरीतुम् नालमित्यर्थः
sp002-001531_RV_05	कृपेः अलमर्थत्वात् तद्योगे नमः स्वस्ति इत्यादिना चतुर्थी
sp002-001532_RV_05	अलमिति पर्याप्त्यर्थग्रहणमिति भगवान्भाष्यकारः
sp002-001533_RV_05	तृपिच सम्पेद्यमाने चतुर्थीति वक्तव्यात्
sp002-001534_RV_05	तवार्हत इत्यादिना यदुक्तम् तन् न चित्रमित्याह
sp002-001535_RV_05	भक्तिरिति
sp002-001536_RV_05	प्रतीक्ष्येषु पूज्येषु
sp002-001537_RV_05	पूज्यः प्रतीक्ष्यः इत्यमरः
sp002-001538_RV_05	भक्तिरनुरागविशेषः ते तव कुलोचिता कुलाभ्यस्ता
sp002-001539_RV_05	अभ्यस्तेऽप्युचितम् न्याय्यम् इति यादवः
sp002-001540_RV_05	हे महाभाग सार्वभौम तया भक्त्या पूर्वान् अतिशेषे अतिवर्तसे
sp002-001541_RV_05	किन्तु सर्वत्र वार्तम् चेत् तर्हि कथम् खिन्न इव दृश्यसे अत आह
sp002-001542_RV_05	व्यतीतेति
sp002-001543_RV_05	अहम् व्यतीतकालः अतिक्रान्तकालः सन् अर्थिभावात् याचकत्वात् त्वाम् अभ्युपेतः प्राप्तवानस्मि इति मे विषादः क्लेशः
sp002-001544_RV_05	शरीरेति
sp002-001545_RV_05	हे नरेन्द्र तीर्थे सत्पात्रे प्रतिपादिता दत्त ऋद्धिः समृद्धिः येन तथोक्तः सन्
sp002-001546_RV_05	योनौ जलावतारे च मन्त्र्याद्यष्टादशस्वपि
sp002-001547_RV_05	पुण्यक्षेत्रे तथा पात्रे तीर्थम् स्यात् दर्शनेष्वपि
sp002-001548_RV_05	इति हलायुधः
sp002-001549_RV_05	शरीरमात्रेण तिष्ठन्
sp002-001550_RV_05	आरण्यकाः अरण्ये भवाः मनुष्याः मुनिप्रमुखाः
sp002-001551_RV_05	अरण्यान्मनुष्य इति उञ्प्रत्ययः
sp002-001552_RV_05	तैरुपात्ता फलमेव प्रसूतिर्यस्य सः स्तम्बेन काण्डेन अवशिष्टः
sp002-001553_RV_05	प्रकृत्यादित्वात् तृतीया
sp002-001554_RV_05	नीवार इव
sp002-001555_RV_05	आभासि शोभसे प्रकाशसे इत्यर्थः
sp002-001556_RV_05	स्थान इति
sp002-001557_RV_05	भवान् एकनराधिपः सन् सार्वभौमः सन्
sp002-001558_RV_05	मखजम् यज्ञजन्यम्
sp002-001559_RV_05	न विद्यते किञ्चन यस्य सोकिञ्चनः दरिद्रः
sp002-001560_RV_05	मयूरव्यंसकादित्वात् तत्पुरुषः
sp002-001561_RV_05	तस्य भावस्तत्त्वम् अकिञ्चनत्वम् निर्धनत्वम् व्यनक्ति प्रकटयति
sp002-001562_RV_05	स्थाने युक्तम्
sp002-001563_RV_05	युक्ते द्वे साम्प्रतम् स्थाने इत्यमरः
sp002-001564_RV_05	तथाहि सुरैः देवैः पर्यायेण प्रथमाम् पिबतेवह्निर् द्वितीयाम् पिबते रविः
sp002-001565_RV_05	इति सोमोत्पत्तिविहितक्रमेण इत्यर्थः
sp002-001566_RV_05	पीतस्य हिमांशोश्चन्द्रमसः हिमांशुश्चन्द्रमाश्चन्द्रः इत्यमरः
sp002-001567_RV_05	कलाक्षयः वृद्धेः उपचयात् श्लाघ्यतरो हि वरः खलु
sp002-001568_RV_05	मणिः शालो शाणोल्लीढः समयविजयी हेतिनिहतो मदक्षीणो नागः शरदि सरितः श्यानपुलिनाः
sp002-001569_RV_05	कलाशेषश्चन्द्रः सुरतमृदिता बालवनिता तनिम्ना शोभन्ते गलितविभवाश्चार्थिषु नृपाः
sp002-001570_RV_05	इति न्यायादितिभावः
sp002-001571_RV_05	अत्र कामन्दकः धर्मार्थम् क्षीणकोशस्य क्षीणत्वमपि शोभते
sp002-001572_RV_05	सुरैः पीतावशेषस्य कृष्णपक्षे विधोरिव इति
sp002-001573_RV_05	तदिति
sp002-001574_RV_05	तत्तस्मात् कारणात् अन्यकार्यः
sp002-001575_RV_05	प्रयोजनान्तररहितः अहम् अन्यतस्तावत् पदान्यान्तरादेव यावत्तावच्च साकल्येऽवधौ मानेऽवधारणे इत्यमरः
sp002-001576_RV_05	उर्वर्धम् उरुधनम् आहर्तुम् आर्जितुम् यतिष्ये उद्योक्ष्ये
sp002-001577_RV_05	ते तुभ्यम् स्वस्ति शुभमस्तु
sp002-001578_RV_05	नमःस्वस्ति इत्यादिना चतुर्थी
sp002-001579_RV_05	तथाहि
sp002-001580_RV_05	चातकोऽपि
sp002-001581_RV_05	धरणीपतितम् तोयम् चातकानाम् रुजाकरम् इति हेतोः अनन्यगतिकोऽपीत्यर्थः
sp002-001582_RV_05	निर्गलितः अम्बु एव गर्भो यस्य तम् शरद्धनम् शरन्मेघम् नार्दति न याचते
sp002-001583_RV_05	अर्द गतौ याचने च इति धातुः
sp002-001584_RV_05	याचनार्थे रणेऽर्दनमिति यादवः
sp002-001585_RV_05	एतावदिति
sp002-001586_RV_05	एतावत् एतावन्मात्रम् वाक्यम् उक्त्वा प्रतियातुम् कामो यस्य तम् प्रतियातुकामम् तुम् काममनसोरपीति मकारलोपः
sp002-001587_RV_05	महर्षेः वरतन्तोः शिष्यम् कौत्सम् नृपतिः रघुः निषिध्य निवार्य
sp002-001588_RV_05	हे विद्वन् त्वया गुरवे प्रदेयम् वस्तु किम् किमात्मकम् कियत् किम् परिमाणकम् वा
sp002-001589_RV_05	इति एवम् तम् कौत्सम् अन्ययुङ्क्ता अपृच्छत्
sp002-001590_RV_05	प्रश्नोऽनुयोगः पृच्छा च इत्यमरः
sp002-001591_RV_05	तत इति
sp002-001592_RV_05	ततः अनन्तरम् यथावत् यथार्हम्
sp002-001593_RV_05	अर्हार्थे वतिप्रत्ययः
sp002-001594_RV_05	विहिताध्वराय विधिवदनुष्ठितयज्ञाय
sp002-001595_RV_05	सदाचाराय इत्यर्थः
sp002-001596_RV_05	स्मयावेशविवर्जिताय गर्वाभिनिवेशशून्याय
sp002-001597_RV_05	अनुद्धताय इत्यर्थः
sp002-001598_RV_05	वर्णानाम् ब्राह्मणादीनाम् आश्रमाणाम् ब्रह्मचर्यादीनाम् च गुरवे नियामकाय
sp002-001599_RV_05	वर्णाः स्युः ब्राह्मणादयः इत्यमरः
sp002-001600_RV_05	ब्रह्मचारी गृही वानप्रस्थो भिक्षुश्चतुष्टये आश्रमोऽस्त्री इत्यमरः
sp002-001601_RV_05	वर्णाश्रमाणाम् सर्वकार्यनिर्वाहकाय इत्यर्थः
sp002-001602_RV_05	तस्मै रघवे विचक्षणः विद्वान् वर्णी ब्रह्मचारी
sp002-001603_RV_05	वर्णिनो ब्रह्मचारिण इत्यमरः
sp002-001604_RV_05	वर्णात् ब्रह्मचारिणीति इनिप्रत्ययः
sp002-001605_RV_05	सः कौत्सः प्रस्तुतम् प्रकृतम् आचचक्षे
sp002-001606_RV_05	कथयामास
sp002-001607_RV_05	समाप्तेति
sp002-001608_RV_05	समाप्तविद्येन मया महर्षिः गुरुदक्षिणायै गुरुदक्षिणास्वीकारार्थम् विज्ञापितोऽभूत्
sp002-001609_RV_05	स च गुरुः चिराय चिरात् अस्खलितोपचाराम् ताम् दुष्कराम् मे भक्तिमेव पुरस्तात्प्रथमम् अगणयत् सङ्ख्यातवान्
sp002-001610_RV_05	भक्त्यैव सन्तुष्टः किम् दक्षिणय इत्युक्तवान् इत्यर्थः
sp002-001611_RV_05	अथवा भक्तिमेव ताम् दक्षिणाम् अगणयत् इति योज्यम्
sp002-001612_RV_05	निर्बन्धेति
sp002-001613_RV_05	निर्बन्धेन प्रार्थनातिशयेन सञ्जातरुषा सञ्जातक्रोधेन गुरुणा
sp002-001614_RV_05	वरतन्तुना अर्थकार्श्यम् अर्थदारिद्र्यम् अचिन्तयित्वा अविचार्य अहम्
sp002-001615_RV_05	वित्तस्य धनस्य चतस्रः दश च कोटीः चतुर्दशकोटीः मे मह्यम्
sp002-001616_RV_05	आहर आनय इति विद्यापरिसङ्ख्यया विद्यासङ्ख्यानुसारेण इव उक्तः
sp002-001617_RV_05	अत्र मनुः अङ्गानि वेदाश्चत्वारो मीमांसा न्यायविस्तरः
sp002-001618_RV_05	पुराणम् धर्मशास्त्रम् च विद्या ह्येताश्चतुर्दश
sp002-001619_RV_05	इति
sp002-001620_RV_05	सोऽहमिति
sp002-001621_RV_05	सोऽहम् सपर्याविधिभाजनेन अर्घ्यपात्रेण भवन्तम् प्रभुशब्द एव शेषो यस्य तम् मत्वा निःस्वम् निश्चित्य इत्यर्थः
sp002-001622_RV_05	श्रुतनिष्क्रयस्य विद्यामूल्यस्य अल्पेतरत्वात् अतिमहत्त्वात् सम्प्रति उपरोद्धुम् निर्बन्धुम् नाभ्युत्सहे
sp002-001623_RV_05	न सोढवानस्मि
sp002-001624_RV_05	इत्थमिति
sp002-001625_RV_05	द्विजराजकान्तिः चन्द्रकान्तिः
sp002-001626_RV_05	द्विजराजः शशधरो नक्षत्रेशः क्षपाकरः इत्यमरः
sp002-001627_RV_05	तस्मात्सोमो राजा नो ब्राह्मणानाम् इति श्रुतेः
sp002-001628_RV_05	द्विजराजकान्तित्वेन अर्थावाप्तिवैराग्यम् वारयति
sp002-001629_RV_05	एनसः पापात् निवृत्ता इन्द्रियवृत्तिः यस्य सः
sp002-001630_RV_05	जगदेकनाथः रघुः वेदविदाम् वरेण श्रेष्ठेन द्विजेन कौत्सेन इत्थमावेदितः निवेदितः सन्
sp002-001631_RV_05	एनम् कौत्सम् भूयः पुनः जगाद
sp002-001632_RV_05	गुर्वर्थमिति
sp002-001633_RV_05	श्रुतस्य शास्त्रस्य पारम् अन्तम् दृष्टवान् श्रुतपारदृश्वा
sp002-001634_RV_05	दृशेः क्वनिप् इति क्वनिप् प्रत्ययः
sp002-001635_RV_05	गुर्वर्थम् गुरुदक्षिणार्थम् यथा तथा अर्थी याचकः
sp002-001636_RV_05	विशेषणद्वयेनापि अस्य अप्रत्याख्येयत्वमाह
sp002-001637_RV_05	रघोः सकाशात् कामम् मनोरथम् अनवाप्य अप्राप्य वदान्यान्तरम् दात्रन्तरम् गतः
sp002-001638_RV_05	स्युः वदान्यस्थूललक्ष दानशौण्डा बहुप्रदे इत्यमरः
sp002-001639_RV_05	इत्येवम् रूपस्य परीवादस्य अपवादस्य नवो नूतनः अवतारः आविर्भावः मे मा भूत् मास्तु
sp002-001640_RV_05	रघोरिति स्वनामग्रहणम् सम्भावितत्व द्योतनार्थम्
sp002-001641_RV_05	तथा च सम्भावितस्य चाकीर्तिः मरणादतिरिच्यते इति भावः
sp002-001642_RV_05	स इति
sp002-001643_RV_05	सः त्वम् महिते पूजिते प्रशस्ते प्रसिद्धे मदीये मत्सम्बन्धिनि अग्न्यगारे त्रेताग्निशालायाम्
sp002-001644_RV_05	चतुर्थोऽग्निरिव वसन् द्वित्राणि द्वे त्रीणि वा अहानि दिनानि
sp002-001645_RV_05	सङ्ख्ययाव्येत्यादिना बहुव्रीहिः
sp002-001646_RV_05	बहुव्रीहौ सङ्ख्येये डजबहुगणादिति डच्प्रत्ययः समासान्तः
sp002-001647_RV_05	सोढुमर्हसि
sp002-001648_RV_05	हे अर्हन् मान्य त्वदर्थम् तव प्रयोजनम् साधयितुम् यावद्यते यतिष्ये
sp002-001649_RV_05	यावत्पुरानिपातयोर्लट् इति भविष्यदर्थे लट्
sp002-001650_RV_05	तथेति
sp002-001651_RV_05	अग्रजन्मा ब्राह्मणः प्रतीतः प्रीतः सन् ख्याते हृष्टे प्रतीत इत्यमरः
sp002-001652_RV_05	तस्य रघोः अवितथम् अमोघम् सङ्गरम् प्रतिज्ञाम्
sp002-001653_RV_05	अथ प्रतिज्ञाजि संविदापत्सु सङ्गरः इत्यमरः
sp002-001654_RV_05	तथेति प्रत्यग्रहीत्
sp002-001655_RV_05	अङ्गीचकार ताम् गिरम् इति केचित्पठन्ति
sp002-001656_RV_05	रघुरपि गाम् भूमिम् आत्तसाराम् गृहीतधनाम् अवेक्ष्य कुबेरात् अर्थम् धनम् निष्क्रष्टुम् आहर्तुम् चकमे इयेष
sp002-001657_RV_05	वसिष्ठेति
sp002-001658_RV_05	वसिष्ठस्य यन्मन्त्रेण उक्षणम् अभिमन्त्र्य प्रोक्षणम् तज्जात् प्रभावात् सामर्थ्याद्धेतोः
sp002-001659_RV_05	उदन्वदाकाशमहीधरेषु समुद्राकाशपर्वतेषु मरुत्सखस्य
sp002-001660_RV_05	मरुतः सखेति षष्ठीतत्पुरुषः बहुव्रीहौ समासान्तासम्भावात्
sp002-001661_RV_05	ततो वायुसहायस्य इति लभ्यते
sp002-001662_RV_05	वारीणाम् वाहको वलाहकः
sp002-001663_RV_05	पृषोदरादित्वात्साधुः
sp002-001664_RV_05	वबयोरभेदात् बलाहकः
sp002-001665_RV_05	तस्येव मेघस्येव तद्रथस्य गतिः सञ्चारः न विजघ्ने न विहता हि
sp002-001666_RV_05	अथेति
sp002-001667_RV_05	अथ प्रदोषे रजनीमुखे
sp002-001668_RV_05	तत्काले यानारोहणविधानात्
sp002-001669_RV_05	प्रदोषो रजनीमुखम् इत्यमरः
sp002-001670_RV_05	धीरः प्रयतः रघुः
sp002-001671_RV_05	समन्ताद्भवः सामन्तः राजमात्रमिति सम्भावनयैव मनीषयैव कैलासनाथम् कुबेरम्
sp002-001672_RV_05	तरसा बलेन जिगीषुः जेतुमिच्छुः सन्
sp002-001673_RV_05	कल्पितम् सज्जितम् शस्त्रम् गर्भे यस्य तम् रथमधिशिश्ये
sp002-001674_RV_05	रथे शयितवान् इत्यर्थः
sp002-001675_RV_05	अधिशीङ्स्थासाम् कर्मेति कर्मत्वम्
sp002-001676_RV_05	प्रातरिति
sp002-001677_RV_05	प्रातः प्रयाणाभिमुखाय तस्मै रघवे कोषगृहे नियुक्ताः अधिकृताः भाण्डागारिकाः
sp002-001678_RV_05	सविस्मयाः सन्तः कोषगृहस्य भाण्डागारस्य मध्ये नभस्तः आकाशात् पञ्चम्यास्तसिल्प्रत्ययः
sp002-001679_RV_05	पतिताम् हिरण्मयीम् सुर्वणमयी
sp002-001680_RV_05	दाण्डिनायनेत्यादिना निपातनात् साधुः
sp002-001681_RV_05	वृष्टिम् शशंसुः कथयामासुः
sp002-001682_RV_05	तमिति
sp002-001683_RV_05	भूपतिः रघुः
sp002-001684_RV_05	अभियास्यमानात् अभिगमिष्यमाणात् कुबेरात् लब्धम्
sp002-001685_RV_05	वज्रेण कुलिशेन भिन्नम् लूनम् सुमेरोः पादमिव प्रत्यन्तपर्वतमिव स्थितम्
sp002-001686_RV_05	शृङ्गमिति क्वचित्पाठः
sp002-001687_RV_05	पादाः प्रत्यन्तपर्वताः इत्यमरः
sp002-001688_RV_05	तम् भासुरम् भास्वरम्
sp002-001689_RV_05	भञ्जभासमिदो घुरच्
sp002-001690_RV_05	इति घुरच्प्रत्ययः
sp002-001691_RV_05	हेमराशिम् समस्तमेव कृत्स्नमेव कौत्साय दिदेश ददौ
sp002-001692_RV_05	न तु चतुर्दशकोटिमात्रमिति एवकारार्थः
sp002-001693_RV_05	जनस्येति
sp002-001694_RV_05	तौ अर्थिदातारौ द्वावपि साकेतनिवासिनः अयोध्यावासिनः
sp002-001695_RV_05	साकेतः स्यादयोध्यायाम् कोसला नन्दिनी च सा इति यादवः
sp002-001696_RV_05	जनस्य अभिनन्द्यसत्त्वौ स्तुत्यव्यवसायौ अभूताम्
sp002-001697_RV_05	द्रव्यासुव्यवसायेषु सत्त्वमस्त्री तु जन्तुषु इत्यमरः
sp002-001698_RV_05	कौ द्वौ
sp002-001699_RV_05	गुरुप्रदेयात् अधिके अतिरिक्तद्रव्ये निःस्पृहोऽर्थी
sp002-001700_RV_05	अर्थिकामात् अर्थिमनोरथात् अधिकम् प्रददातीति तथोक्तः
sp002-001701_RV_05	प्रे दाज्ञः इति कप्रत्ययः
sp002-001702_RV_05	नृपश्च
sp002-001703_RV_05	अथेति
sp002-001704_RV_05	अथ धनप्रदानान्तरम् प्रीतमनाः हृष्टमानसः महर्षिः कौत्सः सम्प्रस्थितः सन्
sp002-001705_RV_05	प्रस्थास्यमानः सन् आशंसायाम् भूतवच्च इति भविष्यदर्थे क्तः
sp002-001706_RV_05	उष्ट्राणाम् क्रमेलकानाम् वामीनाम् बडबानाम् च शतैर्वाहितार्थम् प्रापितधनम् आनतपूर्वकायम्
sp002-001707_RV_05	विनयेननम्रमित्यर्थः
sp002-001708_RV_05	प्रजेश्वरम् रघुम् करेण स्पृशन् वाचमुवाच
sp002-001709_RV_05	किमिति
sp002-001710_RV_05	वृत्ते राजवृत्ते न्यायेनार्जनमर्थस्य वर्धनम् पालनम् तथा
sp002-001711_RV_05	सत्पात्रे प्रतिपत्तिश्च राजवृत्तम् चतुर्विधम्
sp002-001712_RV_05	इति कामन्दकः
sp002-001713_RV_05	तस्मिन्वृत्ते स्थितस्य प्रजानाम् अधिपतेः नृपस्य भूः भूमिः कामान्सूते इति कामसूर्यदि
sp002-001714_RV_05	सत्सूद्विषद्रुह इत्यादिना क्विप्
sp002-001715_RV_05	अत्र कामप्रसवने किम् चित्रम्
sp002-001716_RV_05	न चित्रमित्यर्थः
sp002-001717_RV_05	किन्तु तव प्रभावः महिमातु अचिन्तनीयः
sp002-001718_RV_05	चिन्तितुमशक्यः
sp002-001719_RV_05	येन त्वया द्यौरपि मनीषितम् अभिलषितम् दुग्धा
sp002-001720_RV_05	दुहेर्द्विकर्मकत्वात् अप्रधानेकर्मणि क्तः
sp002-001721_RV_05	प्रधानकर्मण्याख्येये लादीनाहुर्द्विकर्मणाम्
sp002-001722_RV_05	अप्रधाने दुहादीनाम् ण्यन्ते कर्तुश्च कर्मणः
sp002-001723_RV_05	इति स्मरणात्
sp002-001724_RV_05	आशास्यमिति
sp002-001725_RV_05	सर्वाणि करितुरगराज्यादीनि श्रेयांसि कल्याणानि अधिजग्मुषः
sp002-001726_RV_05	प्राप्तवतः ते तव अन्यत् पुत्रातिरिक्तम् आशास्यम् आशीःसाध्यम् पुनरुक्तभूतम्
sp002-001727_RV_05	सर्वम् सिद्धमित्यर्थः
sp002-001728_RV_05	किन्तु ईड्यम् स्तुत्यम् भवन्तम् भवतः पितेव दिलीप इव आत्मगुणानुरूपम्
sp002-001729_RV_05	त्व तुल्यगुणमित्यर्थः
sp002-001730_RV_05	पुत्रम् लभस्व प्राप्नुहि
sp002-001731_RV_05	इत्थमिति
sp002-001732_RV_05	अग्रजन्मा ब्राह्मणः
sp002-001733_RV_05	अग्रजन्मा द्विजे श्रेष्ठे भ्रातरि ब्रह्मणि स्मृतः इति विश्वः
sp002-001734_RV_05	इत्थम् अनेन प्रकारेण राज्ञे रघवे आशिषम् आशीर्वादम् प्रयुज्य दत्त्वा
sp002-001735_RV_05	गुरोर्वरतन्तोः सकाशम् समीपम् प्रतीयाय प्राप
sp002-001736_RV_05	राजापि
sp002-001737_RV_05	जीवलोकः प्रणिसमूहः
sp002-001738_RV_05	जीवः प्राणिनि गीष्पतौ इति विश्वः
sp002-001739_RV_05	अर्कात् सूर्यात् आलोकम् प्रकाशमिव
sp002-001740_RV_05	चैतन्यमिति पाठे ज्ञानम्
sp002-001741_RV_05	आलोकौ दर्शनोद्योतौ इत्यमरः
sp002-001742_RV_05	तस्मात् ऋषेः आशु शीघ्रम् सुतम् पुत्रम् लेभे प्राप
sp002-001743_RV_05	ब्राह्म इति
sp002-001744_RV_05	तस्य रघोः देवी महिषी देवी कृताभिषेकायाम् इत्यमरः
sp002-001745_RV_05	ब्राह्मे तस्येदमित्यण् ब्रह्मदेवताके अभिजिन्नामके मुहूर्ते किल ईषदसमाप्तम् कुमारम् कुमारकल्पम् स्कन्दसदृशम्
sp002-001746_RV_05	ईषदसमाप्तौ इत्यादिना कल्पप्प्रत्ययः
sp002-001747_RV_05	कुमारम् पुत्रम् सुषुवे
sp002-001748_RV_05	किलेति सम्भावनायाम्
sp002-001749_RV_05	वार्तासम्भाव्ययोः किल इत्यमरः
sp002-001750_RV_05	कुमारो बालके स्कन्दे इति विश्वः
sp002-001751_RV_05	अतः ब्राह्ममुहूर्तोत्पन्नत्वात् पिता रघुः ब्रह्मणः विधेरेव नाम्ना तम् आत्मजन्मानम् पुत्रम् अजम् अजनामकम् चकार
sp002-001752_RV_05	अजो हरौ हरे कामे विधौ छागे रघोः सुते इति विश्वः
sp002-001753_RV_05	रूपमिति
sp002-001754_RV_05	ओजस्वि तेजस्वि बलिष्ठम् वा
sp002-001755_RV_05	ओजस्तेजसि धातूनाम् अवष्टम्भप्रकाशयोः
sp002-001756_RV_05	ओजो बले च दीप्तौ च इति विश्वः
sp002-001757_RV_05	रूपम् वपुः
sp002-001758_RV_05	अथ रूपम् नपुंसकम्
sp002-001759_RV_05	स्वभावाकृतिसौन्दर्यवपुषि श्लोकशब्दयोरिति विश्वः
sp002-001760_RV_05	तदेव पैतृकमेव
sp002-001761_RV_05	वीर्यम् शौर्यम् तदेव
sp002-001762_RV_05	नैसर्गिकम् स्वाभाविकम् उन्नतत्वम् तदेव
sp002-001763_RV_05	तादृगेव इत्यर्थः
sp002-001764_RV_05	कुमारो बालकः
sp002-001765_RV_05	प्रवर्तितः उत्पादितो दीपः प्रदीपात् स्वोत्पादकदीपादिव
sp002-001766_RV_05	स्वात् स्वकीयात् पूर्वादिभ्यो नवभ्यो वा इति स्माद्भावा भावो वैकल्पिकत्वात्
sp002-001767_RV_05	कारणात् जनकात् न बिभिदे भिन्नो नाभूत्
sp002-001768_RV_05	सर्वात्मना तादृश एव अभूत् इत्यर्थः
sp002-001769_RV_05	उपात्तेति
sp002-001770_RV_05	गुरुभ्यः विधिवत् यथाशास्त्रम् उपात्तविद्यम् लब्धविद्यम्
sp002-001771_RV_05	यौवनस्य उद्भेदात् आविर्भावाद्धेतोः विशेषेण अतिशयेण कान्तम् सौम्यम् तम् अजम् प्रति साभिलाषा अपि श्रीः
sp002-001772_RV_05	धीरा स्थिरोन्नतचित्ता स्थिरा चित्तोन्नतिर्या तु तद्धैर्यमिति सञ्ज्ञितम् इति भूपालः
sp002-001773_RV_05	कन्या पितुरिव
sp002-001774_RV_05	गुरोः रघोः अनुज्ञाम् आज्ञाम् आचकाङ्क्षे इयेष
sp002-001775_RV_05	यौवराज्यार्हो अभूत् इत्यर्थः
sp002-001776_RV_05	अनुज्ञाशब्दात् पितृपारतत्र्यम् उपमासामर्थ्यात् पाणिग्रहणयोग्यता च ध्वन्यते
sp002-001777_RV_05	अथेति
sp002-001778_RV_05	अथ स्वसुर्भगिन्याः इन्दुमत्याः स्वयंवरार्थम् कुमारस्य अजस्य आनयने उत्सुकेन
sp002-001779_RV_05	क्रथकैशिकानाम् विदर्भदेशानाम् ईश्वरेण स्वामिना भोजेन राज्ञा आप्तः हितः दूतः रघवे विसृष्टः प्रेषितः
sp002-001780_RV_05	क्रियामात्रयोगेऽपि चतुर्थी
sp002-001781_RV_05	तमिति
sp002-001782_RV_05	असौ रघुः तम् भोजम् श्लाघ्यसम्बन्धम् अनूचानत्वादिगुणयोगात् स्पृहणीयसम्बन्धम् विचिन्त्य विचार्य पुत्रम् च दारक्रियायोग्यदशम्
sp002-001783_RV_05	विवाहयोग्यवयसम् विचिन्त्य ससैन्यमेनम् पुत्रम् अयम् ऋद्धाम् समृद्धाम् विदर्भाधिपस्य भोजस्य राजधानीम् पुरीम् प्रति प्रस्थापयामास
sp002-001784_RV_05	धीयते अस्यामिति धानी
sp002-001785_RV_05	करणाधिकरणयोश्च इति अधिकरणे ल्युट्प्रत्ययः
sp002-001786_RV_05	राज्ञाम् धानीति विग्रहः
sp002-001787_RV_05	प्रधाननगरी राज्ञाम् राजधानीति कथ्यते
sp002-001788_RV_05	इति शब्दार्णवे
sp002-001789_RV_05	तस्येति
sp002-001790_RV_05	उपकार्यासु राजयोग्येषु पटभवनादिषु
sp002-001791_RV_05	सौधोऽस्त्री राजसदनमुपकार्योपकारिका इत्यमरवचनव्याख्याने
sp002-001792_RV_05	उपक्रियते उपकरोति च पटमण्डपादि राजसदनमिति क्षीरस्वामी
sp002-001793_RV_05	रचिताः उपचाराः शयनादयः येषु ते तथोक्ताः
sp002-001794_RV_05	जानपदानाम् जनपदेभ्यः आगतानाम् उपदाभिः उपायनैः
sp002-001795_RV_05	उपायनम् उपगाहम् उपहारस्तथोपदा इत्यमरः
sp002-001796_RV_05	वन्याः वने भवाः इतरे येषाम् ते वन्येतराः अवन्याः इत्यर्थः
sp002-001797_RV_05	न बहुव्रीहौ इति सर्वनामसञ्ज्ञानिषेधः
sp002-001798_RV_05	तत्पुरुषे सर्वनामसञ्ज्ञा दुर्वारैव
sp002-001799_RV_05	तस्य मनुजेन्द्रसूनोः अजस्य मार्गे निवासाः वसतयः तत्पुरुषे कृतिबहुलमिति सप्तम्या अलुक्
