sp025-000001_001	ftuH parivartate
sp025-000679_004	idameva kAraRamasti yadvayam mfttikAyAH mahatva vizaye prAcIna kAlAdeva jAgarukAH smaH
sp025-000680_004	asmadIyAyAm saMskftO ekataH kfzi kzetrARi prati mfttikAm prati ca BaktiH ABAra BAvaSca janezu pravarteta iti kftvA sahajaH prayAsaH vihitaH aparataSca tAdfSyaH vEjYAnika padDatayaH jIvanasya aNgatvena avartanta yadasyAH mfttikAyAH pozaRam satatam syAt
sp025-000681_004	asya deSasya kfzakasya jIvane taTya dvayasyApi mahatvam prAvartata nija mfttikAm prati BaktiH yugapadeva vEjYAnika rUpeRa mfttikAyAH saMrakzaRam paripozaRaYca
sp025-000682_004	aham himAcala pradeSasya hamIrapura janapadasya wohU grAmasya BoraYja praKaRqasya kfzakARAm vizaye SrutavAn
sp025-000683_004	atra pUrvam kfzakAH asantolita rItyA rAsAyani korvarakARAm upayogam kurvanti sma yena etasyAH BUmeH svAsTyam apakzatam
sp025-000684_004	utpAdanam nyUnIBUtam mfttikAyAH utpAdakatA cApi SanEH SanEH kzIRA jAyate sma
sp025-000685_004	vigata vitta varze SrAvaRIya SasyAvaDO goDUmasya utpAdane prati ekaq tritaH caturmitA vfdDiH jAtA
sp025-000686_004	amunA sAkam mfttikAyAH guRavattAyAmapi parizkAraH ajAyata
sp025-000687_004	urvarakasya upayogasya nyUnatA kAraRAt ArTika saYcayoऽpi jAtaH
sp025-000688_004	taTA ca yaTA yaTA pariRAmAH avApyante tezAm samutsAhaH api saMvarDate
sp025-000689_004	samprati kfzakAH api anuBavanti yat SasyAni cintanIyAni santi cet praTamam tAvat BUmeH cintA karaRIyAsti
sp025-000690_004	evam hi yadi vayam BUmi mAtuH cintAm karizyAmaScet BUmi mAtApi asmAkam sarvezAm pozaRam karizyati
sp025-000691_004	aSeza deSe asmadIyEH kfzakEH daSa kowyaDikAni mfdArogya patrARi vinirmitAni yena hi te svIya mfttikAm samyagrUpeRa avagantum SaknuyuH tadanurUpeRa ca Sasya vapanamapi kartum pArayeyuH
sp025-000692_004	vayam BUmi mAtuH Baktim kurmaH paraYca yUriyA sadfSEH urvarakEH BUmi mAtuH svAsTyam kiyad apakzatam Bavati
sp025-000693_004	kadAcit vicAritam vA
sp025-000694_004	pratyekamapi vEjYAnika prakAreRa idam sidDam yat BUmi mAtA samaDikasya yUriyopayogasya kAraRAt gaBIrAm kzatim sammuKI karoti
sp025-000695_004	kimasmAkam kfzakAH asmadIyAyAH BUmeH putrAH asmAkam DaraRyAH santatayaSca idam saNkalpayitum Saknuvanti yat sAmpratam te svIya kzetrezu yAvantam yUriyopayogam kurvanti etacCatAbdasya dvAviMSa varzam yAvat yadDi svADInatA prApteH paYca saptati varzam BavitA arDopayogam avarotsyanti
sp025-000696_004	eka vAram yadi BUmi mAtuH putraH mama kfzaka BrAtA idam saNkalpayati cet nUnam paSyantu BUmi mAtuH Arogyam parizkftam BavitA utpAdanaYca vivarDitA
sp025-000697_004	kfzakasya jIvanam parivartitum Arapsyate
sp025-000698_004	kadAcit tAdfSaH kAlaH AsIt yadA dIpAvalyAH prAgeva SItartuH prAraBate sma
sp025-000699_004	aDunA satyapi qisembara mAse Agate SItartuH SanEH SanEH samupAgacCati
sp025-000700_004	paraYca etAdfSezvapi ftuzu satatam jAgarukAH santaH janAH mahAntam pariRAmam viDAtum arhanti
sp025-000701_004	api cEtAni udAharaRAni asmAkam sarvezAm kfte preraRApradAyIni Bavanti
sp025-000702_004	etAvat vyApaka starIyam kAryam taTA ca etAvAn kanIyAn bAlakaH
sp025-000703_004	paraYca BAvaH saNkalpaSca sutarAm bahuguRitO bfhantO balavattarO cAstAm
sp025-000704_004	pratidinam triMSat catvAriMSat saNKyAkezu gfhezu gatvA svacCatAyAH sandeSa pradAyakasya asya bAlakasya kAraRAt kumhArI grAmaH anAvfte SOcAcaraRAn muktaH aBavat
sp025-000705_004	svacCatA protsAhanAya kanizWaH bAlakaH tuzAraH prerakam kAryam akarot
sp025-000706_004	pratikzaRam vayam kiYcit kiYcidapi Sikzitum avasarAn laBemahi
sp025-000707_004	sAmpratam te pratyekamapi kzetre samIcInataram kAryam kurvanti
sp025-000708_004	asmAkam divyANga janAH na kasmAdapi paScavartinaH vartante
sp025-000709_004	aSeza deSe pfTak pfTak prakArikAH pratiyogitAH Ayojyante
sp025-000710_004	vigatezu dinezu udayapure saptadaSa saNKyAkAH rAzwriya divyANga taraRa sparDAH AyojitAH
sp025-000711_004	aSeza deSAd AgatAH asmadIyAH yuvAnaH divyANgAH BrAtf BaginyaH Asu sahaBAgitvam Avahan svIyam kOSalaYca prAdarSayan
sp025-000712_004	paraYca tasya sAhasam saNkalpam SramaYca paSyantu rAzwriya divyANga taraRa sparDAyAm UnaviMSa varzIyaH jigara WakkaraH ekAdaSa padakAni vijitavAn
sp025-000713_004	aham yUnaH jigara Wakkarasya samutsAham aBinandAmi tasmE ca maNgala kAmanAH vyAharAmi
sp025-000714_004	asmadIyoऽyam prayAso vartate yat deSasya pratyekamapi janaH samarTaH kzamaSca syAt
sp025-000715_004	ekasya samAveSi samAjasya nirmARam Bavet
sp025-000716_004	sama mama ityanayoH BAvaH samAje samarasatAm vivarDayet sarve ca samBUya agresarema
sp025-000717_004	aham sarveByoऽpi deSavAsiByaH hArdikIH SuBakAmanAH vitarAmi ASAse yadidam Ida parva samAje SAntim sadBAvanAYca vivarDayitum asmaByam sarveByaH nUtana preraRA pradAyi syAt
sp025-000718_004	aBinavAYca UrjAm pradadyAt navIna saNkalpasya ca sAmarTya pradam Bavet
sp025-000719_004	BavatyAH kaTanam samIcInam
sp025-000720_004	idam varzam pUrRam Bavati
sp025-000721_004	aBinavam varzam Asanna prAyam
sp025-000722_004	paraYca BavatyA samyak parAmarSitam
sp025-000723_004	BavatyA yaduktam tena saha kimapi saMyoktum kiYcit parivartayitum ca aBilazAmi
sp025-000724_004	vayam azwAdaSottara dvisahasra tame varze SuBa smaraRa purassaram SuBa saNkalpena sahEva praviSema
sp025-000725_004	asmAkam deSe tu saYcAra mADyamezu vigata varzasya anekAsAm rocaka GawanAnAm punaHsmaraRam kArayitum prayatyate
sp025-000726_004	tezu racanAtmakamapi Bavati nakArAtmakamapi Bavati
sp025-000727_004	kim asmin krame vayam asya varzasya jIvanasya paYca racanAtmaka vizayAnuBavAn samBaktum SaknumaH
sp025-000728_004	Bavatu nAma tat citra mADyamena vA laGukaTA rUpeRa laGu dfSyANkanena vA aham AmantrayAmi yat azwAdaSottara dvisahasra tama varzasya svAgatam asmABiH SuBe pariveSe karaRIyam
sp025-000729_004	SuBasmftiBiH sAkam karaRIyam
sp025-000730_004	racanAtmaka cintanena saha anuzWeyam
sp025-000731_004	racanAtmaka vizayAn saMsmftya viDeyam
sp025-000732_004	anyeByaH preraRA pradAyi GawanAH smarema
sp025-000733_004	SuBa vastUni SuBa kAryArTam UrjAm pradadati
sp025-000734_004	SuBa BAvaH SuBa saNkalpasya hetuH Bavati
sp025-000735_004	SuBa saNkalpaH SuBa pariRAmArTam agre sannayati
sp025-000736_004	paSyantu vayam sarve samBUya prabalam racanAtmakam ca pariveSam nirmAya AgamizyamARasya varzasya svAgatam karizyAmaH
sp025-000737_004	anekaviDa vizayAn carcitum avasaraYca lapsye
sp025-000738_004	BUyAMso DanyavAdAH
sp025-000739_005	mama priyAH deSavAsinaH namaskAraH
sp025-000740_005	idam man kI bAt prasAraRam hi asya varzasya antimoऽyam kAryakramaH taTA ca saMyogam paSyantu yadadya saptadaSottara viMSati Sata tamasya varzasya api antimo divasoऽsti
sp025-000741_005	sampUrReऽpi varze asmin aneke vizayAH asmABiH BavadBiSca saMviBAjitAH
sp025-000742_005	man kI bAt prasAraRasya kfte BavadBiH prezitAnAm bahUnAm patrARAm anekAsAm wippaRInAm viviDAnAm ca vicArARAm AdAna pradAnam mama kfte tu sarvadA nUtanAyAH UrjAyAH pradAyakam sidDyati
sp025-000743_005	kAsAYcana horARAm anantaram varzamidam parivartizyate paraYca asmadIyaH ezaH kaTA kramaH saMvAdakramaSca itaH paramapi evameva pravartitA
sp025-000744_005	AgamizyamARe varze vayam navInAH kaTAH karizyAmaH nUtanAn anuBavAn ca saMviBAjayizyAmaH
sp025-000745_005	BavadByaH sarveByaH azwAdaSottara viMSati Sata tama varzasya kfte BUriSo maNgala kAmanAH
sp025-000746_005	nAticiram qisembara mAse paYcaviMSati tame dinANke aSeza jagati krismas parva sotsAham AmAnitam
sp025-000747_005	BArateऽpi janEH sotsAham parvedam AmAnitam
sp025-000748_005	krismas parvaRi vayam IsA masIhasya bahumUlyAn upadeSAn smarAmaH taTA ca IsA masIhena yasmE vizayAya sarvADikam balam pradattam saH AsIt sevA BAvaH
sp025-000749_005	sevA BAvanAyAH sAram vayam bAibale api paSyAmaH
sp025-000750_005	arTAt mAnava putraH samAyAtaH sevA prAptaye nEva api tu sevA kAryArTam ASIrBUtam svIyam jIvanam mAnavatAyE arpayitum
sp025-000751_005	idam dyotayati yat kim nAma sevAyAH mAhAtmyam
sp025-000752_005	Bavatu nAma viSvasya kAcidapi jAtiH kaScana api DarmaH paramparA varRaH vA paraYca sevABAvo hi mAnavIya mUlyAnAm anupama aBijYAnatvena pravartate
sp025-000753_005	asmadIye deSe nizkAma karma vizaye subahu SrUyate arTAt tAdfSI sevA yA hi kAYcidapi apekzAm vinA kriyate
sp025-000754_005	asmAkam granTezu tu proktameva sevA paramo DarmaH
sp025-000755_005	jIva sevA eva Siva sevA taTA ca gurudevaH rAmakfzRa parama haMsaH tu kaTayati
sp025-000756_005	Siva BAvena jIva sevAm kuryAt arTAt viSvasmin viSve etAni sarvARi mAnavIya mUlyAni tulyAni eva santi
sp025-000757_005	AgacCantu vayam sarve etAn mahApuruzAn pavitra divasAn ca smarantaH asmadIyAyE asyE mahatyE amUlya paramparAyE nUtanAm cetanAm navInAYca UrjAm Anayema taTA ca svayamapi enAm jIvitum prayatema
sp025-000758_005	mama priyAH deSavAsinaH etad varzam gurugovinda siMhasya sArDa triSatI rUpeRa prakASa parva varzamapi AsIt
sp025-000759_005	gurugovinda siMhasya sAhasa tyAga samBaritam asADAraRam jIvanam asmAkam kfte preraRA srotastvena vartate
sp025-000760_005	gurugovinda siMhaH mahAnti jIvana mUlyAni upAdiSat taTA ca tAni ADftya svIyam jIvanam yApitavAn
sp025-000761_005	anyatamaH guruH kaviH dArSanikaH mahAn yodDA ca gurugovinda siMhaH etAsu sarvAsvapi BUmikAsu janAn prabalatayA preritavAn
sp025-000762_005	asO utpIqanam anyAyaYca virudDya saNGarzamakarot
sp025-000763_005	jAti DarmayoH banDanAni parihartum saH janAn SikzitavAn
sp025-000764_005	evaNkriyamARaH asO vyaktigatarUpeRa bahuSaH hAnimapi sammuKIkftavAn
sp025-000765_005	paraYca saH na kadApi dveza BAvanAnvitaH saYjAtaH
sp025-000766_005	jIvanasya pratyekamapi kzaRe saH premRaH tyAgasya SAnteSca sandeSam prAdAt
sp025-000767_005	kiyatIBiH mahatIBiH viSezatABiH samBaritamAsIt tasya vyaktitvam
sp025-000768_005	BAratIya lokatantram ekaviMSati tama SatAbdasya matadAtFRAm nUtana BAratam BavatAm matadAtFRAm svAgatam karoti
sp025-000769_005	aham etAn asmadIyAn yuva janAn varDApayAmi sarvAn ca sAgraham vyAharAmi yadBavantaH AtmAnam matadAtf rUpeRa paYjIkArayantu
sp025-000770_005	aSeza BAratam BavataH ekaviMSati tama SatAbdasya matadAtf rUpeRa varDApayitum lAlAyate
sp025-000771_005	ekaviMSati tama SatAbdasya matadAtf rUpeRa BavantaH api gOravam anuBaveyuH
sp025-000772_005	BavatAm matadAnam nUtana BAratasya ADAraH setsyati
sp025-000773_005	matadAnasya SaktiH kasminnapi lokatantre mahattamA SaktiH Bavati
sp025-000774_005	lakzaSo janAnAm jIvane sakArAtmakam parivartanam ApAdayitum matadAnam hi sarvottamam praBAvi sADanam vartate
sp025-000775_005	na kevalam Bavanto matadAnArTam arhAH Bavanti api tu ekaviMSati tama SatAbdasya BAratam kIdfSam syAt
sp025-000776_005	ekaviMSati tama SatAbdasya BavatAm svapnAni kAni syuH
sp025-000777_005	taTA cAdya svIyeऽsmin man kI bAt prasAraRe aham azwAdaSataH paYcaviMSati varzIyEH UrjA saNkalpa samBaritEH yaSasviBiH yuvaBiH samBAzitum Ihe
sp025-000778_005	nUtana BAratasya tAruRyam ityasya arTo Bavati umaNgaH utsAhaH UrjA ca
sp025-000779_005	dfQamaham viSvasimi yadasmadIyAnAm etezAm UrjAvatAm yUnAm kOSalena SaktyA cEva asmAkam nUtana BAratasya svapnam pUrRam BavitA
sp025-000780_005	yadA vayam nUtana BArata vizaye vadAmaH tadA tu idam hi tat BAratam yadDi jAtivAda sampradAyavAdAtaNkavAda BrazwAcArARAm garalAt muktam syAt
sp025-000781_005	asvacCatAtaH nirDanatAtaH ca muktam syAt
sp025-000782_005	aBinavam BAratam yatra SAntiH ekatA sadBAvanA cEva asmadIyA saYcAlana SaktiH Bavet
sp025-000783_005	mamedam navIna BAratasya tAruRyam agre AgacCet manTanam ca kuryAt yat kena viDinA Bavizyati navInam BAratam
sp025-000784_005	saH svayamapi AtmanaH kfte mArgam niScinuyAt yEH sAkam saH sampfktoऽsti tAnapi saMyojayet evam hi paTika sArTaH saMvarDeta
sp025-000785_005	Bavantoऽpi agresarantu deSoऽpi agresaret
sp025-000786_005	yatra azwAdaSataH paYcaviMSati varzIyAH yuvAnaH samBUya nUtana BArata vizayakam manTanam kuryuH mArgAn mfgayeyuH yojanAH viracayeyuH
sp025-000787_005	kena prakAreRa ca vayam asmadIyAni svapnAni etat SatAbdasya dvA viMSati tama varzAt pUrvameva sADayizyAmaH
sp025-000788_005	kena prakAreRa ca vayam tAdfSam BAratam viracayizyAmaH yasya svapnam asmadIyAH svatantratA sEnikAH avAlokayan
sp025-000789_005	mama taruRAH saKAyaH sAmpratam kAlasya iyam apekzA yadvayam api ekaviMSati tama SatAbdasya Bavya divya BAratasya kfte janAndolanamekam pravartayema
sp025-000790_005	vikAsasya janAndolanam
sp025-000791_005	pragateH janAndolanam sAmarTyavataH SaktiSAlinaSca BAratasya janAndolanam
sp025-000792_005	saNkalpataH sidDiH kaTam prAptum Sakyate
sp025-000793_005	samprati yUnAm kfte bahavaH avasarAH saYjAtAH
sp025-000794_005	taTA ca vizayeऽsmin tAdfSI kAcit vyavasTA Bavet yena prApte sati azwAdaSa varzIyAyuzi saH etat jagataH etezAm vizayARAm kfte ca sahajatayA sUcito Bavet sa ca AvaSyakAn lABAn api avApnuyAt
sp025-000795_006	api ca divasa dvaya pUrvameva vayam gaRatantra parvaRaH Ayojanam atitarAm utsAhena kftavantaH
sp025-000796_006	itihAse praTama vArameva etat jAtam yat daSa saNKyAkAnAm deSAnAm pramuKAH samAroheऽsmin samupasTitAH Asan
sp025-000797_006	aham BrAtuH prakASa varyasya kArtajYyam AvahAmi yattena svIye dIrGe patre kalpanA cAvalA prayARam AramBe eva sandarBitam
sp025-000798_006	etattu asmAkam sarvezAm kfte duHKadam yadalpIyasi eva vayasi sA divaNgatA
sp025-000799_006	paraYca sA svIyajIvanena aSeza jagati viSezeRa ca BAratasya lakzaSo bAlikAByaH idam samadiSat yan nArI SaktiH asImitAsti
sp025-000800_006	yadi icCA dfQa saNkalpaH ca staH kiYcit nUnam karaRIyamiti dfQaBAvaH asti cet na kiYcidapi asamBavam
sp025-000801_006	etaddfzwvA manaH prasIdatitarAm yad adyatve BArate mahilAH pratyekamapi kzetre druta gatyA agresaranti deSasya gOravam vivarDayanti
sp025-000802_006	prAcIna kAlAt asmadIye asmin deSe mahilAnAm sammAnanam samAje tAsAm sTAnam tAsAYca yogadAnam etat sarvam satatam sampUrRamapi viSvam AScarya cakitam karoti
sp025-000803_006	BAratIya viduzIRAm dIrGA paramparA vartate
sp025-000804_006	vedAnAm fcAnAm AvizkaraRe BAratasya anekAsAm viduzIRAm fzikARAm ca subahu yogadAnamAsIt
sp025-000805_006	lopAmudrA gArgI mEtreyI apAlA cetyAdayaH na jAne kati kati nAmAni santi
sp025-000806_006	adyatve vayam kanyAm rakza kanyAm pAWaya iti prayatAmahe paraYca sahasrAbdeByaH prAk asmadIyezu SAstrezu skandapurARe kaTitam
sp025-000807_006	daSaputra samA kanyA daSaputrAn pravarDayan
sp025-000808_006	yat Palam laBate martyaH tallaByam kanyakEkayA
sp025-000809_006	arTAt ekA putrI daSa putrEH tulyA Bavati
sp025-000810_006	daSaBiH putrEH yat puRyam prApyate ekayA putryA tat puRyam laByate
sp025-000811_006	taTyamidam asmadIya samAje nAryAH mahatvam darSayati
sp025-000812_006	ata eva asmadIye samAje nArI Sakti svarUpA iti pratizWApitam
sp025-000813_006	nArI SaktiH sarvadeva asmAn anAratam prerayati sma satataYca prerayati
sp025-000814_006	deSasya mAnam sammAnanaYca vivarDayantI pravartate
sp025-000815_006	SrImAn prakAS tripAWI itaH paramapi anekAni udAharaRAni prAdAt
sp025-000816_006	saH aliKat yadasmadIyA sAhasikA pratirakzA mantri varyA nirmalA sItAramaRa mahABAgA yayA suKoI triMSatiti yodDf vimAnena uqqItam tacca nUnam preraRAdAyi
sp025-000817_006	BavatA samyak kaTitam yadadyatve nArI pratyekamapi kzetre na kevalam agresarati paraYca netftvamapi karoti
sp025-000818_006	aDunA anekAni tAdfMSi kzetrARi santi yatra sarvapraTamam asmadIyA nArI SaktiH kiYcit nAvInyam pramARayati
sp025-000819_006	aBinavam kIrtimAnam pratizWApayati
sp025-000820_006	vigatezu dinezu mAnanIyaH rAzwrapati mahodayaH navIna prayAsam prAraBata
sp025-000821_006	rAzwrapati mahodayaH asADAraRa mahilAnAm vfndamekam amilat yAH sva sva kzetrezu sarva praTamam kimapi utkfzwam akurvan
sp025-000822_006	nUtanam kIrtimAnam pratizWApitavatyaH
sp025-000823_006	etAH idam pradarSitavatyaH yat kaWora Sramam nizWAm dfQasaNkalpaYca ADftya sarvAH api bADAH viGnAn cAtikramya nUnam navInam mArgam upakalpayitum Sakyate
sp025-000824_006	tAdfSaH navInaH mArgaH yaH na kevalam svIya samakAlInAnAm janAnAm kfte api tu BAvi prajAnAm kfteऽpi prerakaH syAt
sp025-000825_006	nUtanayA SaktyA navInena ca utsAhena tAn ApUrayet
sp025-000826_006	etAH samupalabDavatIH praTamAH mahilAH Alakzya ekam pustakamapi sajjIkftamasti yena hi aSeza deSaH AsAm nArI SaktInAm vizaye avagatAH syuH etAsAm jIvaneByaH kAryeByaSca preritAH BaveyuH
sp025-000827_006	sAmpratam deSe samAje ca saYjAyamAne sakArAtmake parivartane deSasya nArI SakteH mahatvapUrRA BUmikA vartate
sp025-000828_006	adya vayam yadA mahilA SaktIkaraRasya carcAm kurvantaH smaH tadA ahamekam relAsTAnakam sandarBayitumIhe
sp025-000829_006	mumbayyAH mAwuNgA sweSaniti relAsTAnakam BAratasya prapraTamam relAsTAnakam vartate yatra sarvAH api karmakarAH mahilAH eva santi
sp025-000830_006	sarvezu viBAgezu mahilA karmacAriRyaH Ahatya catvArinSadaDikAH mahilAH santi
sp025-000831_006	etAH sAhasapUrRa prayogam kurvantyaH Asan api cedam dfSyam vEdeSikAn atiTIn api AScaryacakitAn karoti sma
sp025-000832_006	SaktIkaraRam hi AtmanirBaratAyAH eva ananyatamam rUpam
sp025-000833_006	sAmpratam asmadIyA ezA nArISaktiH netftvam karoti
sp025-000834_006	AtmanirBarA Bavati
sp025-000835_006	sadyaH smarAmi yat CattIsagaqasya asmadIyAH AdivAsi mahilAH AScaryam ajanayan
sp025-000836_006	etAH nUtanodAharaRam prastutavatyaH
sp025-000837_006	AdivAsi mahilAnAm yadA ulleKaH Bavati tadA asmAkam sarvezAm manassu ekam suniScitam citram utpadyate
sp025-000838_006	yatra araRyam Bavati pAda mArgo Bavati tasmin kAzWa BAravAhinyaH mahilAH pracalantyaH dfSyante
sp025-000839_006	paraYca CattIsagaQasya asmadIyAH AdivAsi nAryaH asmadIyA ezA nArI SaktiH deSasya sammuKam ekam navInam citram vyaracayat
sp025-000840_006	alpIyasi kAlaKaRqe anekAH mahilAH amunA kAryeRa saMyutAH jAtAH
sp025-000841_006	taTA ca yugapadeva anena paryAvaraRa saMrakzaRasya kAryamapi sabalam Bavati
sp025-000842_006	atratyam janapada praSAsanamapi praSaMsArham vartate yena anudAnAdikam upalamBayitvA AByaH praSikzaRAdikamapi pradIyate evam hi janapadapraSAsanena AsAm mahilAnAm saPalatAvAptO mahatvapUrRA BUmikA nirvyUQAsti
sp025-000843_006	kiYcid vESizwyamasti tAdfSam yadastitvam avinASi asmadIyam tat kimasti
sp025-000844_006	yadDi kAla bAhyamasti tat tyAjyam yadDi AvaSyakam tasya parizkAraH svIkartavyaH
sp025-000845_006	sAmAjika kupraTAH kurItISca viruDya sahasrAbdeByaH asmAkam deSe vyaktigatezu sAmAjikezu ca starezu satatam prayAsAH BavantaH Asan
sp025-000846_006	nAticiram bihAra rAjye rocakaH prATamikaH prayAsaH aBavat
sp025-000847_006	amunA aBiyAnena bAla vivAha yOtuka praTA sadfSIH kurItIH viruDya janezu jAgftiH prasAritA
sp025-000848_006	yOtuka bAlavivAha sadfSIH kurItIH viruDya aSeza rAjyam yodDum saNkalpitavat
sp025-000849_006	AbAla mahilA vfdDAH yuvAnaSca sotsAham asmin aBiyAne sahaBAginaH Asan
sp025-000850_006	pawanA nagaryAH EtihAsikAt gAnDi mEdAna sTalAt AraBya mAnava SfNKalA ezA rAjyasya sIma pradeSam yAvat avicCinna rUpeRa saNkalitA jAtA
sp025-000851_006	samAjasya sarveऽpi janAH samucitarUpeRa vikAsasya lABAn avApnuyuH iti kftvA etadAvaSyakam yadasmAkam samAjaH etAByaH kurItiByaH muktaH syAt
sp025-000852_006	AgacCantu vayam sarve militvA samAjAt etAH kurItIH apAstum pratijYAm karavAma taTA ca ekam navInam Saktam sabalam samarTaYca BAratam nirmAtum prayatema
sp025-000853_006	aham bihArasya janAn rAjyasya muKyamantriRam tatratyam praSAsanam mAnava SfNKalAyAm sahaBAginaH pratyekamapi janAn ca aBinandAmi varDApayAmi yat te samAja kalyARa diSi viSizwAm vyApinIYca prakriyAm AraBanta
sp025-000854_006	saH pUrvam praDAnamantri janOzaDi yojanA vizaye nEva jAnAti sma
sp025-000855_006	paraYca samprati yadA saH janOzaDi kendra vizaye sUcanAm alaBata tataSca OzaDi krayaRam vyadaDAt tataH praBfti eza vyayaH pratiSatam paYca saptati mityA apacitaH
sp025-000856_006	vigateByaH katipayeByaH dineByaH aneke janAH etadvizaye mAm liKanti sma sUcayanti sma
sp025-000857_006	ahamapi sAmAjika saYcAra mADyamezu dfzwavAn yad aneke janAH anayA yojanayA lABAnvitAH aBUvan
sp025-000858_006	taTA ca yadA etAdfSI sUcanA avApyate tadA harza prakarzaH anuBUyate
sp025-000859_006	gaBIraH santozaH jAyate
sp025-000860_006	janOzaDi kendrezu prApyAH OzaDyaH ApaRezu vikrIyamARAByaH cinhitAByaH OzaDIByaH prAyeRa pratiSatam pancASattaH navati mityA nyUnArGAH Bavanti
sp025-000861_006	sAmpratam aSeza deSe trisahasrADikAni janOzaDi kendrARi sTApitAni santi
sp025-000862_006	anena na kevalam OzaDayaH nyUnArGARi prApyante api tu vEyaktika udyaminAm kfteऽpi vfttitAyAH navInAH avasarAH avApyante
sp025-000863_006	atra idameva uddizwam yaddeSasya nirDanatamAH janAH guRavattAyutAm sulaBAm nyUnArGAYca svAsTyopacaryAm avApnuyuH yena hi svasTasya samfdDasya ca BAratasya nirmARam samBavam Bavet
sp025-000864_006	taccitram tAdfSamAsIt yanmama DyAnam sahasA tadAkfzwam jAtam
sp025-000865_006	aham jYAtavAn yat akolA kzetrIyAH nAgarikAH svacCa BAratABiyAnasya antargatam mornA nadyAH svacCIkaraRArTam svacCatABiyAnam AyojitavantaH
sp025-000866_006	mornA nadI pUrvam Avarzam sajalA vahati sma sAmpratam sA ftu nizWA saYjAtA
sp025-000867_006	aparo vedanA vizayaH AsIt yadezA nadI pUrRarUpeRa AraRyakEH grAsEH jalakumBiBiH samAkIrRA saYjAtA
sp025-000868_006	nadyAm asyAH tawa pradeSe ca praBUtaH avakara prakzepaH kriyate sma
sp025-000869_006	etat pramARayati yat janaH yadi kimapi kartum dfQa saNkalpam karoti cet tadA kiYcidapi aSakyam nAsti
sp025-000870_006	janAndolanamADyamena bfhattamAni parivartanAni kartum Sakyante
sp025-000871_006	aham akolAvAsinaH atratyam janapada nagara nigamayoH praSAsane ca etatkAryam janAndolanarUpeRa pravartayitum saMlagnAn sarvAn nAgarikAn ca tezAmezAm prayAsAnAm kfte BUriSaH varDApayAmi
sp025-000872_006	api ca kAmaye yadBavatAm ete prayAsAH deSasya anyezAm janAnAm kfteऽpi preraRAdAyino BaveyuH
sp025-000873_006	vArtApatrezu dfSya vAhinIzu cApi vizayeऽsmin DyAnamAkfzyate
sp025-000874_006	paraYca yadi kiYcit sUkzmekzikayA paSyantu cet BavantaH garvam anuBavizyanti
sp025-000875_006	prativarzam padma puraskArARAm pradAna paramparA satatam pravartate
sp025-000876_006	evam hi etezAm puraskArARAm cayana prakriyAyAH pUrRaH rUpAntaraH jAtaH
sp025-000877_006	BavatAmapi avaDAnam syAt jAtam yat atitarAm sAmAnya janAH api padma puraskArAn laBante
sp025-000878_006	tAdfSeByoऽpi janeByaH padma puraskArAH pradIyante ye sAmAnyatayA mahAnagarezu vArtApatrezu dfSyavAhinIzu samArohezu ca nAvalokyante
sp025-000879_006	aDunA puraskAra pradAnArTam janasya aBijYAnam nEva tasya kAryasya mahatvam vivarDate
sp025-000880_006	SrImAn aravindaguptA ityasmE padma puraskAra prApteH anantarameva syAt praTamavAram BavatA tasya nAma Srutam Bavet
sp025-000881_006	tasya prayatnaH asti yadbAlAH nirarTaka vastuByaH vEjYAnika prayogAn prati preritAH BaveyuH
sp025-000882_006	etadarTam asO aSeza deSasya trisahasrADikezu vidyAlayezu gatvA azwAdaSa BAzAsu nirmitAni calacitrARi api pradarSya bAlAn prerayati
sp025-000883_006	kIdfSam adButam jIvanam kIdfSam adButam samarpaRam etAdfSI eva kaTA karnAwakasya sitAvA joddatI ityasyAH asti
sp025-000884_006	ezA mahilA SaktIkaraRasya devI iti sagOravam ucyate
sp025-000885_006	vigata daSaka trayAt belAgavI kzetre ezA asaNKya mahilAnAm jIvanaparivartane mahadyogadAnam akarot
sp025-000886_006	paraYca punaH devadAsInAm kalyARArTam svIyam kftsnamapi jIvanam arpitavatI
sp025-000887_006	etAvadeva nEva sA dalita mahilAnAm kalyARArTamapi aBUtapUrvakAryam akarot
sp025-000888_006	BavadBiH maDyapradeSasya BajjU SyAmasya nAma Srutam syAt SrImAn BajjU SyAmasya janma atitarAm nirDana kuwumbe AdivAsi parivAre ajAyata
sp025-000889_006	sAmpratam asyAH eva reKANkanasya gahana ruceH kAraRAt na kevalam BArate api tu aSeza jagati tasya sammAnanam vartate
sp025-000890_006	videSezu BAratasya yaSovarDakasya BajjU SyAmasya pratiBA aBijYAtA taTA ca tasmE padmaSrI sammAnanam upAyanIkftam
sp025-000891_006	keraLasya AdivAsi mahilA lakzmIkuwwI ityasyAH kaTAm SrutvA BavantaH suKadam AScaryam anuBavizyanti
sp025-000892_006	lakzmIkuwwI kallAre SikzikA asti taTA ca sAmpratamapi gahanAraRyezu AdivAsi kzetre tAla patrEH vinirmite kuwIre nivasati
sp025-000893_006	sA svIya smftyADAreRa eva paYca Satam vanaspatInAm OzaDIH vyaracayat
sp025-000894_006	sarpa daMSasya upacArArTam upayujyamAnAyAH OzaDeH nirmAReH tasyAH prAvIRyam susidDam
sp025-000895_006	lakzmI varyA vanaspatIya OzaDAnAm nija jYAna kAraRAt anAratam samAjam sevate
