sp019-000001_lahari_2	BAvanA kIdfSI tasya
sp019-000664_lahari_6	taTApi na pUrvam kadAcit etAvAn vilambaH kftaH tena
sp019-000665_lahari_6	kasmAt adya mama BartA na AgataH iti viklavam me cetaH
sp019-000666_lahari_6	mAtaH mA BEzIH
sp019-000667_lahari_6	kiYcit pratipAlayAma tAvatA pitA AgacCet
sp019-000668_lahari_6	anyaTA aham anvezaRam prAraBe iti putraH avadat
sp019-000669_lahari_6	mAtuH samADAnam na AsIt
sp019-000670_lahari_6	taTApi tUzRIm BUtA
sp019-000671_lahari_6	snuzA putraSca snAnam kftvA SuBrARi vastrARi aDArayatAm
sp019-000672_lahari_6	navavAdana velA viSvanATaH na AgataH
sp019-000673_lahari_6	idAnIm pArvatyAH nayanayoH aSrURi dfzwAni
sp019-000674_lahari_6	putra trastam hfdayam tava pitA kva gataH gacCa kampitAsmi tasya anAgamanena iti sA abravIt
sp019-000675_lahari_6	putraH SrIrAmaH patnIm sItAm avadat
sp019-000676_lahari_6	mAtaram samADehi DEryavacanEH aham yAnena gatvA pitaram AnezyAmi iti
sp019-000677_lahari_6	tataH mAtaram pfzwvA pituH prAtaH saYcAramArgam jYAtvA saH prasTitaH
sp019-000678_lahari_6	GaRwArDaparyantam vITIzu aBrAmyat
sp019-000679_lahari_6	bahUn janAn pituH vizaye apfcCat
sp019-000680_lahari_6	asmin mArge koऽpi apaGAtaH jAtaH vA iti saH vicAritavAn
sp019-000681_lahari_6	tAdfSaGawanAyAH kimapi cihnam na AsIt
sp019-000682_lahari_6	ApaRezu upAhAragfhezu sarvAn paricitAn aparicitAn ajYAtAm ca apfcCat
sp019-000683_lahari_6	kimapi na jAtam nirASaH SrIrAmaH gfhamAgataH
sp019-000684_lahari_6	ekAkinam tam dvAre sTitA mAtA apaSyat
sp019-000685_lahari_6	roditum ca AraBata
sp019-000686_lahari_6	mAtaH mA rodIH
sp019-000687_lahari_6	mayA sarvatra anvezaRam kftam
sp019-000688_lahari_6	pitA na dfzwaH
sp019-000689_lahari_6	kintu samADAnasya kAraRamasti
sp019-000690_lahari_6	tasya prAtaH saYcArasya paTi koऽpi apaGAtaH na jAtaH
sp019-000691_lahari_6	na ca kaScit rugRaH aBavat
sp019-000692_lahari_6	pitA kasyacit mitrasya gfham gataH syAt
sp019-000693_lahari_6	api jYAyante tAdfSAni mitrARi
sp019-000694_lahari_6	dUravARyA vicArayAma iti SrIrAmeRa ukte
sp019-000695_lahari_6	mAtA svaBartuH mitrARAm nAmAni tezAm dUravARIsaNKyASca sagadgadam avadat
sp019-000696_lahari_6	SrIrAmaH tAdfSEH sarvEH samparkam kftvA vicAritavAn
sp019-000697_lahari_6	sarvatra viSvanATaH atra na AgataH ityeva uttaram labDam
sp019-000698_lahari_6	pArvatI Sirasi hastO kftvA diNmUQA iva nazwasaYjYA iva upavizwA
sp019-000699_lahari_6	putroऽpi kiNkartavyatAmUQaH cintAmagnaH jAtaH
sp019-000700_lahari_6	api tava pitA banDugfham gata syAt iti sItA patim apfcCat
sp019-000701_lahari_6	uddeSam akaTayitvA kaTam gacCet
sp019-000702_lahari_6	taTApi vicArayAma iti uktvA SrIrAmaH banDUnAm gfhARAm samparkam sADayitvA
sp019-000703_lahari_6	vicArayitum AraBata
sp019-000704_lahari_6	sarvatra nakAraH eva SrutaH
sp019-000705_lahari_6	etAvatA kAlena viSvanATasya adarSanavArtA kaTamapi prasftA
sp019-000706_lahari_6	prAtiveSikAH Agatya prazwum svamanasi BAtam samADAnam vaktum ca prAraBanta
sp019-000707_lahari_6	ArakzakasTAnam gatvA vizayaH nivedyatAm iti kecit sUcitavantaH
sp019-000708_lahari_6	maDyAhnaH jAtaH
sp019-000709_lahari_6	viSvanATasya apahArakAH tasya Danena AkaRWam BuktvA tasya kfte dvitrAH iqqalikAH AnIya tasya purataH nyakzipan
sp019-000710_lahari_6	DUsaritena cazakena jalam ca dattam
sp019-000711_lahari_6	snAnam vinA kimapi Bakzayitum anicCan api viSvanATaH kzuDam Samayitum gatyantaram vinA
sp019-000712_lahari_6	iqqalikAH BakzayitvA jalam apibat
sp019-000713_lahari_6	adya kasyAm vizaGawikAyAm aham utTitaH iti cintayitum prAraBata
sp019-000714_lahari_6	apahArakARAm nAyakaH kaH
sp019-000715_lahari_6	saH kimicCati DanArTam tena apahftaH aham kim
sp019-000716_lahari_6	evam cet mama vimocanam Bavizyati vA na vA
sp019-000717_lahari_6	kA gatiH gfhe pArvatI SrIrAmaH snuzA sItA ca kim kurvantaH syuH
sp019-000718_lahari_6	madarTe tezAm cintA kIdfSI syAt
sp019-000719_lahari_6	ityAdayaH praSnAH utTitAH tasya manasi
sp019-000720_lahari_6	kimapi kartum aSaktaH mantrabadDaH sarpaH iva jAlabadDaH matsyaH iva saH kAlam anayat
sp019-000721_lahari_6	BagavatI sahasramarIcimAlinI paScimasamudre majcati sati anDakAraH prasftaH
sp019-000722_lahari_6	tadA apaharaRakArARAm nAyakaH ugravadanaH AgataH
sp019-000723_lahari_6	kim maduktam kAryamanuzWitam
sp019-000724_lahari_6	api me SatruH gfhItaH atra AnItaSca iti saH karkaSakaRWena apfcCat
sp019-000725_lahari_6	tasya vacanAni SrutavataH viSvanATasya vismayaH Bayam ca hfdayam yugapat AkrAmatAm
sp019-000726_lahari_6	aham purA kadApi asya muKameva na dfzwavAn
sp019-000727_lahari_6	kaTam mayA saha atra Satrutvam iti vyasmayata
sp019-000728_lahari_6	mahASaya sarvamanuzWitam saH varAkaH atra badDaH vidyate iti apahArakAH avadan
sp019-000729_lahari_6	AnIyatAmatra saH SIGram tasya SiraH BUmO pAtayitumicCAmi iti nAyakasya karkaSataraH DvaniH SrutaH
sp019-000730_lahari_6	viSvanATasya muKam svinnam jihvA SuzkA pAdO niHSaktikO jAtO
sp019-000731_lahari_6	apahArakezu anyatamaH dvAram udGAwya viSvanATam kareRa gfhItvA Akfzya nAyakasya puraH nyapAtayat
sp019-000732_lahari_6	nAyakaH karadIpam prajvAlya BUmO patitam viSvanATam apaSyat
sp019-000733_lahari_6	tasya nayanayoH praTamam nErASyam dfzwam
sp019-000734_lahari_6	tataH kroDaH
sp019-000735_lahari_6	anucarAn apahArakAn uddiSya saH avadat
sp019-000736_lahari_6	re mUrKAH kimidam kftam
sp019-000737_lahari_6	koऽyam mayA apekzitaH janaH na ayam
sp019-000738_lahari_6	vyarTIkftam dinam yuzmABiH
sp019-000739_lahari_6	koऽpi anapekzitaH janaH AnitaH
sp019-000740_lahari_6	tato viSvanATam uddiSya saH avadat
sp019-000741_lahari_6	kastvam kaTam etEH gfhItaH
sp019-000742_lahari_6	rudan vilapan viSvanATaH avadat
sp019-000743_lahari_6	svAmin aham kimapi na jAnAmi
sp019-000744_lahari_6	na mayA kimapi aparAdDam
sp019-000745_lahari_6	prAtaH saYcArArTam kvApi BrAmyan aham prAtaH etEH nigfhItaH
sp019-000746_lahari_6	kfpayA mAm muYcatu BavAn
sp019-000747_lahari_6	tava upakAram kadApi na vismarizyAmi iti
sp019-000748_lahari_6	evam vadan viSvanATaH nAyakasya pAdayoH patitaH
sp019-000749_lahari_6	asya nayane nIlavasanena piDAya etam nagare kvApi vimuYcata yaTA mArgam na jAnIyAt
sp019-000750_lahari_6	idam sTalam ca nABijAnIyAt iti anucarAn uktvA
sp019-000751_lahari_6	nAyakaH viSvanATam abravIt
sp019-000752_lahari_6	re varAka gatvA patnIputradInAm muKAni paSya
sp019-000753_lahari_6	adya kim jAtam ke dfzwAH iti sakalam vismara
sp019-000754_lahari_6	yadi etadvizaye ekamapi Sabdam tava jihvA udgiret
sp019-000755_lahari_6	tarhi tvAm punaH AnIya hanizyAmi yAhi iti
sp019-000756_lahari_6	nIlavasanena pihitanayanaH viSvanATaH tEH AnItaH
sp019-000757_lahari_6	tyaktaSca nagarasya nirjane pradeSe rAtrO
sp019-000758_lahari_6	SrAntatamoऽpi saH kaTaYcit niSITe gfham prAptaH
sp019-000759_lahari_6	dvAraGaRwikAyAm tena noditAyAm patnI tatra DAvantI dvAram udGAwya
sp019-000760_lahari_6	tam vIkzya AnandASruparipUrRanayanA
sp019-000761_lahari_6	SrIrAma sIte ezaH AgataH tava pitA AgataH
sp019-000762_lahari_6	tava SvaSuraH AgataH
sp019-000763_lahari_6	aham ujjIvitA mama prARAH punarAyAtAH
sp019-000764_lahari_6	iti pralapantI antaH devatAprakozWam gatvA daRqavat patitvA praRAmasahasram samarpitavatI
sp019-000765_lahari_6	pitaH adyAvaDi kva AsIt BavAn kim pravfttam vadatu iti SrIrAmaH apfcCat
sp019-000766_lahari_6	sarvam tad vismftam duHsvapnavat mayA
sp019-000767_lahari_6	kimapi nEva prazwavyam kaScana kawuH anuBavaH jAtaH
sp019-000768_lahari_6	etAvadeva vadAmi iti uktvA viSvanATaH vyaramat
sp019-000769_lahari_7	SikAgonagarasya vITIzu himAnI dfSyate sma
sp019-000770_lahari_7	SItalaH vAyuH vAti sma
sp019-000771_lahari_7	sAyam caturvAdanasamaye eva anDakAraH svasAmrAjyam loke sTApayitum prayatnam karoti sma
sp019-000772_lahari_7	tadviroDAya sUryeRa prezitAH BawAH iva dIpAH yaTASakti prakASam prasArayantaH
sp019-000773_lahari_7	dfzwigocarAH Bavanti sma
sp019-000774_lahari_7	vAhanasaYcAraH tu SEtyam anDakAram ca agaRayitvA
sp019-000775_lahari_7	raBasena satatam pravartate sma
sp019-000776_lahari_7	bahukavacAcCAditaSarIraH rameSaH basyAnAt avatIrya svavasatim prati gatavAn
sp019-000777_lahari_7	yAnasTAnakAd anatidUre eva AsIt tasya vasatiH
sp019-000778_lahari_7	taTApi vasatiH yAvat prAptA tAvatA asahyAm SItapIqAm anuBUtavAn AsIt saH
sp019-000779_lahari_7	kaTamapi vasatigfham prApya kuYcikayA muKyadvAram udGAwya yadA saH antaH pravizwavAn
sp019-000780_lahari_7	tadA suKozRena vAtAvaraRena tasya prARAH punaH ujjIvitAH iva aBavan
sp019-000781_lahari_7	tataSca sopAnAni Aruhya dvitIyaBUmikAsTam svaprakozWam prApya
sp019-000782_lahari_7	dvAram udGAwya antaH gatavAn saH
sp019-000783_lahari_7	pustakasyUtam koRe kziptvA pAduke vimucya maYce SAyitavAn
sp019-000784_lahari_7	dUravIkzaRayantram dUraniyantrakeRa pravartitavAn saH
sp019-000785_lahari_7	tatra kayoScit premasaMlApaH SrutaH
sp019-000786_lahari_7	tayoScitramapi dfzwam
sp019-000787_lahari_7	yadyapi rameSasya dfzwiH citrasaraRyAm AsIt taTApi manaH tu tatra na AsIt
sp019-000788_lahari_7	BAratavarzAd deSAntaramAgatya tasya azwamAsAH atItAH Asan
sp019-000789_lahari_7	vidyAByAsaH samucitatayA pravartate sma
sp019-000790_lahari_7	tatratyAH parIkzAH vilakzaRAH
sp019-000791_lahari_7	tadarTam sannAhamapi kurvan AsIt saH
sp019-000792_lahari_7	videSajIvanam vicitramapi suKadamAsIt
sp019-000793_lahari_7	kadAtI jalam rudDam na Bavati sma nAlezu
sp019-000794_lahari_7	na kadApi Bavati sma vidyucCaktiBaNgaH
sp019-000795_lahari_7	samfdDAH AhArapadArTAH
sp019-000796_lahari_7	nayana AnandinyaH SvetavarRAH lalanAH sasmitAnanAH dfzwipaTam AyAnti sma
sp019-000797_lahari_7	evam sarvamapi suKakAraRamA् AsIt tatra
sp019-000798_lahari_7	taTApi banDUnAm virahaH ekAkitA
sp019-000799_lahari_7	durBare prasaNge kim karizyati iti Bayam ca tam bADate sma
sp019-000800_lahari_7	parIkzA samAptyanantaram virAmaH Bavizyati vidyAlayasya
sp019-000801_lahari_7	tadA kim kartavyam
sp019-000802_lahari_7	svadeSam prati gantavyam cet gamanAgamanavyayaH dvisahasraqAlarAtmakaH Bavizyati
sp019-000803_lahari_7	tAvadDanam nAsti
sp019-000804_lahari_7	yAvad vidyArTivetanam prApyate tAvattu dEnandinavyavahArAya eva vyayitam Bavati
sp019-000805_lahari_7	mAtApitarO nirDanO
sp019-000806_lahari_7	tO kaTam vA zazwisahasrADikAni rUpyakARi prezayetAm
sp019-000807_lahari_7	mAsatrayam SikAgonagare kaTam yApanIyam
sp019-000808_lahari_7	granTAlaye upaviSya kiyatpaWitum Sakyam
sp019-000809_lahari_7	dUravIkzaRayantram viviDAni romAYcakarARi citrARi darSayati
sp019-000810_lahari_7	taTApi tat pratidinam darSam nirviRRo Bavati mAnavaH
sp019-000811_lahari_7	itTam cintayan rameSaH SItakozWasTitam payohimam pAtrake niDAya
sp019-000812_lahari_7	camasena kiYcit kiYcit KAditum udyuktaH aBavat
sp019-000813_lahari_7	tAvatA dUravARIyantram wrIn wrIn iti Sabdamakarot
sp019-000814_lahari_7	vAmahastena dUravARyAH svIkArakamunnIya karRasya samIpe gfhItvA
sp019-000815_lahari_7	halo iti uktavAn rameSaH
sp019-000816_lahari_7	pratyuttararUpeRa sumaDuraH kaRWaDvaniH SrutaH
sp019-000817_lahari_7	saH ca kasyAScit yuvatyAH
sp019-000818_lahari_7	na suparicitaH DvaniH taTApi kadAcit SrutapUrvaH iva
sp019-000819_lahari_7	sAmpradAyikA kuSalapraSnAnantaram sA yuvatiH avadat
sp019-000820_lahari_7	api mAm pratyaBijAnAti BavAn
sp019-000821_lahari_7	viSvavidyAlayasya granTAlaye AvayoH paricayaH jAtaH
sp019-000822_lahari_7	aham tElAnq deSasya vidyArTI iti
sp019-000823_lahari_7	rameSaH avadat smarAmi smarAmi
sp019-000824_lahari_7	tataH AvAByAm upahAramandire pAnIyam pItam kila
sp019-000825_lahari_7	satyam sA eva aham
sp019-000826_lahari_7	tadA BavatyA svasya sTitiH varRitA
sp019-000827_lahari_7	svadeSam gantumicCataH mama samIpe paryaptamAtreRa Danam nAsti iti
sp019-000828_lahari_7	tadvizaye ahamadya mama patyA saH samBAzaRam kftavatI
sp019-000829_lahari_7	saH Bavatkfte kamapi upAyam kartumicCati
sp019-000830_lahari_7	yadi Sakyate tarhi SvaH tasyEva upAhAramandirasya samIpe AgamyatAm
sp019-000831_lahari_7	aham patyA saha AgamizyAmi
sp019-000832_lahari_7	tatra pAnIyam pibantaH sarvam carcayAma
sp019-000833_lahari_7	yadi sarvam saNgacCate tarhi prAyaH BavAn svadeSam gantum virAmAnantaram pratyAgantum ca SaknuyAt
sp019-000834_lahari_7	alpaparicayavatI api mayi BavatyAH etAvatI kfpA
sp019-000835_lahari_7	kaTamaham kftajYatAm nivedayeyam rameSaH apfcCat
sp019-000836_lahari_7	alam cintayA alam etAdfSavacanena sA avadat
sp019-000837_lahari_7	kasmin samaye tasyAH tadBartuH ca darSanam kartavyam ityAdikam jYAtvA
sp019-000838_lahari_7	svIkArakam aDaH sTApitavAn rameSaH
sp019-000839_lahari_7	loke etAdfSAH kfpAlavaH api santi
sp019-000840_lahari_7	tasyAH paricayaH madBAgyAt eva jAtaH iti acintayat saH
sp019-000841_lahari_7	anantaradine nigaditasamayAt pUrvameva upAhAragfhasya samIpe upasTitaH AsIt rameSaH
sp019-000842_lahari_7	saYcaran SItalaH vAyuH tasya pIqAkaraH na Bavati sma
sp019-000843_lahari_7	niScite samaye sA yuvatiH tasyAH BartA ca kAryAnena AgatO
sp019-000844_lahari_7	tayA BartuH paricayaH kAritaH
sp019-000845_lahari_7	upAhAragfham praviSya trayaH api yaTAruci pAnIyam pAtum AraBanta
sp019-000846_lahari_7	yuvatyAH patiH uktavAn
sp019-000847_lahari_7	raRarudDaH iti mama nAma
sp019-000848_lahari_7	BavataH kaTA SrutA mayA
sp019-000849_lahari_7	BavAn virAmakAle BAratam gantumicCati
sp019-000850_lahari_7	tatra kiYcid DanasAhAyyamicCati ca iti mayA jYAtam
sp019-000851_lahari_7	tAdfSam DanasAhAyyam kartum aham sidDaH
sp019-000852_lahari_7	kintu tadarTam BavatApi mama sAhAyyam kiYcit karaRIyam Bavet
sp019-000853_lahari_7	rameSaH uktavAn kim tatkAryam ucyatAm
sp019-000854_lahari_7	yadi mayA Sakyam avaSyam karizyAmi
sp019-000855_lahari_7	raRarudDaH avadat
sp019-000856_lahari_7	asmAkam deSe mama banDoH vivAhaH asti
sp019-000857_lahari_7	tadarTam kAnicana vastrARi mayA prezaRIyAni santi
sp019-000858_lahari_7	atra kAryAntaravyagraH aham samprati prayARam kartum na Saknomi
sp019-000859_lahari_7	iyam mama patnI api parIkzAsannAhavyagrA gamane asamarTA eva
sp019-000860_lahari_7	Bavate aham tElAnq mArgataH prayARapatram krItvA dAsyAmi
sp019-000861_lahari_7	byANkAknAmake nagare vimAnam viramati
sp019-000862_lahari_7	BavAn vimAnAt avatIrya sTAnake eva tizWatu
sp019-000863_lahari_7	tadA madIyaH banDuH kaScana Agatya Bavantam nagaram ezyati
sp019-000864_lahari_7	tatra dinamekam mama banDuBiH karizyamARam satkAram BavAn svIkarotu
sp019-000865_lahari_7	mayA dattAni vastrARi teByaH dattvA anantaradine BavAn svadeSam gantumarhati iti
sp019-000866_lahari_7	etat SrutvA rameSaH santozanirBaraH aBavat
sp019-000867_lahari_7	atra mama pratyAgamanam kaTam iti saH salajjam apfcCat
sp019-000868_lahari_7	pratyAgamanam yena kenApi mArgeRa yaTA Sakyate taTA prayARapatram kArayizyAmi iti avadat raRavfdDaH
sp019-000869_lahari_7	byANkAknagare mAm BavadbanDuH kaTam aBijYAsyati
sp019-000870_lahari_7	aham vA tam kaTam aBijYAsyAmi
sp019-000871_lahari_7	iti rameSaH apfcCat
sp019-000872_lahari_7	cintA mAstu BavadIy citram idAnImeva gfhItvA tasmE prezayizyAmi
sp019-000873_lahari_7	iti vadan raRarudDaH svasyUtataH citragrAhiRIm nizkAsya
sp019-000874_lahari_7	kzaRamAtreRa rameSasya citram gfhItavAn
sp019-000875_lahari_7	kim vaktavyamiti ajAnan rameSaH tUzRIm sTitavAn
sp019-000876_lahari_7	parIkzAnantaram dvitridinAByantare rameSena prayARapatram prAptam
sp019-000877_lahari_7	prayARArTam sarvAm sidDatAm api SIGram akarot saH
sp019-000878_lahari_7	prayARadine raRarudDaH sapatnIkaH pewikAmekAm AnItavAn
sp019-000879_lahari_7	svakAryAne eva rameSam upaveSya saH vimAnasTAnakam nItavAn
sp019-000880_lahari_7	tayoH kfte vandanam samarpya
sp019-000881_lahari_7	byANkAknagare tadbanDuvizaye kaTam vyavahartavyamiti punaH SrutvA
sp019-000882_lahari_7	vimAnam ArUQavAn rameSaH
sp019-000883_lahari_7	vimAnena niScite kAle prasTitam
sp019-000884_lahari_7	AkASe pakzivat mahatA vegena saYcAram kurvARe vimAne upavizwaH rameSaH sa vismayam dfzwavAn
sp019-000885_lahari_7	parvatAn nadIH nagarARi araRyAni sarovarAm ca
sp019-000886_lahari_7	gaganasaKyaH prayARikAnAm Kedasya apanayanAya maDye maDye pAnIyAni KAdyAni ca vitaranti sma
sp019-000887_lahari_7	vimAnam BUBAgam tIrtvA samudrasya api qayanam AraBata
sp019-000888_lahari_7	janAnAm vinodAya vimAne eva calanacitram pradarSyate sma
sp019-000889_lahari_7	tatpaSyantam rameSam nidrAdevI dfQam AliNgat
sp019-000890_lahari_7	yadA saH nidrAtaH utTitaH tadA vimAnam SAntisAgaram atItya punaH BUBAgasya upari qayate sma
sp019-000891_lahari_7	acirAt eva tena byANkAknagarasya vimAnasTAnake avatIrRam
sp019-000892_lahari_7	sarve prayARikAH sasamBramam vimAnAt avataritum sidDAH aBavan
sp019-000893_lahari_7	rameSaH nUtane deSe padam viDAtum BItim anuBavan kampamAnahfdayaH san kaTaYcit vimAnAt avatIrRaH
sp019-000894_lahari_7	tatratyAnAm BAzA tena na avagamyate sma
sp019-000895_lahari_7	sudEvAt tatratatra ANglaBAzAyAm api mArgadarSakaPalakAni Asan
sp019-000896_lahari_7	tezAm sAhAyyena yuktam sTalam prApya svIyasya pewikAdvayasya pratIkzAm kurvan sTitavAn saH
sp019-000897_lahari_7	taddvayam prApya sImASulkadvAram atItya bahiH gantavyam AsIt tena
sp019-000898_lahari_7	sImASulkadvArAt bahiH tizWan raRarudDasya banDuH svAgatam karizyati iti cintanam AsIt rameSasya
sp019-000899_lahari_7	pewikAnAm paNktO svIye pewike labDvA rameSaH sImASulkadvArasya samIpamAgatya anupaNktO sTitavAn
sp019-000900_lahari_7	yadA svIyaH avakASaH AgataH tadA saH
sp019-000901_lahari_7	pAsporw saYjYikAm svIyAm paricAyikapustikAm darSitavAn
sp019-000902_lahari_7	parIkzakEH svaBAzayA kaScana praSnaH pfzwaH
sp019-000903_lahari_7	rameSasya tadBAzA anaBijYatAm avagatya aNglaBAzayA eva saH praSnaH punaH pfzwaH tEH
sp019-000904_lahari_7	kim BavataH pewikayoH sTitam sarvam vastu sIyameva
sp019-000905_lahari_7	Am rameSaH avadat
sp019-000906_lahari_7	atra Agamanasya uddeSaH kaH
sp019-000907_lahari_7	svadeSam gacCan mArgeऽtra dinamekam sTitvA drazwavyam dfzwvA agre yAsyAmi
sp019-000908_lahari_7	pewikayoH mudrAbanDanam mocyatAm
sp019-000909_lahari_7	antaH nizidDam kimapi asti vA iti drazwumicCAmaH vayam
sp019-000910_lahari_7	evam aDikAriBiH AdizwaH ramezaH mudrAbanDanam apanIya svapewikAm udGAwitavAn
sp019-000911_lahari_7	aDikAriRaH tatratyAni vastUni parIkzitavantaH
sp019-000912_lahari_7	tataH rameSaH dvitIyAm raRarudDena dattAm pewikAm udGAwitavAn
sp019-000913_lahari_7	tatra viviDAni vastrARi Asan
sp019-000914_lahari_7	idAnIm itaH mama gamanam anumanyante ete aDikAriRaH iti rameSaH cintayan AsIt
sp019-000915_lahari_7	tAvatA kaScana aDikArI saMSayayuktayA dfzwyA pewikAm paSyan hastena dvitravAram aGawwayat
sp019-000916_lahari_7	tataH svaBAzayA tatratyam sevakam kimapi avadat
sp019-000917_lahari_7	saH sevakaH gatvA punaH AgataH Sunakena saH
sp019-000918_lahari_7	saH ca SunakaH rameSasya pewikAm AGrAya uccEH aBazat
sp019-000919_lahari_7	punaH punaH jiGran bahuvAram aBazat saH
sp019-000920_lahari_7	tadA aDikArI ANglaBAzayA rameSamavadat
sp019-000921_lahari_7	ayi BoH etasyAm pewikAyAm nizidDam kimapi astIti SunakaH BazaRena sUcayati iti
sp019-000922_lahari_7	fte vastreByaH kimanyat asti tatra
sp019-000923_lahari_7	BavadBiH eva sarvam parIkzitam Kalu
sp019-000924_lahari_7	rameSaH saDEryam avadat
sp019-000925_lahari_7	BavatA pewikAyAm cAturyeRa kimapi nigUhitamasti
sp019-000926_lahari_7	tadidAnIm spazwam Bavizyati iti vadan aDikArI CurikayA pewikAyAH talam acCinat
sp019-000927_lahari_7	rameSasya SarIre kampanam utpannam
sp019-000928_lahari_7	samagram SarIram svedena Ardram jAtam
sp019-000929_lahari_7	raRarudDaH mAm avaYcayat iti svagatam uktavAn saH
sp019-000930_lahari_7	pewikAyAH tale nigUQam sTalamAsIt
sp019-000931_lahari_7	tatra plAswikmayezu syUtezu Davalam kimapi cUrRam pUritam adfSyata
sp019-000932_lahari_7	herovin iti sAScaryam uktavAn aDikArI
sp019-000933_lahari_7	cOryaRa asmaddeSam nizidDavastu Anayantam Bavantam vayam nigfhRImaH
sp019-000934_lahari_7	iti uktavAn saH aDikArI kaWoreRa svareRa
sp019-000935_lahari_7	aham kzantavyaH aham kimapi na jAnAmi
sp019-000936_lahari_7	paricitaH kaScit idam prezitavAn vaYcanayA
sp019-000937_lahari_7	kevalAni vastrARi santi iti saH mAm uktavAn AsIt
sp019-000938_lahari_7	ataH ezA pewikA AnItA mayA iti rameSaH dEnyena avadat
sp019-000939_lahari_7	etasmin vizaye dayAm pradarSayitum kamapi vimoktum vA mama aDikAraH nAsti iva
sp019-000940_lahari_7	BavatA GoraH aparADaH anuzWitaH
sp019-000941_lahari_7	ataH yad vaktavyamasti tat SvaH nyAyAlaye vaktumarhati BavAn iti uktvA
sp019-000942_lahari_7	aDikArI BaweByaH nideSam dattavAn
sp019-000943_lahari_7	te rameSam nigaqena badDvA kAragAram nItavantaH
sp019-000944_lahari_7	anantaradine rameSena nyAyAlaye kftA api prArTanA vyarTA jAtA
sp019-000945_lahari_7	nyAyaDISaH tam uddiSya raRarudDasya banDoH nAmaDAmAdikam citram ca darSyatAm
sp019-000946_lahari_7	yadi saH gfhyate BavataH kaTanam ca yadi avitaTam syAt tarhi daRqasya nyUnatA syAt iti akaTayat
sp019-000947_lahari_7	rameSasya samIpe tAdfSam kimapi na AsIt
sp019-000948_lahari_7	raRarudDaH svabanDave rameSasya citram prezitavAn AsIt
sp019-000949_lahari_7	madbanDuH eva svayamAgatya Bavantam svAgatIkarizyati iti uktavan AsIt saH
sp019-000950_lahari_7	ataH eva banDoH citram nAmaDAmAdikam vA na dattavAn AsIt
sp019-000951_lahari_7	ataH kimapi vaktum aSaktaH rameSaH tUzRIm atizWat
sp019-000952_lahari_7	tataH nyAyaDISena rameSa aparADI iti niScitya
sp019-000953_lahari_7	pAYcavArzikakArAgfhavAsaH daRqatvena vihitaH
sp019-000954_lahari_7	mugDA rameSaH aparicite deSe kArAgfhe kaWinam daRqam anuBavan samprati dinAni yApayati
sp019-000955_lahari_7	kadA muktiH Bavizyati mukteऽpi svadeSam kaTam gamizyAmi
sp019-000956_lahari_7	tatra gatoऽpi mAtApitfByAm mitreByaH ca kaTam muKam darSayizyAmi
sp019-000957_lahari_7	nazwoऽham muzitoऽsmi iti rudan eva dinAni yApayati saH
