sp010-000001_SR_01	samarTaH svAmI rAmadAsaH
sp010-000626_SR_22	aBUdidam parameSvaraBaktaye
sp010-000627_SR_22	kftaBojana eza nAsikamApnoti
sp010-000628_SR_22	tatra vidvaccaraRezu sTitvA SAstrARyaDIte sAyaNkAle devadarSanam laBate
sp010-000629_SR_22	rAtrO kaTAkIrttanapravacanAni SrutvA sa svIyam gahvaram pratiprayAti
sp010-000630_SR_22	tatra praBorlIlAnAm mananam cintanam ca kurvARo nidrAti
sp010-000631_SR_22	nArAyaRaH svakIyam saMskAraprAptam nAma godAvaryAm arpitavAn
sp010-000632_SR_22	pfzwe sa svam rAmadAsa iti kaTayati
sp010-000633_SR_22	praSnAntare sa udIrayati Bagavato rAmasya Satasahasram vAnarA Asan tezvevAnyatamo BavAmIti
sp010-000634_SR_22	tapasvinam labDvA AturA janAH prAyeRa kleSayanti tam
sp010-000635_SR_22	kaTayanti svAmin kuto lapsyate lakzmIrmahyam iti kaScit
sp010-000636_SR_22	lOham suvarRayitum kzamante kim pUjyA atraBavantaH
sp010-000637_SR_22	asmAkam vARijyAyAm lABavfdDiH kadA BAvinI mama kAyaH kadA BAvI rogAd vimuktaH
sp010-000638_SR_22	mama mUkastanayaH kadA vaktum praBavizyati vfzaBo mama kvacit BrazwaH kva tam lapsya ityevamAdikam
sp010-000639_SR_22	evamviDAn praSnAn pfcCantyeva prAyeRa sAmAnyAH kAmakAmA janAH sADakAn
sp010-000640_SR_22	teऽpi tezvezu lokEzaRayA vyavasyanti
sp010-000641_SR_22	rAmadAsa evaMviDezu praSnezUdAste
sp010-000642_SR_22	nirbanDapfzwaH kaTayati rAmajapam kuru sarvam setsyati samaDikam kleSito daRqakAzWena prajihIrzatyapi
sp010-000643_SR_22	loka etena rAmadAsam mattaH svAmI iti kaTayanti
sp010-000644_SR_22	nityakarmato labDakzaRo rAmadAsaH kaRWasTIkaroti vAlmIkIyam rAmAyaRam
sp010-000645_SR_22	tasya pratilipimapi karoti
sp010-000646_SR_22	rAmadAsahastaliKitam vAlmIkIyam rAmAyaRam DuliyA nagarasya samarTavAgdevatAmandireऽdyApi drazwum suSakam
sp010-000647_SR_23	trIRi varzARi vyatItAni
sp010-000648_SR_23	anantaram prAyeRa rAtrAvapi rAmadAsagahvaraparisare janAstizWanti
sp010-000649_SR_23	sarve militvA rAma japam kurvanti
sp010-000650_SR_23	premRA militvA BajanAni gAyanti
sp010-000651_SR_23	rAmadAsoऽpi premRA tezu rAmakaTAyAH pravacanAni prerakeRa prakAreRa vitanute
sp010-000652_SR_23	tezu divasezu BAratavarzamatIva dInAmavasTAmanuBavati sma
sp010-000653_SR_23	uttarApaTe duzwA mugalA avartanta SAsakAH
sp010-000654_SR_23	dakziRApaTe punaH yavanA eva SAsaneऽDikftAH AdilaSAhaH nijAmaSAhaH kutubaSAha ityAdayaH
sp010-000655_SR_23	te atyAcAriRaH
sp010-000656_SR_23	pIqayanti sma te prajAjanAn
sp010-000657_SR_23	islAmaBinnAn DarmasampradAyAn hInAn nindyAn vinASanIyA~Sca manvate
sp010-000658_SR_23	tezAm mate fte muhammadam na Bavati kaScanApi pituH parameSvarasya sandeSavAhakaH
sp010-000659_SR_23	nAsti tezAm mate kurARAd BinnaH koऽpi granTa AdaraRIyaH
sp010-000660_SR_23	muslimAnAtiriktAnanyAYjanAMste kAPira iti pariBAzante
sp010-000661_SR_23	AsIt tezAm puRyam karma parezAm Darmaparivarttanam tadasvIkAre vaDaSca
sp010-000662_SR_23	kAPiravaDastezAmaSvameDaH
sp010-000663_SR_23	idameva karma tezAm praBorAdeSa iti tezAm saMskAraH
sp010-000664_SR_23	imA GawanA rAmadAsasya SravasI spfSanti
sp010-000665_SR_23	antarAtmani vyaTito rAmadAsaScintayati devaBUmiriyamasmAkam kaTam dAnavAnAmatyAcArezu patitA
sp010-000666_SR_23	kaTam sahAmahe vayam imAnetezAmatyAcArAn
sp010-000667_SR_23	suvarRaBUmiriyam idAnIm na SaktA dine vAradvayam annamapi janamuKe pAtayitum
sp010-000668_SR_23	etAvatI vipulA asmAkam janasaNKyA
sp010-000669_SR_23	saByA vayam
sp010-000670_SR_23	kaTametezu aNguligaRyA ime asaMskftA videSIyAH SAsati
sp010-000671_SR_23	mftyujayinAm mArkaRqeyAnAm naciketasAm BUmO kaTamadya janA BIravaH
sp010-000672_SR_23	AtmatattveऽjarAmaratAm svIkurvatAm janAnAm keyam daSA
sp010-000673_SR_23	nEnam Cindanti SastrARi ityAdizu gItopanizatsu SradDaDAnAH kaTam vayam dehavAdiBirAkrAntasarvasvAH
sp010-000674_SR_23	kaTam vayamasmin pravizwAn cOrAn caraRezu spfSAmaH
sp010-000675_SR_23	asmAkam DyeyamidAnImudarapUrtireva paSuvat
sp010-000676_SR_23	adya sahasram sItA uccErvilapantyaH SrUyante
sp010-000677_SR_23	grAme grAme rAvaRA nftyanti
sp010-000678_SR_23	kim rAmapraBurBUyastarAmasyAm BUmO avatarizyati tArayizyati cAsmAn
sp010-000679_SR_23	vayamAracayizyAmastadavatArAvasaram
sp010-000680_SR_23	sa hi BakteBya kalpadrumaH
sp010-000681_SR_23	patitapAvanaH saH
sp010-000682_SR_24	sa SabarIm prIRayatyudDarati cAhalyAm
sp010-000683_SR_24	sa hi vinASakaH Kara dUzaRa bAli rAvaRAnAm
sp010-000684_SR_24	asmAkamAhvAnam SrutvA soऽvaSyamevAgantA
sp010-000685_SR_24	nAsti sa dUravAsI
sp010-000686_SR_24	sa sarvezAm hfdaye tizWati
sp010-000687_SR_24	ajYAnavaSAjjanAstam vismftAH
sp010-000688_SR_24	asmABiH pratyekam grAmam gatvA jAgaraRam kriyeta
sp010-000689_SR_24	asmAkam pratyekam gfhe SudDiH sTApanIyA
sp010-000690_SR_24	pratyekam janasya hfdi vidyamAnaH sa pUjanIyo Bavati naH
sp010-000691_SR_24	svasminnavasTita ISa eza sAkzAtkAraRIyaH sarvEradya
sp010-000692_SR_24	ko vA kAryamidam kartA
sp010-000693_SR_24	ahamiti gfhRIran
sp010-000694_SR_24	ahamaham jAgarayizye Atmavismftam rAzwram
sp010-000695_SR_24	Alasye nimagnAn prasuptAMSca janAn aham praboDayitAhe
sp010-000696_SR_24	samAjam karizyeऽham karttavyonmuKam
sp010-000697_SR_24	mayAऽtra BUmO dvAdaSa varzARi tapastaptam
sp010-000698_SR_24	idAnIm deSaBramaRecCA jAyate mama
sp010-000699_SR_24	SrIrAmo yaTAdekzyati taTA karizye
sp010-000700_SR_24	praTamaH SizyaH udDavaH
sp010-000701_SR_24	praBU rAmoऽByanujYAmadadAd deSaBramaRAya
sp010-000702_SR_24	nAsikasTAn SAstrapaRqitAn soऽpaSyat
sp010-000703_SR_24	sa nijamASramam wAkalIgrAmasTitamAjagAma
sp010-000704_SR_24	ApfzwAstena grAmavAsinaH
sp010-000705_SR_24	bAlaka udDavo rAmadAsacaraRayayoH patitaH
sp010-000706_SR_24	rudannakaTayat sa tyaktvA mAm na gacCeyuH svAminaH iti
sp010-000707_SR_24	udDava eza prAyeRa rAmadAsASrama eva nivasati karoti ca sevAm SradDayA svAminAmezAm
sp010-000708_SR_24	sa kaTameBiH prApta iti vijYAya vismitA BavAmaH
sp010-000709_SR_24	GawaneyamIdfSI
sp010-000710_SR_24	rAmadAsasya wAkalIm prAptavataScatvAri varzARi vyatItAni
sp010-000711_SR_24	tasya kIrttisOraByam catasfzvapi dikzu vyaSnuvAnamAsIt
sp010-000712_SR_24	wAkalImuttareRAsti daSapaYcakanAmA grAmaH
sp010-000713_SR_24	tatra vasati sma kulakarRItyupADiko giriDaro nAma yuvA
sp010-000714_SR_24	tasya patnI annapUrRA
sp010-000715_SR_24	nissantAnAvimO dampatI kzetrezvanyezu suKinAvapi
sp010-000716_SR_24	duHKasantaptO tata imO
sp010-000717_SR_24	tAvimO rAmadAsasya kaTApravacanAdikam niyamena SfRutaH
sp010-000718_SR_24	ekadA giriDaroऽsusTo jAtaH
sp010-000719_SR_24	vEdyErasADyatvena GozitaH saH
sp010-000720_SR_24	annapUrRA DAvantI rAmadAsamupetA
sp010-000721_SR_24	praRAmam kftavatI sA
sp010-000722_SR_24	svAminastadAnIm DyAnasTA Asan
sp010-000723_SR_24	kftapraRAmAste prAyeRAcakaTan jaya jaya raGuvIra samarTa aTavA rAmaH kfpAm kuryAditi
sp010-000724_SR_25	adya punastEruktam azwaputrA sOBAgyavatI Baveti
sp010-000725_SR_25	tadAऽnnapUrRA roditumAraBatAऽcakaTata ca BavatAmiyamASIH katamAya janmana iti
sp010-000726_SR_25	rAmadAsasvAmI pfcCati koऽrTaH iti
sp010-000727_SR_25	annapUrRayA nyavedi patirmamAntimam SvAsam gfhRAti vEdyAH parAjitAH
sp010-000728_SR_25	svAmyabrUta kaTamevam brUze nedam kaTamapi samBAvi cala aham tam paSyAmIti
sp010-000729_SR_25	svAmI rAmadAso giriDarAvAsam gataH
sp010-000730_SR_25	tatra giriDarasya daSAऽऽsannamftyukA
sp010-000731_SR_25	svAmI nAqIm paryEkzata giriDarasya muKe jalam prOkzata
sp010-000732_SR_25	OzaDam kimapi ASitam mAtrApyekA lehitA
sp010-000733_SR_25	giriDaro navajIvano BUtvotTAyopavizwaH
sp010-000734_SR_25	SanESSanEH susToऽpi saMvfttaH
sp010-000735_SR_25	ekavarzAnantaram annapUrRA putram suzuve
sp010-000736_SR_25	mAsadvayAnantaram dampatI tO bAlakamAdAya svAmino dadfSuH
sp010-000737_SR_25	tasya caraRayostam sTApayitvAऽbrUtAm ayamatraBavadByoऽrpyata iti
sp010-000738_SR_25	svAminoऽbruvan kaTamidam aham sannyAsI
sp010-000739_SR_25	kaTamimam pAlayizye
sp010-000740_SR_25	BavantAvevemam nayetAm pAlayetAm ca samavaDAnena
sp010-000741_SR_25	vayaskatAm prApta eza mahyam samarpaRIya iti
sp010-000742_SR_25	bAlako pitfByAm saha svAminAm darSanam pratyaham karoti paScAt prAptavayA ekAkyapi darSanArTam gacCati
sp010-000743_SR_25	aDikam samayam sa ASrama eva tizWati
sp010-000744_SR_25	yadA rAmadAsastIrTayAtrAyE pratizWAsavastadA udDavaH sapIqam ruroda
sp010-000745_SR_25	tadA svAminA saYjYApitaH mamAnupasTitAvASrama eza tvayEva rakzaRIyaH
sp010-000746_SR_25	aDyayanam karaRIyam BagavataH pUjA cAvaDAnena karaRIyA
sp010-000747_SR_25	ASramavyavasTApi drazwavyA
sp010-000748_SR_25	aTa vAstavo rAmadAsastava pArSve sadEva sTAtA iti
sp010-000749_SR_25	udDavoऽprAkzIt vAstavo rAmadAsa iti koऽrTaH
sp010-000750_SR_25	rAmadAso bahutaram gomayamekatrIkftvA tatra mfttikAm nyakzipat
sp010-000751_SR_25	anyAnyapi kAnicid dravyARi tatra cikzepa
sp010-000752_SR_25	tena piRqena rAmadAso vipulAkArAm mArutimUrtim nirmame
sp010-000753_SR_25	SuzkA sA sindUreRa lepitA
sp010-000754_SR_25	aTa udDavam samboDitavAn ayamasti vAstavo rAmadAsaH vayam tvasyacCAyAmAtram BavAmaH
sp010-000755_SR_25	ete pratyaham pUjanIyAstvayA
sp010-000756_SR_25	ete tuByam balam budDim ca dAsyanti
sp010-000757_SR_25	satyAvaSyake preraRAmapi mArgadarSanamapi karizyanti
sp010-000758_SR_25	tAm sundarAkftim mArutimUrtim dfzwvA udDavo jaharza
sp010-000759_SR_25	udDavo hastO samAnIya kaTayati sampUrRo deSaH gomayakalpo mfttikAsodaro vA varttate
sp010-000760_SR_26	sa eza vajrANgaH kalpanIya iti SrIcaraRAnAm saNkalpaH
sp010-000761_SR_26	etasyA mUrternirmARasyApIdameva prayojanam
sp010-000762_SR_26	idameva BavatAm jIvanasya lakzyam
sp010-000763_SR_26	atraBavadByaH Satam praRAmAH
sp010-000764_SR_26	kintu SrIcaraRAH SIGrameva pratyAvarteran
sp010-000765_SR_26	nAham vismaraRIyaH iti
sp010-000766_SR_26	rAmadAsa udDavam ASIrBirayojayat suKena ca nirgataH
sp010-000767_SR_26	te pfzWataH parikramyApi nApaSyan
sp010-000768_SR_26	ayoDyAm prati te prasTitAH
sp010-000769_SR_26	BArataBramaRam
sp010-000770_SR_26	rAmadAso BArataBramaRam tanmADyamena ca tIrTayAtrA iyeza kartum
sp010-000771_SR_26	evam tu BAratasya pratyekam kzetram puRyaBUmiH pratyekam nagare pratyekam grAme ca nivasanti sma fzayo munayo vIrAH
sp010-000772_SR_26	paropakAriRaSca ISAvatArA apyajAyanta tezu tezu kzetrezu
sp010-000773_SR_26	ato deSeऽtra Bavanti BUyAMsa eva mahimaBftaH sTalaviSezAH
sp010-000774_SR_26	aTApyetezu atiSayam AbiBrati dvArakA jannATapurI badarikASramaH setubanDarAmeSvaraSca
sp010-000775_SR_26	dvipaYcASad vilasanti SaktipIWAni
sp010-000776_SR_26	BagavataH SaNkarasyApi virAjante SatADikAni puRyapradAni sTalAni
sp010-000777_SR_26	dattAtreyaH gorakzanATaH budDaH mahAvIra ityevam praBftInAm tapoBUmayaH santyevAsyAm pAvanapAvanAyAm BArataBuvi
sp010-000778_SR_26	etezAm sarvezAm darSanAya rAmadAsaH saNkalpamagfhRAt
sp010-000779_SR_26	narmadAm laNGayitvA sa uttarasyAm diSi gantum pravfttaH
sp010-000780_SR_26	mArge tena dfzwaSrutA duHKapradAH prasaNgAH
sp010-000781_SR_26	kvacid grAmA prajvAlyate sma kvacit KalA aluWyanta
sp010-000782_SR_26	kasyacid grAmasya putryo vaDvaSca duzwErapAhriyanta
sp010-000783_SR_26	kasyacid grAmasya sarveऽpi nivAsino nirvetanAsu BftikAsvayojyanta
sp010-000784_SR_26	sarvatra yavanajAtIyAnAm SAstFRAm tezAmArakziRAm ca kAmacAradurdinAni vyaSnuvanti sma
sp010-000785_SR_26	yaH koऽpi tezAmavajYAm karoti sa Kalu paSyati sUrye Kaqgena nikfttaSirA dfSyate
sp010-000786_SR_26	tasya nirvastre pfzWe kaSAGAtAH kriyante muzwImuzwi kacAkaci yazwIyazwi
sp010-000787_SR_26	daRqAdaRqi kalahAnAm kA vArtA janasammardasyEkaDyE SiraHkartanAnyapi sADAraRAnyamanyanta
sp010-000788_SR_26	pUritAH sarvA api kAzWA etEratIcArErdAnavAnAm
sp010-000789_SR_26	yadApi kadAcid rAmadAsaH DarmaSAlAyAm kasyAYcit viSrAmyati
sp010-000790_SR_26	kasyacit kuwIram vAऽDyAste janA Agatya tamAtmanyApAtitAnatyAcArAn SrAvayanti
sp010-000791_SR_26	sa tAn aboDayati protsAhayati kintu niBfteऽsahyAm pIqAm anuboBoti
sp010-000792_SR_27	tata eva kadAcit prajAgarakazwamapi sa sahate
sp010-000793_SR_27	anekaSoऽSrURyapi patanti dfSyante tasya netrAByAm
sp010-000794_SR_27	kadAcit tasya vedanA BajanabanDezvapi bimbitA Bavati
sp010-000795_SR_27	cOrAstu santi SAstArastrARahInAstu sajjanAH
sp010-000796_SR_27	Dvasyante mandirARyezAm KaRqyante devamUrtayaH
sp010-000797_SR_27	mlecCA Bavanti rAjAno dAmBikA guravoऽrTinaH
sp010-000798_SR_27	lokAnyalokayorvArtA kIdfSI paSavaH same
sp010-000799_SR_27	anyAyA jAyamAnAH santi
sp010-000800_SR_27	kintu vismayakfdidam yajjanAH viroDAya saNGawanasannAhino na dfSyante
sp010-000801_SR_27	sarveऽpi mezA barkarA iva vA natagrIvA dfSyante
sp010-000802_SR_27	akarmaRyAH same
sp010-000803_SR_27	SOryam vIryam ca na dfSyate kvApi
sp010-000804_SR_27	yudDasannAhinoऽpi dfSyante kintu kzudreByaH svArTeBya AtmIyErjanEH na tu SatruBiH
sp010-000805_SR_27	rAmadAsa uttarasyAm diSi yaTA yaTAऽgre gacCati yavanaparitApagATA aDikADikam SfRoti
sp010-000806_SR_27	nitAntam BayAnakAni citrARi prastUyante
sp010-000807_SR_27	yadA punarayoDyAm prAptastasya duHKam sImAnamatyakrAmat
sp010-000808_SR_27	tatra dfzwam rAmajanmaBUmiryavanEraDigfhIteti
sp010-000809_SR_27	te tatrADikam vastum na SekuH
sp010-000810_SR_27	tataH kASIm prAptAH
sp010-000811_SR_27	ekadA gaNgAm snAtum gacCan sa ArAvAnaSfRot
sp010-000812_SR_27	AgatA AgatA palAyaDvam palAyaDvamiti
sp010-000813_SR_27	kolAhala utTitaH
sp010-000814_SR_27	janA vyAkulIBAvena yatra tatra DAvanti
sp010-000815_SR_27	viMSatiH yavanASvavArAH AgatAH
sp010-000816_SR_27	yatkimapi grahItum SakyamAsIt tad dasyuvfttyA saNgfhRantaste palAyitA aparayA diSA
sp010-000817_SR_27	rAmadAsaScintayati kuta iyatI BIrutAऽsmAkam deSe
sp010-000818_SR_27	prahlAdo DruvaScApi bAlO BUtvAऽpi Goram saNkawam soQvA svam lakzyam prApnutAm
sp010-000819_SR_27	atra punarAbAlavfdDAH sameऽpi palAyanakevalinaH
sp010-000820_SR_27	yeऽpi kecit sampannA samBftavIryASca teऽpi yavanaSAsanasya sevakAH
sp010-000821_SR_27	krItadAsA iva te yavanAnAm
sp010-000822_SR_27	svayam pUjApAWaparAyaRAH granTapAWinaH kapAle praviSAlam tilakam DArayantoऽpi caraRezvAnAmayanti
sp010-000823_SR_27	SirAMsyete goBakzakARAm mUrtiDvaMsakAnAYcAtatAyinAm yavanADikAriRAm
sp010-000824_SR_27	tadAjYayA svezAmeva bAnDavAnAm grIvAH karttayanti
sp010-000825_SR_27	ezA BrazwA matiH kaTamAgatAऽtra Sucini vartmani
sp010-000826_SR_28	kASIdfSyam BayAnakamAsIt yatra BagavatA viSvanATenApi palAyanamakAri
sp010-000827_SR_28	tatra yajjYAnavApInAmakam kUpam tasmin palAyya brUqitaH kASIviSveSvaraH
sp010-000828_SR_28	nandI punastaTEva sTitaH
sp010-000829_SR_28	ekam viSAlam masjidam mandirasyEva kalApUrRAsvavaSizwAsu Bittizu niramAyi
sp010-000830_SR_28	agrato masjidam pfzWataSca mandiram
sp010-000831_SR_28	ekaH Sivo masjidasya nimnaBAgeऽpi pUjyate
sp010-000832_SR_28	kASyAmeva bindumADavamandiram masjidatayA gaganamacumbaccaturBirutTitErhastEH mInArEH
sp010-000833_SR_28	etat sarvam dfzwvA rAmadAsaH kfzRalIlABUmim maTurAvfndAvanam gataH
sp010-000834_SR_28	tatra nASrUyata vaMSaravaH SrIkfzRasya
sp010-000835_SR_28	yaccASrUyata tadekamAkrandanameva
sp010-000836_SR_28	nitAntam duHKitena cittena rAmadAsastIrTayAtrAm kurute sma
sp010-000837_SR_28	sarvatra BIrutEva tenAnvaBAvi
sp010-000838_SR_28	asahizRutvenAsAvagfhyata
sp010-000839_SR_28	kzuBitaH sa svam janurnissAramamaMsta
sp010-000840_SR_28	tena niracAyi svam deham gaNgAyAm pAtayitum
sp010-000841_SR_28	yAtrAprasaNgena ca himAcalam prApa
sp010-000842_SR_28	tatroccastare SfNge sTitoऽsO aDoBAge sakalakale gaNgApravAhe kUrdditumiyeza
sp010-000843_SR_28	praTamam sa gaNgAmAtaram praRanAma
sp010-000844_SR_28	aTa yatitum EcCat kUrditum kintu pfzWataH kenAऽpi Dftastasya karaH
sp010-000845_SR_28	sa pfzWataH karoti muKam paSyati ca nIlotpalaSyAmam Bagavantam SrIrAmam
sp010-000846_SR_28	rAmadAsastasya praBoScaraRO jagrAha
sp010-000847_SR_28	rAmoऽpyutTApya tamAliliNga urasA
sp010-000848_SR_28	aTAdideSa mastake nihitahastaH avaSizyata idAnIm tava kAryam
sp010-000849_SR_28	mahattvapUrRam ca tat
sp010-000850_SR_28	tvayA hi deSasya duravasTA samAptidiSam pratyunmuKA viDeyA
sp010-000851_SR_28	dakziRApaTam yAhi pavitrAyAH kfzRAyAstawe janajAgaraRAm prAraBasva hindusaNGawanamatrAByarhitam
sp010-000852_SR_28	tadapyAdriyatAm
sp010-000853_SR_28	rAmadAso lAvaRyaparivItAm tAm meGaSyAmAm mUrtim viSAlataratAm viSAlatamatAm ca SrayantImapaSyat
sp010-000854_SR_28	ante paSyati yat sEzA mUrtirAkASam paryaraBatABavacca parokzA
sp010-000855_SR_28	rAmadAsaH sarvatra rAmamevEkam paSyati
sp010-000856_SR_28	sAYjalibanDam sa provAca praBo Ezizamaham Bavata AdeSam diNnirdeSamakANkzam
sp010-000857_SR_28	aDunA Bavanto drakzyanti BavatAm jayakAreRa mahArAzwramAplAvitam Bavizyati kArtsnyena
sp010-000858_SR_28	rAmaH sadA sarvadA sannikfzwaH manAg vIkzate BaktaDEryam kadAcit
sp010-000859_SR_28	sadAnanda AnandakEvalyadAtA upekzasva no rAmadAsam kadAcit
sp010-000860_SR_28	jaya jaya raGuvIra samarTa
sp010-000861_SR_29	mAtfdarSanam
sp010-000862_SR_29	dvAdaSavarzARi vyatItAni
sp010-000863_SR_29	aTa BUyoऽpi priyo nArAyaRo rAmadAso BUtvA mahArAzwram pratiprAptaH
sp010-000864_SR_29	tAptI saritastawam prAptaH
sp010-000865_SR_29	BagavatyA muktAdevyAH samADisTale BajanapUjanopadeSAH kftAH
sp010-000866_SR_29	SrotfzvAsIdeko rAmadAsagrAmavAsyapi
sp010-000867_SR_29	sa nArAyaRam pratyaBijYAya nitAntam prahfzwo rAmadAsamabrUta
sp010-000868_SR_29	mAtastava nitAntam vfdDA aSaktA ca jAtA
sp010-000869_SR_29	sA BavantamanukzaRam smarati
sp010-000870_SR_29	saptAhAnte rAmadAsaH svam gfhagrAmam prAptaH
sp010-000871_SR_29	svakIyasya gfhasya dvAri sTito rAmadAsastAramUce jaya jaya raGuvIra samarTa iti
sp010-000872_SR_29	rAmadAsAgrajasya SrezWasya patnI BikzAm gfhItvA dvAri prAptA
sp010-000873_SR_29	tasyAScaraRayo rajAMsi mastake tilakIkftya rAmadAsoऽbrUta
sp010-000874_SR_29	BrAtfjAye aham nArAyaRoऽsmi tuByam praRamAmi ambA kvAsta iti
sp010-000875_SR_29	tam ciraparicitam hfdayaspfSam svaram rARUdevI aBijYAtavatI
sp010-000876_SR_29	gateByaScaturviMSatervarzeByaH sA pratyaham nArAyaRam pratIkzate sma
sp010-000877_SR_29	yaH kaScanApi bahirdeSAdAgato yAtrI laByate tamasO pfcCati
sp010-000878_SR_29	api dfzwaH kvacana mama nArAyaRa iti
sp010-000879_SR_29	nArAyaRam pratiprAptum rARUdevyA anekA devI devatAH pUjayitum saNkalpitAH
sp010-000880_SR_29	adya tasyAH putraH svayameva gfhamAgata iti harzAtirekam sA mAtum hfdA nAऽSakat
sp010-000881_SR_29	vfdDAvasTAmApadyata sA
sp010-000882_SR_29	SarIramaSaktam jAtamasyAH
sp010-000883_SR_29	akzRoH dfzwirapagatA
sp010-000884_SR_29	drazwum na cakzame
sp010-000885_SR_29	aTApi putrasya svaram pratyaBijYAtavatI sA nArAyaRa mama nArAyaRa iti bruvatI dvAram upapreyAya
sp010-000886_SR_29	nArAyaRo mAtuScaraRAvagfhRAt
sp010-000887_SR_29	rARUdevI tam JawityevodasTApayat
sp010-000888_SR_29	grIvAyAYcAsaYjayAmAsa
sp010-000889_SR_29	AnandASruBiH klinnAऽBUt sA nirantaram pravarzadBiH
sp010-000890_SR_29	bArambAram sA rAmadAsasya BAlam pfzWam ca pasparSa
sp010-000891_SR_29	uktavatI ca putraka tvam kiyad parivfdDo jAtaH
sp010-000892_SR_29	sakUrcastvamidAnIm
sp010-000893_SR_29	fzirivEva pratiBAsase tvam kaccit
sp010-000894_SR_29	Srutam tvamatIva sundaram Bajanam gAyasi kIrtanAni karozi pravacanAni tanuze iti
sp010-000895_SR_29	prasannatAyA ayam vizayaH
sp010-000896_SR_29	tvatsadfSam Baktam putram labDvAऽhamapi DanyA kftakftyA ca jAtA
sp010-000897_SR_29	aBavizyadadya yadi tava pitA jIvitaH
sp010-000898_SR_29	putra aham paYcaByo varzeByoऽnDAsmi saMvfttA
sp010-000899_SR_29	KidyAmi tvAm pratyakzam drazwumaSaknuvAnA
sp010-000900_SR_29	ucyate yad rAmadAsenoktam nedam kaWinamiti
sp010-000901_SR_29	sa mAturakzRorhastamakrAmayata
sp010-000902_SR_29	sA drazwumaSakat sarvam
sp010-000903_SR_29	dfzwimalaBata sA
sp010-000904_SR_29	carmacakzurByAmapi svam putram rAmadAsamAtAऽpaSyad aSlAGayata ca tasyAdButam yogasAmarTyam
sp010-000905_SR_29	DanyaDanyA sA jAtA
sp010-000906_SR_30	vidvAMsoऽtra kaTayanti rAmadAsa OzaDavijYAneऽpyaBUnnadIzRaH
sp010-000907_SR_30	tasyEvedam Palamiti
sp010-000908_SR_30	anyeऽtra lakzaRAmASrayantaH pratipadyante nedam rARUmAtuScakzurunmIlanam
sp010-000909_SR_30	idam hi BAratamAtureva cakzuzorunmIlanam rAmadAsa vihitamiti
sp010-000910_SR_30	rAmadAsaH svakIye grAme trIRyeva dinAnyatizWat
sp010-000911_SR_30	tatra tena BajanAni gItAni kIrttanAni kAritAni SrAvitAni ca pravacanAni
sp010-000912_SR_30	pArSvavarttiByo grAmeByoऽpi janAstatra samavayanti
sp010-000913_SR_30	sarveऽpi SikzitA rAmadAsena rAmaBaktO mArutiBaktO ca balam labDum AtmarakzAm ca sADayitum
sp010-000914_SR_30	bAlyakAlamitrARi nArAyaRasya tejaHpuYjam SarIrasAmarTyam ca dfzwvA prAhfzyan
sp010-000915_SR_30	te sarve rAmadAsasya SizyA jAtAH
sp010-000916_SR_30	rARUdevI svam bAlakam svIyAByAmeva hastAByAmASayat
sp010-000917_SR_30	apAyayat jyezWo banDuH SrezWo gaNgADaroऽpyatyantamajIhfzat
sp010-000918_SR_30	gfhe grAme janapade ca praharzalaharyo vavuH
sp010-000919_SR_30	AnandapuzpodyAnamivAऽtra vyakasat
sp010-000920_SR_30	caturTena divasena rAmadAso yAtrAyAmagre prAsarat sarvAn banDUn mAtaram cApfcCya
sp010-000921_SR_30	prasTito rAmadAso mAtrA rARUdevyA niveditaH putra nAvaSizyate kimapyaBIzwam me
sp010-000922_SR_30	kintu iyat kevalamicCAmi yat mama antakAla Agate ekadA BUyoऽpi mAm drazwumarhatIti
sp010-000923_SR_30	mAtaH avaSyamAgamizyAmi DAvitvAऽऽgamizyAmi mAtaH ASvastA Bava ityuktayA
sp010-000924_SR_30	mAtrA visfzwo rAmadAso BAratasyAnyAnapi pradeSAn drazwum pratasTe
sp010-000925_SR_30	prasTAnAt pUrvam sa grAmavAsinaH sarvAneva kuSalamaNgalam pfzwavAn mArutimandiram ca tam dfzwavAn
sp010-000926_SR_30	aneke jAtAstatra tasya SizyAH
sp010-000927_SR_30	tena jAmba grAme vyAyAmaSAlA sTApitA preritASca yuvakA balavanto Bavitum
sp010-000928_SR_30	ante ca proktam jaya jaya raGuvIra samarTa aTAgre sasarpa
sp010-000929_SR_30	rAmaBaktyAndolanam
sp010-000930_SR_30	uttare BArate sTAne sTAne rAmadAsasvAmiBirhanumanmandirARi sTApitAni maWAH sTApitAH maWADipatayaSca
sp010-000931_SR_30	kASyAm Bagavantam rAmacandram sTApayAmAsa saH prayAge veRImADavam antarvedyAm rAmakfzRO
sp010-000932_SR_30	ujjayinyAm jagannATam jagannATapuryAm padmanABam pratyasTApayat saH
sp010-000933_SR_30	jagannATapurItaste rAmeSvaraDAma gatAH
sp010-000934_SR_30	tataH param DAravAra mEsUra vaNgalUra velagA~vAn aDitizWantaste paRQarapuram prApuH
sp010-000935_SR_30	tatra sa kawihastam Bagavantam viwWalam dadarSa
sp010-000936_SR_30	hastO samAnIya rAmadAsastasya pramuKe tasTivAn
sp010-000937_SR_30	sa tulasIdAso maTurAyAm Bagavantam muralIDaramiva yayAce
sp010-000938_SR_31	vIramukuwamaRirabdaSyAma kaTamiha tizWasi he SrIrAma
sp010-000939_SR_31	DanuHSarO kim tyaktO rAma
