sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-000753_RV_02	varAhabarhiRAdimalinimnA aSyAmAni SyAmAni BavantIti SyAmAyamAnAni
sp002-000754_RV_02	lohitAdiqAjByaH kyaz iti kyazpratyayaH
sp002-000755_RV_02	vA kyazaH iti Atmanepade SAnac
sp002-000756_RV_02	mfgEraDyAsitA aDizWitAH SAdvalA yezu tAni
sp002-000757_RV_02	SAdAH SazpARyezu deSezu santIti SAdvalAH SazpaSyAmadeSAH
sp002-000758_RV_02	SAdvalaH SAdaharite ityamaraH
sp002-000759_RV_02	SAdaH kardamaSazpayoH iti viSvaH
sp002-000760_RV_02	naqaSAdAdqvalac iti qvalacpratyayaH
sp002-000761_RV_02	vanAni paSyanyayO
sp002-000762_RV_02	ApIneti
sp002-000763_RV_02	gfzwiH sakftprasUtA gOH
sp002-000764_RV_02	sakftprasUtA gOH gfzwiH iti halAyuDaH
sp002-000765_RV_02	narendraSca
sp002-000766_RV_02	uBO yaTAkramam
sp002-000767_RV_02	ApInamUDaH
sp002-000768_RV_02	UDastu klIbamApInam ityamaraH
sp002-000769_RV_02	ApInasya BArodvahane prayatnAtprayAsAt vapuzo gurutvAt ADikyAcca
sp002-000770_RV_02	aYcitAByAm cAruByAm gatAByAm gamanAByAm tapovanAdAvftteH panTAstam tapovanAvfttipaTam
sp002-000771_RV_02	fkpUrabDU ityAdinA samAsAnto apratyayaH
sp002-000772_RV_02	alaYcakratuH BUzitavantO
sp002-000773_RV_02	vasizWeti
sp002-000774_RV_02	vasizWaDenoH nandinyAH anuyAyinam anucaram vanAntAt AvartamAnam pratyAgacCantam tam dilIpam
sp002-000775_RV_02	vanitA janitAtyantAnurAgA sudakziRA vanitAjanitAtyantAnurAgAyAYca yoziti ityamaraH
sp002-000776_RV_02	nimezezu alasA mandA pakzmaRAm paNkiryasyAH sA
sp002-000777_RV_02	nimezarahitA satI ityarTaH
sp002-000778_RV_02	locanAByAm upozitAByAmiva upavAso BojananivfttiH
sp002-000779_RV_02	tam kftavadByAmiva vasateH kartari ktaH
sp002-000780_RV_02	papO
sp002-000781_RV_02	yaTA upozito atitfzRayA jalamaDikam pibati tadvat atitfzRayA sA sudakziRA dilIpamaDikam vyalokayad ityarTaH
sp002-000782_RV_02	puraskfteti
sp002-000783_RV_02	vartmani mArge pArTivena pfTivyA ISvareRa dilIpena
sp002-000784_RV_02	tasyeSvara iti aYpratyayaH
sp002-000785_RV_02	puraskftA agrataH kftA
sp002-000786_RV_02	Darmasya patnI DarmapatnI DarmArTapatnItyarTaH
sp002-000787_RV_02	aSvaGAsAdivattadarTye zazWIsamAsaH
sp002-000788_RV_02	tayA pArTivasya DarmapatnyA pratyudgatA aBimuKIkftA sA DenuH tadantare tayordampatyormaDye
sp002-000789_RV_02	dinakzapayordinarAtryoH maDyagatA sanDyeva
sp002-000790_RV_02	virarAja
sp002-000791_RV_02	pUrvArDenEva tadantaravartitvesidDe punaH tadantara iti grahaRam
sp002-000792_RV_02	atra upameyopamAnayoH kramAvasTAnamAtrasAdfSyavivakzArTam iti mantavyam
sp002-000793_RV_02	pradakziRIkftyeti
sp002-000794_RV_02	akzatAnAm pAtreRa saha vartete iti sAkzatapAtrO tAdfSO hastO yasyAH sA
sp002-000795_RV_02	sudakziRA payasvinIm praBUtakzIrAm tAm Denum pradakziRIkftya praRamya ca
sp002-000796_RV_02	asyAH DenoH viSAlam SfNgAntaram SfNgamaDyam
sp002-000797_RV_02	arTasidDeH kAryasidDeH dvAram praveSamArgamiva AnarcA arcayAmAsa
sp002-000798_RV_02	arca pUjAyAm
sp002-000799_RV_02	arcateH BOvAdikAlliw
sp002-000800_RV_02	liwi DAtorityAdinA dvitvam
sp002-000801_RV_02	tasmAt nuq ityAdinA nuqAgamaH
sp002-000802_RV_02	vatseti
sp002-000803_RV_02	DenuH
sp002-000804_RV_02	vatsotsukApi vatse utkaRWitA api stimitA niScalA satI
sp002-000805_RV_02	saparyAm pUjAm pUjA namasyApatiTiH saparyArcArhaRAH samA ityamaraH
sp002-000806_RV_02	pratyagrahIt iti hetoH tO dampatI nanandatuH
sp002-000807_RV_02	pUjAsvIkarasya Anandahetutvam Aha BaktyA iti
sp002-000808_RV_02	pUjyezu anurAgo BaktiH
sp002-000809_RV_02	tayA upapannezu yuktezu vizaye tadviDAnAm
sp002-000810_RV_02	tasyAH DenoH viDeva viDA prakAro yezAm tezAm
sp002-000811_RV_02	mahatAmityarTaH
sp002-000812_RV_02	prasAdasya cihnAni liNgAni pUjAsvIkArAdIni puraHPalAni
sp002-000813_RV_02	purogatAni pratyAsannAni PalAni yezAm tAni hi
sp002-000814_RV_02	avilambitaPalasUcakaliNgadarSanAt Anando yujyate iti BAvaH
sp002-000815_RV_02	guroriti
sp002-000816_RV_02	BujocCinnaripuH BujAByAm nAnyena sahAyena ucCinnAH utkarzeRa CinnAH
sp002-000817_RV_02	niHSezitAH ripavaH SatravaH yena sa taToktaH
sp002-000818_RV_02	dilIpaH sadArasya dArErarunDatyA saha vartamAnasya guroH
sp002-000819_RV_02	uBayorapItyarTaH
sp002-000820_RV_02	pAdO nipIqya aBivAdya
sp002-000821_RV_02	sAnDyam sanDyAyAm vihitam viDim anuzWAnam ca samApya
sp002-000822_RV_02	dohAvasAne nizaRRAm AsInAm dogDrImeva dohanaSIlAm Denumeva
sp002-000823_RV_02	tfn iti tfnpratyayaH
sp002-000824_RV_02	punaH Beje sevitavAn
sp002-000825_RV_02	Baja sevAyAmiti asmAt liw
sp002-000826_RV_02	BujocCinnaripurityanena asya nirBIkatvam sUcitam
sp002-000827_RV_02	dogDrIti nirupapadaprayogAt asyAH kAmaDuktvam gamyate
sp002-000828_RV_02	avaDAraRArTakaH ayamevakAraH asya kAryAntarapravfttyaBAvam boDayati
sp002-000829_RV_02	tAmiti
sp002-000830_RV_02	goptA rakzakaH saH gfhiRIsahAyaH patnIdvitIyassan
sp002-000831_RV_02	uBAvapItyarTaH
sp002-000832_RV_02	antike nyastAH balayaH pradIpASca yasyAstAm taToktAm karopahArayoH puMsi baliH prARyaNgajestriyAmityamaraH
sp002-000833_RV_02	tAm pUrvoktAm nizaRRAm Denum anvAsya anUpaviSya krameRa suptAm anu anantaram saMviveSa suzvApa
sp002-000834_RV_02	prAtaH suptotTitAm suptA ca sA uttiTA ca tAm anu udatizWit utTitavAn
sp002-000835_RV_02	atra anuSabdena DenurAjavyApArayoH pOrvAparyamucyate
sp002-000836_RV_02	kramaSabdena tu DenuvyApArARAmiti na pOnaruktyam
sp002-000837_RV_02	karmapravacanIyayukte iti dvitIyA
sp002-000838_RV_02	itTamiti
sp002-000839_RV_02	itTamanena prakAreRa prajArTam santAnAya mahizyA samam aBiziktapatnyA saha
sp002-000840_RV_02	kftABizekA mahizI ityamaraH
sp002-000841_RV_02	vratam DArayataH
sp002-000842_RV_02	mahanIyA pUjyA kIrtiryasya tasya
sp002-000843_RV_02	dInAnAm udDaraRe dEnyavimocane ucitasya paricitasya tasya nfpasya
sp002-000844_RV_02	trayo guRAH Avfttayo yezAm tAni triguRAni trirAvfttAni triguRitAni
sp002-000845_RV_02	sapta dinAni ekaviMSatidinAni ityarTaH vyatIyuH
sp002-000846_RV_02	anyedyuriti
sp002-000847_RV_02	anyedyuranyasmindine dvAviMSa dine ityarTaH
sp002-000848_RV_02	sadyaHparutparerityAdinA nipAtanAt avyayatvam
sp002-000849_RV_02	adyAtrAhnayaDa pUrveऽhnItyAdO pUrvottarAparAt
sp002-000850_RV_02	taTADarAnyAnyataretarAtpUrvedyurAdayaH ityamaraH
sp002-000851_RV_02	munihomaDenuH
sp002-000852_RV_02	AtmAnucarasya nfpasya BAvamaBiprAyam dfQaBaktitvam AkftirmatamAkUtam BAvoऽBiprAya ASayaH iti yAdavaH
sp002-000853_RV_02	jijYAsamAnA jYAtumicCanti
sp002-000854_RV_02	jYASrusmfdfSAm sanaH ityAtmanepadam tasmAcCAnac pratyayaH
sp002-000855_RV_02	prapatati asmin iti prapAtaH patanapradeSaH gaNgAyAH prapAtaH tasya ante samIpe
sp002-000856_RV_02	nirUQAni jAtAni SazpARi bAlatfRAni yasmin tat
sp002-000857_RV_02	Sazpam bAlatfRam GAsa ityamaraH
sp002-000858_RV_02	gOrIguroH pArvatIpituH himavataH gahvaram guhAm AviveSa
sp002-000859_RV_02	seti
sp002-000860_RV_02	sA DenuH hiMsrEH vyAGrAdiBiH GAtukajantuBiH manasApi duzpraDarzA durDarzeti hetoH
sp002-000861_RV_02	adriSoBAyAm prahitekzaRena dattadfzwinA nfpeRa alakzitam aByutpatanam ABimuKena
sp002-000862_RV_02	utplutsya patanam yasya saH siMhaH tAm Denum prasahya haWAt
sp002-000863_RV_02	prasahya tu haWArTakam ityamaraH
sp002-000864_RV_02	cakarza kila
sp002-000865_RV_02	kiletyalIke
sp002-000866_RV_02	tadIyamiti
sp002-000867_RV_02	guhAnibadDena pratiSabdena pratiDvaninA dIrGam
sp002-000868_RV_02	tasyAH idam tadIyam
sp002-000869_RV_02	Akranditam ArtaGozaH ArtezvApannezu sADorhitakAriRaH nfpasya dilIpasya nagendrasaktAm dfzwim
sp002-000870_RV_02	raSmizu pragrahezu
sp002-000871_RV_02	kiraRapragrahO raSmI ityamaraH
sp002-000872_RV_02	AdAyeva gfhyItveva
sp002-000873_RV_02	nivartayAmAsa
sp002-000874_RV_02	sa iti
sp002-000875_RV_02	DanurDaraH DanvI sa nfpaH pAwalAyAm raktavarRAyAm gavi DenvAm tasTivAMsam saMsTitam
sp002-000876_RV_02	kvasuSceti kvasupratyayaH
sp002-000877_RV_02	kesarA asya santIti kesarI tam siMham sAnumataH adreH
sp002-000878_RV_02	DAtavaH gErikAdayaH tezAm vikAroDAtumayI
sp002-000879_RV_02	tasyAm aDityakAyAm UrDvaBUmO
sp002-000880_RV_02	upatyakAdrerAsannA BUmirUrDvamaDityakA ityamaraH
sp002-000881_RV_02	upADiByAm tyakannAsannArUQayoriti tyakanpratyayaH
sp002-000882_RV_02	tasTivAMsam praPullam vikasitam
sp002-000883_RV_02	Pulla vikasana iti DAtoH pacAdyac
sp002-000884_RV_02	loDrAKyam drumamiva
sp002-000885_RV_02	dadarSa
sp002-000886_RV_02	praPultamiti takArAntapAWe YiPalA viSaraRa iti DAtoH kartari ktaH
sp002-000887_RV_02	ticeti akArasya ukArAdeSaH
sp002-000888_RV_02	DavalakesaratvAt siMhaloDradrumayoH sAdfSyam
sp002-000889_RV_02	tata iti
sp002-000890_RV_02	tataH siMhadarSanAnantaram mfgendragAmI siMhagAmI
sp002-000891_RV_02	SaraRam rakzaRam
sp002-000892_RV_02	SaraRam gfharakzitrorityamaraH
sp002-000893_RV_02	SaraRam rakzaRe gfhe iti yAdavaSca
sp002-000894_RV_02	SaraRe sADuH SaraRyaH tatra sADuriti yatpratyayaH
sp002-000895_RV_02	prasaBena balAtkAreRa udDftAH hatAH arayo vEriRo yena saH nfpatiH dilIpaH
sp002-000896_RV_02	jAtABizaNgaH jAtaparABavaH san
sp002-000897_RV_02	aBizaNgaH parABave ityamaraH
sp002-000898_RV_02	vaDyasya vaDArhasya
sp002-000899_RV_02	daRqAdiByo yaditi yatpratyayaH
sp002-000900_RV_02	mfgendrasya siMhasya vaDAya hananAya nizaNgAt tURIrAt tURopAsaNgatuRIranizaNgA izuDirdvayorityamaraH
sp002-000901_RV_02	SaramudDartumEcCat
sp002-000902_RV_02	ieza
sp002-000903_RV_02	vAmeti
sp002-000904_RV_02	prahartuH praharaRaSIlasya tasya vAmetaraH dakziRaH karaH
sp002-000905_RV_02	naKapraBABiH BUzitAni vicCuritAni kaNkasya pakziviSezasya patrARi yasya tasmin
sp002-000906_RV_02	kaNkastu karkawaskanDaH prakawaH kamalacCadaH kaNkaH pakziviSeze syAt guptAkAre yuDizWire iti yAdava viSvO
sp002-000907_RV_02	sAyakasya puNKa eva kartaryAKye mUlapradeSe
sp002-000908_RV_02	kartarI puNKa iti yAdavaH
sp002-000909_RV_02	saktANgulissan
sp002-000910_RV_02	citrArpitAramBa iva citraliKitaSarodDaraRodyoga iva
sp002-000911_RV_02	avatasTe sTitaH
sp002-000912_RV_02	bAhviti
sp002-000913_RV_02	bAhvoH pratizwamBena pratibanDena
sp002-000914_RV_02	pratibanDaH pratizwamBaH ityamaraH
sp002-000915_RV_02	vivfdDamanyuH pravfdDakopaH rAjA
sp002-000916_RV_02	mantrOzaDAByAm rudDavIryaH pratibadDaSaktiH BogIva sarpa iva
sp002-000917_RV_02	BogI rAjaBujaNgayoriti SASvataH
sp002-000918_RV_02	aByarRam Asannam
sp002-000919_RV_02	Agaskftam aparADakAriRam aspfSadBiH svatejoBiH antaH adahyata
sp002-000920_RV_02	aDikzepAdyasahanam tejaH prARAtyayezvapIti yAdavaH
sp002-000921_RV_02	tamiti
sp002-000922_RV_02	nigfhItA pIqitA Denuryena saH siMhaH
sp002-000923_RV_02	AryARAm satAm gfhyam pakzyam
sp002-000924_RV_02	padAsvEribAhyApakzyezu ca iti kyap
sp002-000925_RV_02	manuvaMSasya ketum cihnam ketuvadvyAvartakam
sp002-000926_RV_02	siMha iva urusattvaH mahAbalaH tam
sp002-000927_RV_02	Atmano vfttO bAhustamBanarUpa vyApAre aBUtapUrvatvAt vismitam
sp002-000928_RV_02	kartari ktaH
sp002-000929_RV_02	tam dilIpam manuzyavAcA karaRena
sp002-000930_RV_02	punarvismAyayan vismayamAScaryam prApayan nijagAda
sp002-000931_RV_02	smiNa IzadDasana iti DAtoH Rici vfdDO AyAdeSe Satfpratyaye sati vismAyayan iti rUpam sidDam
sp002-000932_RV_02	vismApayan iti pAWe tu pugAgamamAtram vaktavyam
sp002-000933_RV_02	tacca nityam smayateriti hetusmayavivakzAyAmeveti BIsmyorhetuBaya ityAtmanepade vismApayamAna iti syAt
sp002-000934_RV_02	yadvA manuzyavAkprayojyakartrI vismApayateH tayA siMho vismApayan iti nyantAdvA rUpamatra iti vyAKyeyam
sp002-000935_RV_02	alamiti
sp002-000936_RV_02	he mahIpAla tava SrameRa alam
sp002-000937_RV_02	sADyABAvAcCramo na kartavya ityarTaH
sp002-000938_RV_02	alam BUzaRaparyAptiSaktivAraRavAcakamityamaraH
sp002-000939_RV_02	atra gamyamAnasADanakriyApekzayA Sramasya karaRatvAt tftIyA
sp002-000940_RV_02	itoऽsminmayi
sp002-000941_RV_02	sArvaviBaktikastasiH
sp002-000942_RV_02	prayuktamapi astram vfTA syAt
sp002-000943_RV_02	taTAhi pAdaponmUlane Saktiryasya tat taToktam mArutasya
sp002-000944_RV_02	raMhaH vegaH Siloccaye parvate na mUrcCati na prasarati
sp002-000945_RV_02	kElAseti
sp002-000946_RV_02	kElAsa iva gOram SuBram vfzam ArurukzoH AroQumicCoH
sp002-000947_RV_02	cAmIkaram ca SuBram ca gOramAhurmanIziRaH iti SASvataH
sp002-000948_RV_02	azwO mUrtayo yasya tasya azwamUrteH Sivasya pAdArpaRam
sp002-000949_RV_02	pAdanyAsaH tadeva anugrahaH prasAdaH tena pUtam pfzWam yasya tam taToktam
sp002-000950_RV_02	SivaH svasyopari pAdam nikzipya vfzam ArohatIti BAvaH
sp002-000951_RV_02	nikumBamitram nikumBasadfSam kumBodaram nAma kiNkaram mAm avehi vidDi
sp002-000952_RV_02	pfTivI salilam tejo vAyurAkASameva ca
sp002-000953_RV_02	sUryAcandramasO somayAjI ca ityazwamUrtayaH
sp002-000954_RV_02	iti yAdavaH
sp002-000955_RV_02	amumiti
sp002-000956_RV_02	puraH agrataH sTitam amum devadArum paSyasIti kAkuH
sp002-000957_RV_02	asO devadAruH
sp002-000958_RV_02	vfzaBaH Dvaje yasya tena Sivena putrIkftaH putratvena svIkftaH
sp002-000959_RV_02	aBUtatadBAve cviH
sp002-000960_RV_02	yo devadAruH skandasya mAtuH gOryAH hemnaH kumBa eva stanaH
sp002-000961_RV_02	tasmAt niHsftAnAm payasAm ambUnAm rasajYaH svAdajYaH
sp002-000962_RV_02	skandapakze hemakumBa iva stana iti vigrahaH
sp002-000963_RV_02	payasAm kzIrARAm
sp002-000964_RV_02	payaH kzIram payoऽmbu ca ityamaraH
sp002-000965_RV_02	skandasamAnapremAspadamiti BAvaH
sp002-000966_RV_02	kaRqUyamAneneti
sp002-000967_RV_02	kadAcit kawam kapolam kaRqUyamAnena karzatA
sp002-000968_RV_02	kaRqavAdiByo yaka iti yak
sp002-000969_RV_02	tataH SAnac
sp002-000970_RV_02	vanyadvipena asya devadAroH tvak unmaTitA
sp002-000971_RV_02	aTa adreH tanayA gOrI
sp002-000972_RV_02	asurAstrEH AlIQam kzatam
sp002-000973_RV_02	senAm nayatIti senAnIH skandaH
sp002-000974_RV_02	pArvatInandanaskandassenAnIragniBUrguhaH ityamaraH
sp002-000975_RV_02	satsUdvize ityAdinA kvip
sp002-000976_RV_02	tamiva
sp002-000977_RV_02	enam devadArum SuSoca
sp002-000978_RV_02	tadeti
sp002-000979_RV_02	tatkAlaH praBftiH AdiH yasmin karmaRi tadyaTA Bavati taTA tadApraBftyeva
sp002-000980_RV_02	vanadvipAnAm trAsArTam BayArTam SUlaBftA Sivena
sp002-000981_RV_02	aNkam samIpam AgatAH prAptAH sattvAH prARinaH vfttiH AhAraH yasmin tat
sp002-000982_RV_02	aNkaH samIpa utsaNge cihne sTAnAparADayoriti keSavaH
sp002-000983_RV_02	siMhatvam viDAya
sp002-000984_RV_02	asmin adrikukzO guhAyAm aham vyApArito niyuktaH
sp002-000985_RV_02	tasyeti
sp002-000986_RV_02	parameSvareRa pradizwo nirdizwaH kAlo BojanavelA yasyAH sA upasTitA prAptA
sp002-000987_RV_02	ezA gorUpA SoRitapAraRA ruDirasya vratAntaBojanam
sp002-000988_RV_02	suradvizaH rAhoH candramasa iyam cAndramasI suDeva kzuDitasya
sp002-000989_RV_02	buBukzitasya tasya aNkAgatasattvavftteH me tfptyE alam paryAptA
sp002-000990_RV_02	namaHsvasti ityAdinA caturTI
sp002-000991_RV_02	sa iti
sp002-000992_RV_02	saH evamupAyaSUnyaH tvam lajjAm vihAya nivartasva
sp002-000993_RV_02	BavAn guroH darSitA prakASitA Sizyasya kartavyA BaktiH yena sa taToktaH
sp002-000994_RV_02	nanu guruDanam vinASya kaTam tatsamIpam gacCeyam ityata Aha SastreReti
sp002-000995_RV_02	yadrakzyam Danam SastreRa AyuDena
sp002-000996_RV_02	SastramAyuDalohayoriti amaraH
sp002-000997_RV_02	aSakyA rakzA yasya tadaSakyarakzam
sp002-000998_RV_02	rakzitumaSakyamityarTaH
sp002-000999_RV_02	tadrakzyam nazwamapi SastraBftAm yaSaH na kziRoti na hinasti
sp002-001000_RV_02	aSakyArTezu aprativiDAnam na dozAya iti BAvaH
sp002-001001_RV_02	itIti
sp002-001002_RV_02	puruzADirAjaH puruzARAm aDirAjo nfpaH iti itTam pragalBam prOQam mfgADirAjasya mfganAyakasya siMhasya
sp002-001003_RV_02	vacaH niSamya SrutvA giriSasya ISvarasya praBAvAt pratyAhatAstraH
sp002-001004_RV_02	kuRWitAstraH san Atmani vizaye avajYAm avamAnam rIQAvamAnanAvajYAvahelanam asUrkzaRam ityamaraH
sp002-001005_RV_02	SiTilIcakAra
sp002-001006_RV_02	tatyAja ityarTaH
sp002-001007_RV_02	avajYAtoऽhamiti nirvedam na prApa ityarTaH
sp002-001008_RV_02	samAnezu hi kzatriyARAmaBimAnaH na sarveSvaram prati iti BAvaH
sp002-001009_RV_02	pratyabravIditi
sp002-001010_RV_02	sa eva pUrvaH praTamaH BaNgaH pratibanDaH yasya sa tatpUrvaBaNgaH tasmin izuprayoge
sp002-001011_RV_02	bARaprayoge patrI ropa izurdvayorityamaraH vitaTa prayatnaH vyarTaprayAsaH
sp002-001012_RV_02	ata eva vajram mumukzan moktumicCan
sp002-001013_RV_02	tryambakavIkzaRena trIRi ambakAni locanAni yasya sa tryambako haraH
sp002-001014_RV_02	dfgdfzwinetralocanacakzuH nayanAmbakekzaRAkzIRIti halAyuDaH
sp002-001015_RV_02	tasya vIkzaRena jaqIkftaH nizpandIkftaH stamBita iti yAvat vajrapARirindraH
sp002-001016_RV_02	vajram pARO yasyeti vigrahaH
sp002-001017_RV_02	praharaRArTeByaH pare nizWAsaptamyO BavataH iti vaktavyamiti pARi Sabdasya uttaranipAtaH
sp002-001018_RV_02	sa iva sTitaH nfpaH enam siMham pratyabravIt
sp002-001019_RV_02	bAhum savajram Sakrasya kudDasya astamBayatpraBuH iti mahABArate
sp002-001020_RV_02	saMrudDeti
sp002-001021_RV_02	he mfgendra saMrudDacezwasya pratibadDavyApArasya mama tadvacaH kAmam hAsyam parihasanIyam
sp002-001022_RV_02	yadvacaH sa tvam madIyena SarIravfttim ityAdikam aham vivakzuH vaktumicCuH asmi
sp002-001023_RV_02	tarhi tUzRIm sTIyatAmityASaNkya ISvarakiNkaratvAt sarvajYam tvAm prati na hAsyamityAha antIrati
sp002-001024_RV_02	hi yasmAt kAraRAt BavAnprARaBftAm antargatam hfdgatam vAgvfttyA bahiraprakASitameva sarvam BAvam veda vetti
sp002-001025_RV_02	vido lawo veti RalAdeSaH
sp002-001026_RV_02	BavAn yogena praTamapuruza prayogaH ataH aBiDAsye vakzyAmi
sp002-001027_RV_02	vaca iti prakftam karma sambaDyate
sp002-001028_RV_02	anye tu IdfgvacanamAkarRya asamBAvitArTametat iti apahasanti
sp002-001029_RV_02	atastatra mOnameva BUzaRam
sp002-001030_RV_02	tvam tu vANmanasayorapyekaviDa eva ayamiti jAnAsi
sp002-001031_RV_02	ato aBiDAsye yadvacoऽham vivakzuH asmi tat ityarTaH
sp002-001032_RV_02	mAnya iti
sp002-001033_RV_02	sTAvarARAm taruSElAdInAm jaNgamAnAm manuzyAdInAm ca sargasTitipratyavahAra hetuH
sp002-001034_RV_02	sargaH sfzwiH sTitiH pAlanam pratyavahAraH pralayaH tezAm hetuH sa ISvaraH me mAnyaH pUjyaH
sp002-001035_RV_02	alaNGyaSAsana ityarTaH
sp002-001036_RV_02	SAsanam ca siMhatvamaNNkAgatasattvavftti ityAdi uktarUpam
sp002-001037_RV_02	tarhi visfjya gamyatAmityata Aha
sp002-001038_RV_02	guroriti
sp002-001039_RV_02	purastAt agre naSyadidam AhitAgneH guroH Danam gorUpam anupekzaRIyam
sp002-001040_RV_02	AhitAgneriti viSezaRena anupekzAkAraRam haviH sADanatvam ca sUcayati
sp002-001041_RV_02	sa iti
sp002-001042_RV_02	saH aNkAgatasattvavfttiH tvam madIyena dehena SarIra vfttim jIvanam nirvartayitum prasIda
sp002-001043_RV_02	dinAvasAne sAMyakAle utsuko mama mAtA AgamizyatIti utkaRWitaH
sp002-001044_RV_02	vabAlavatso yasyAH sA maharzeriyam Denu visfjyatAm
sp002-001045_RV_02	aTeti
sp002-001046_RV_02	aTa BUteSvarapArSvavartI anucaraH sa siMhaH gireH gahvarARAm guhAnAm
sp002-001047_RV_02	devaKAtabile guhA gahvaramityamaraH
sp002-001048_RV_02	anDakAram DvAntam daMzwrayoH mayUKEH kAntiBiH SakalAni KaRqAni kurvan nirasyannityarTaH
sp002-001049_RV_02	kiYcit vihasya arTapatim nfpam BUyaH baBAze
sp002-001050_RV_02	hAsakAraRam alpasya hetorbahuhAtumicCan ityAdikam vakzyamARam drazwavyam
sp002-001051_RV_02	ekAtapatramiti
sp002-001052_RV_02	ekAtapatram ekAcCatram jagataH praButvam svAmitvam navam vayaH yOvanam
sp002-001053_RV_02	idam kAntam ramaRIyam vapuSca
sp002-001054_RV_02	iti evam bahu
sp002-001055_RV_02	alpasya hetoH alpakAraRena alpaPalAya ityarTaH
sp002-001056_RV_02	zazWI hetuprayoge iti zazWI
sp002-001057_RV_02	hAtum tyaktum icCan tvam me vicAre kAryAkAryaparAmarSe mUQaH mandaH pratiBAsi
sp002-001058_RV_02	BUteti
sp002-001059_RV_02	tava BUtezu anukampA kfpA cet
sp002-001060_RV_02	kfpA dayAnukampA syAdityamaraH
sp002-001061_RV_02	kfpEva vartate cet ityarTaH
sp002-001062_RV_02	tvadante tava nASe satI iyamekA gOH
sp002-001063_RV_02	svasti kzemamasyAH astiti svastimatI Bavet
sp002-001064_RV_02	jIvet ityarTaH
sp002-001065_RV_02	svastyASIHkzemapuRyAdO ityamaraH
sp002-001066_RV_02	he prajAnATa jIvanpunaH piteva prajAH upaplaveByo vipaByaH SaSvatsadA
sp002-001067_RV_02	punaHsadArTayoH SaSvadityamaraH
sp002-001068_RV_02	pAsi rakzasi
sp002-001069_RV_02	svaprARavyayena ekaDenurakzaRAdvaram jIvitenEva SaSvat aKilajagatrARamityarTaH
sp002-001070_RV_02	aTeti
sp002-001071_RV_02	aTa pakzAntare
sp002-001072_RV_02	aTavA ekA Denuryasya tasmAt
sp002-001073_RV_02	ayam kopakAraRopanyAsa iti vijYeyam
sp002-001074_RV_02	ata eva aparADe gavopekzAlakzaRe sati caRqAt atikopanAt
sp002-001075_RV_02	caRqastu atyantakopanaH ityamaraH
sp002-001076_RV_02	ata eva kfSAnuH pratimA upamA yasya tasmAt agnikalpAt guroH biBezi iti kAkuH
sp002-001077_RV_02	BItrArTAnAm BayaheturityapAdAnAtpaYcamI
sp002-001078_RV_02	alpavittasya DanahAniH atiduHsahA iti BAvaH
sp002-001079_RV_02	asya guroH manyuH kroDaH
sp002-001080_RV_02	manyurdEnye kratO kruDItyamaraH
sp002-001081_RV_02	GawA iva UDAMsi yAsAm tAH GawoDnIH
sp002-001082_RV_02	UDaso anaN iti anaNAdeSaH
sp002-001083_RV_02	bahuvrIherUDaso NIz iti NIz
sp002-001084_RV_02	UDastu klIbamApInamityamaraH
sp002-001085_RV_02	kowiSaH gAH sparSayatA pratipAdayatA viSrARanam vitaraRam sparSanam pratipAdanamityamaraH
sp002-001086_RV_02	BavatA vinetum parihartum SakyaH
sp002-001087_RV_02	taditi
sp002-001088_RV_02	tattasmAtkAraRAt kalyARaparamparARAm BoktAram
sp002-001089_RV_02	karmaRi pazWI
sp002-001090_RV_02	Urjo balamasyAstIti Urjasvalam
sp002-001091_RV_02	jyotsnAtamisre tyAdinA valacpratyayAnto nipAtaH
sp002-001092_RV_02	AtmadehaMrakza
sp002-001093_RV_02	nanu gAmupekzya AtmadeharakzaRe svargahAniH syAdityata Aha mahItaleti
sp002-001094_RV_02	fdDam samfdDam rAjyam mahItalasparSanamAtreRa BUtalasambanDamAtreRa
sp002-001095_RV_02	Binnam Endram indrasambanDi padam sTAnam AhuH
sp002-001096_RV_02	svargAt na Bidyate ityarTaH
sp002-001097_RV_02	etAvaditi
sp002-001098_RV_02	mfgendre siMhe etAvaduktvA virate guhAgatena asya siMhasya pratisvanena SiloccayaH
sp002-001099_RV_02	SEloऽpi prItyA kzitipAlam tameva arDamuccEH aBAzateva iti utprekzA
sp002-001100_RV_02	BAzirityayam brUY DAtoH samAnArTakatvAt dvikarmakaH
sp002-001101_RV_02	brUYDAtustu dvikarmakezu paWitaH
sp002-001102_RV_02	taduktam duhyAcpacdaRqruDipracCicibrUSAsujimaTmuzAm karmayuk syAdakaTitam taTA syAt nIhfkfzvahAm
sp002-001103_RV_02	niSamyeti
sp002-001104_RV_02	devAnucarasya ISvarakiNkarasya siMhasya vAcam niSamya manuzyadevo rAjA punarapyuvAca
sp002-001105_RV_02	kimBUtaH san
sp002-001106_RV_02	tena siMhena yadaDyAsitam AkramaRam
sp002-001107_RV_02	napuMsake BAve ktaH
sp002-001108_RV_02	tena kAtare akziRI yasyAstayA
sp002-001109_RV_02	bahuvrIhO sakTyakzRoH svANgAtzac iti zac
sp002-001110_RV_02	zidgOrAdiByaSca iti NIz
sp002-001111_RV_02	kiMvA vakzatIti BItyA evam sTitayA ityarTaH
sp002-001112_RV_02	DenvA nirIkzyamARaH
