sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-003895_RV_14	nirAkarizRoH nirAsakasya
sp003-003896_RV_14	alaNkfY ityAdinA izRucpratyayaH
sp003-003897_RV_14	BartuH avarRam apavAdam na ca avadat nEva avAdIt
sp003-003898_RV_14	kintu sTiraduHKaBAjam ata eva duzkftinam AtmAnam eva punaH punaH nininda
sp003-003899_RV_14	ASvAsyeti
sp003-003900_RV_14	rAmAvarajaH lakzmaRaH satIm sADvIm tAm ASvAsya
sp003-003901_RV_14	AKyAtaH upadizwaH vAlmIkeH niketasya ASramasya mArgaH yena saH taToktassan
sp003-003902_RV_14	niGnasya parADInasya
sp003-003903_RV_14	aDIno niGna AyattaH ityamaraH
sp003-003904_RV_14	me BartfnideSena svAmyanujYayA hetunA yat rOkzyam pAruzyam tat he devi kzamasva
sp003-003905_RV_14	iti namraH praRataH baBUva
sp003-003906_RV_14	sIteti
sp003-003907_RV_14	sItA tam lakzmaRam utTApya vAkyam jagAda
sp003-003908_RV_14	kimiti
sp003-003909_RV_14	he sOmya sADo te prItAsmi
sp003-003910_RV_14	cirAya ciram jIva
sp003-003911_RV_14	yat yasmAt biqOjasena indrena vizRuH upendraH iva
sp003-003912_RV_14	agrajena jyezWena BrAtrA tvam itTam paravAn paratantraH asi
sp003-003913_RV_14	SvaSrUjanamiti
sp003-003914_RV_14	sarvam SvaSrUjanam anukrameRa prApitamatpraRAmassan
sp003-003915_RV_14	matpraRAmam uktvA ityarTaH
sp003-003916_RV_14	vijYApaya
sp003-003917_RV_14	kimiti
sp003-003918_RV_14	nizicyate iti nizekaH
sp003-003919_RV_14	mayi vartamAnam sUnoH tvatputrasya prajAnizekam garBam
sp003-003920_RV_14	cetasA anuDyAyata Sivamastu iti cintayata iti
sp003-003921_RV_14	vAcya iti
sp003-003922_RV_14	saH rAjA tvayA madvacanAt madvacanamiti kftvA
sp003-003923_RV_14	lyablope paYcamI
sp003-003924_RV_14	vAcyaH vaktavyaH
sp003-003925_RV_14	kimityata Aha vahnO ityAdiBiH saptaBiH SlokEH akzRoH samIpe samakzam
sp003-003926_RV_14	viBaktyarTe avyayIBAvaH saptamyarTe vA
sp003-003927_RV_14	avyayIBAve SaratpraBftiByaH iti samAsAntaH wacpratyayaH
sp003-003928_RV_14	samakzam agre vahnO viSudvAmapi mAm lokApavAdasya miTyApavAdasya SravaRAddetoH ahAsIH
sp003-003929_RV_14	atyAkzIH iti yat tat Srutasya praKyAtasya kulasya sadfSam kim
sp003-003930_RV_14	kintu asadfSam ityarTaH
sp003-003931_RV_14	yadvA Srutasya SravaRasya kulasya ca iti yojanA
sp003-003932_RV_14	kAmacArI asi iti BAvaH
sp003-003933_RV_14	kalyAReti
sp003-003934_RV_14	aTavA kalyARabudDeH suDiyaH tava kartuH mayi vizaye ayam tyAgaH
sp003-003935_RV_14	na kAmacAraH icCayA karaRam na SaNkanIyaH
sp003-003936_RV_14	kAmacAraSaNkApi na kriyate ityarTaH
sp003-003937_RV_14	kintu mamEva janmAntarapAtakAnAm aprasahyaH vipacyateti vipAkaH
sp003-003938_RV_14	PalitaH eva visPUrjaTuH aSaninirGozaH
sp003-003939_RV_14	sPUrjaTurvajranirGozaH ityamaraH
sp003-003940_RV_14	upasTitAmiti
sp003-003941_RV_14	pUrvam upasTitAm prAptAm lakzmIm apAsya mayA sArDam vanam prapannoऽsi prAptoऽsi
sp003-003942_RV_14	tat tasmAt tayA lakzmyA atirozAt tvadBavanam Aspadam pratizWAm
sp003-003943_RV_14	Aspadam pratizWAyAm iti nipAtaH
sp003-003944_RV_14	prApya vasantI aham soQA nAsmi
sp003-003945_RV_14	niSAcareti
sp003-003946_RV_14	niSAcarEH upaplutAH pIqitAH BartAraH yAsAm tAH niSAcaropaplutaBartfkAH
sp003-003947_RV_14	nadyftaSca iti kap pratyayaH
sp003-003948_RV_14	tAsAm tapasvinInAm BavataH prasAdAt anugrahAt SaraRyA SaraRasamarTA BUtvA
sp003-003949_RV_14	adya tvayi dIpyamAne prakASamAne satyeva SaraRArTam anyam tapasvinam kaTam prapatsye prApsyAmi
sp003-003950_RV_14	kiMveti
sp003-003951_RV_14	kiMvA aTavA tava sambanDinA atyantena punaHprAptirahitena viyogena moGe nizPale
sp003-003952_RV_14	asmin hatajIvite tucCajIvite upekzAm kuryAm kuryAmeva
sp003-003953_RV_14	rakzaRIyam rakzArham antargatam kukzisTam tvadIyam tejaH Sukram
sp003-003954_RV_14	garBarUpam Sukram tejoretasI ca bIjavIryendriyARi ca ityamaraH
sp003-003955_RV_14	me mama antarAyaH viGnaH na syAt yadi
sp003-003956_RV_14	seti
sp003-003957_RV_14	sA aham prasUteH UrDvam sUryanivizwadfzwiH satI taTAviDam tapaScaritum yatizye
sp003-003958_RV_14	yaTA BUyaH tena tapasA me mama jananAntareऽpi tvameva BartA syAH viprayogaSca na syAt
sp003-003959_RV_14	nfpasyeti
sp003-003960_RV_14	varRAnAm brAhmaRAdInAm ASramARAm brahmacaryAdInAm ca pAlanam
sp003-003961_RV_14	yat sa eva nfpasya DarmaH manunA praRItaH uktaH
sp003-003962_RV_14	ataH kAraRAt evam tvayA nirvAsitA nizkAsitApi aham tapasviBiH
sp003-003963_RV_14	sAmAnyam sADAraRam yaTA Bavati taTA avekzaRIyA
sp003-003964_RV_14	kalatradfzwyaBAveऽpi varRASramadfzwiH sItAyAm kartavyA ityarTaH
sp003-003965_RV_14	taTeti
sp003-003966_RV_14	taTeti tasyAH sItAyAH vAcam pratigfhya aNgIkftya rAmAnuje lakzmaRe
sp003-003967_RV_14	dfzwipaTam vyatIte atikrAnte sati sA sItA
sp003-003968_RV_14	vyasanAtiBArAt duHKAtirekAt muktakaRWam yaTAsyAt taTA
sp003-003969_RV_14	vAgvfttyA ityarTaH
sp003-003970_RV_14	vignA BItA kurarI iva utkroSI iva
sp003-003971_RV_14	utkroSakurarO samO utkroSakurarO samO ityamaraH
sp003-003972_RV_14	BUyaH BUyizWam cakranda cukroSa
sp003-003973_RV_14	nftyamiti
sp003-003974_RV_14	mayUrAH nftyam vijahuH tyaktavantaH
sp003-003975_RV_14	vfkzAH kusumAni
sp003-003976_RV_14	hariRyaH upAttAn darBAn
sp003-003977_RV_14	itTam tasyAH sItAyAH samaduHKaBAvam prapanne tulyaduHKatvam prApte vane api atyantam ruditam AsIt
sp003-003978_RV_14	taTA rAmageheऽpIti apiSabdArTaH
sp003-003979_RV_14	tAmiti
sp003-003980_RV_14	uzeDmAharaRAya yAtaH kaviH vAlmIkiH uditAnusArI san tAm sItAm aByagacCat
sp003-003981_RV_14	aBigamanam ca dayAlutayA ityAha
sp003-003982_RV_14	nizAdeti
sp003-003983_RV_14	nizAdena vyADena viSudDasya aRqajasya krOYcasya darSanena
sp003-003984_RV_14	utTaH utpannaH yasya SokaH Slokatvam Apadyata
sp003-003985_RV_14	SlokarUpeRa avocat ityarTaH
sp003-003986_RV_14	sa ca SlokaH paWyate
sp003-003987_RV_14	mA nizAda pratizWAm tvamagamaH SASvatIH samAH
sp003-003988_RV_14	yatkrOYcamiTunAdekamavaDIH kAmamohitam
sp003-003989_RV_14	tiraScAmapi duHKam na sehe
sp003-003990_RV_14	kimuta anyezAm iti BAvaH
sp003-003991_RV_14	tamiti
sp003-003992_RV_14	sItA vilApAt viratA satI netrAvaraRam dfzwipratibanDakam aSru pramfjya tam munim vavande
sp003-003993_RV_14	dohadaliNgadarSI garBacihnadarSI muniH tasyE sItAyE suputrASizam
sp003-003994_RV_14	tatprAptihetuBUtAm dASvAn dattavAn iti vakzyamARaprakAreRa uvAca
sp003-003995_RV_14	dASvAnsAhvAnmIQvAMSca iti kvasvantaH nipAtaH
sp003-003996_RV_14	jAna iti
sp003-003997_RV_14	tvAm miTyApavAdena kzuBitena BartrA visfzwAm tyaktAm praRiDAnataH samADidfzwyA jAne
sp003-003998_RV_14	he vEdehi vizayAntarasTam deSAntarasTam pituH janakasyEva niketam gfham prAptAsi
sp003-003999_RV_14	tat tasmAt mA vyaTizwAH mA SocIH
sp003-004000_RV_14	vyaTeH luN
sp003-004001_RV_14	na mANyoge iti aqAgamapratizeDaH
sp003-004002_RV_14	BartrA upekzitAnAm pitfgfhavAsa eva ucitaH iti BAvaH
sp003-004003_RV_14	utKAteti
sp003-004004_RV_14	utKAtalokatrayakaRwakeऽpi rAvaRAdikaRwakodDaraRena sarvalokopakAriRyapItyarTaH
sp003-004005_RV_14	satyapratijYe satyasanDeऽpi
sp003-004006_RV_14	avikatTane anAtmaSlAGinyapi
sp003-004007_RV_14	itTam snehapAtreऽpi tvAm prati akasmAt akAraRAt
sp003-004008_RV_14	kaluzapravfttO garhitavyApAre BaratAgraje me manyuH kopaH astyeva
sp003-004009_RV_14	sarvaguRAcCAdakoऽyam dozaH ityarTaH
sp003-004010_RV_14	sItAnunayArTaH ayam rAmopAlamBaH
sp003-004011_RV_14	taveti
sp003-004012_RV_14	urukIrtiH tava SvaSuraH daSaraTaH me saKA
sp003-004013_RV_14	te pitA janakaH satAm viduzAm BavocCedakaraH jYAnopadeSAdinA saMsAraduHKaDvaMsakArI
sp003-004014_RV_14	tvam patidevatAnAm pativratAnAm Duri agre sTitA
sp003-004015_RV_14	yena nimittena mama anukampyA anugrAhyA nAsi tatkim
sp003-004016_RV_14	na kiYcit ityarTaH
sp003-004017_RV_14	tapasvIti
sp003-004018_RV_14	tapasvisaMsargeRa vinItasattve SAntajantuke asmin tapovane vItaBayA nirBIkA vasa
sp003-004019_RV_14	itaH asminvane anaGaprasUteH suKaprasUteH te apatyasaMskAramayaH
sp003-004020_RV_14	jAtakarmAdirUpaH viDiH anuzWAnam Bavizyati
sp003-004021_RV_14	aSUnyeti
sp003-004022_RV_14	sanniviSante yezviti sanniveSAH uwajAH
sp003-004023_RV_14	aDikaraRArTe GaYpratyayaH
sp003-004024_RV_14	munInAm sanniveSEH uwajEH aSUnyatIrAm pUrRatIrAm tamasaH Sokasya pApasya vA apahantrIm
sp003-004025_RV_14	tamastu klIbe pApe narakaSokayoH ityamaraH
sp003-004026_RV_14	tamasAm nadIm vagAhya tatra snAtvA
sp003-004027_RV_14	balikriyApekzayA pUrvakAlitA
sp003-004028_RV_14	tasyAH sEkatotsaNgezu balikriyABiH izwadevatApUjAviDiBiH
sp003-004029_RV_14	te manasaH prasAdaH sampatsyate Bavizyati
sp003-004030_RV_14	puzpamiti
sp003-004031_RV_14	ftuH asya prAptaH Artavam
sp003-004032_RV_14	svakAlaprAptam ityarTaH
sp003-004033_RV_14	puzpam Palam ca
sp003-004034_RV_14	akfzwarohi akfzwakzetrotTam
sp003-004035_RV_14	akfzwapacyam ityarTaH
sp003-004036_RV_14	balaye hitam bAleyam pUjAyogyam
sp003-004037_RV_14	CadirupaDivalerQaY iti QaYpratyayaH
sp003-004038_RV_14	bIjam nIvArAdi DAnyam ca AharantyaH udAravAcaH pragalBagiraH
sp003-004039_RV_14	munikanyakAH navABizaNgAm nUtanaduHKAm tvAm vinodayizyanti
sp003-004040_RV_14	paya iti
sp003-004041_RV_14	tvabalAnurUpEH SvaSaktyanusAriBiH payasAm amBasAm GawEH
sp003-004042_RV_14	stanyEH iti ca Dvanyate
sp003-004043_RV_14	ASramabAlavfkzAn saMvarDayantI tvam tanayopapatteH prAk pUrvam asaMSayam yaTA taTA
sp003-004044_RV_14	stanam Dayati pibatIti stananDayaH SiSuH
sp003-004045_RV_14	nAsikAstanayoH DmADewoH iti KaSpratyayaH
sp003-004046_RV_14	arurdvizat ityAdinA mumAgamaH
sp003-004047_RV_14	tasmin yA prItiH tAm avApsyasi
sp003-004048_RV_14	tataH param sulaBa eva vinodaH iti BAvaH
sp003-004049_RV_14	anugraheti
sp003-004050_RV_14	dayArdracetAH vAlmIkiH
sp003-004051_RV_14	anugraham pratyaBinandatIti taToktAm tAm sItAm AdAya sAyam mfgEH
sp003-004052_RV_14	aDyAsitavedipArSvam aDizWitavediprAntam SAntamfgam svam ASramam ninAya
sp003-004053_RV_14	tAmiti
sp003-004054_RV_14	SokadInAm tAm sItAm tasyAH sItAyAH Agamena prItiH yAsAm tAsu tApasIzu
sp003-004055_RV_14	pitfBiH agnizu AttAdiBiH nirvizwasArAm BuktasArAm himAMSoH antyAm avaSizwAm
sp003-004056_RV_14	kalAm darSaH amAvAsyAkAlaH ozaDIzviva arpayAmAsa ca
sp003-004057_RV_14	atra parASaraH pibanti vimalam somam viSizwA tasya yA kalA
sp003-004058_RV_14	suDAmftamayIm puRyAm tAmindoH pitaro mune iti
sp003-004059_RV_14	vyAsaSca amAyAm tu sadA soma ozaDIH pratipadyate iti
sp003-004060_RV_14	tA iti
sp003-004061_RV_14	tAH tApasyaH tasyE sItAyE saparyAnupadam pUjAnantaram dinAnte
sp003-004062_RV_14	sAyaNkAle nivAsaH eva hetuH tasya nivAsahetoH
sp003-004063_RV_14	nivAsArTam ityarTaH
sp003-004064_RV_14	zazWI hetuprayoge iti zazWI
sp003-004065_RV_14	iNgudI tApasataruH ityamaraH
sp003-004066_RV_14	iNgudIsnehena kftapradIpam antaH AstIrRam eDyam SudDam
sp003-004067_RV_14	ajinameva talpam SayyA yasmiMstam uwajam parRaSAlAm viteruH daduH
sp003-004068_RV_14	tatreti
sp003-004069_RV_14	tatra ASrame aBizekeRa snAnena prayatA niyatA vasantI viDinA SAstreRa atiTiByaH prayuktapUjA
sp003-004070_RV_14	kftasatkArA valkalinI sA sItA patyuH prajAsantataye santAnAvicCedAya hetoH
sp003-004071_RV_14	vanyena kandamUlAdinA SarIram baBAra pupoza
sp003-004072_RV_14	apIti
sp003-004073_RV_14	praBuH rAjA aDunApi sAnuSayaH sAnuSayaH sAnutApaH syAt kim iti kAkuH
sp003-004074_RV_14	utsukaH SakrajitaH indrajitaH hantA lakzmaRoऽpi sItAparidevanAntam
sp003-004075_RV_14	sItAvilApAntam anuzWitam SAsanam agrajAya SaSaMsa
sp003-004076_RV_14	baBUveti
sp003-004077_RV_14	sahasA sapadi sabAzpaH rAmaH
sp003-004078_RV_14	tuzAravarzI sahasyacandra iva baBUva
sp003-004079_RV_14	atyaSrutayA tuzAravarziRA pOzacandreRa tulyaH aBUt
sp003-004080_RV_14	pOze tEzasahasyO dvO ityamaraH
sp003-004081_RV_14	yuktam ca etat ityAha kOlInAt lokApavAdAt BItena tena rAmeRa vEdehasutA sItA gfhAnnirastA
sp003-004082_RV_14	na manastaH manasaH cittAt na nirastA
sp003-004083_RV_14	paYcamyAstasil
sp003-004084_RV_14	nigfhyeti
sp003-004085_RV_14	DImAn varRAnAm ASramARAm ca avekzaRe anusanDAne jAgarUkaH apramattaH jAgurUkaH ityUkapratyayaH
sp003-004086_RV_14	rajoriktamanAH rajoguRaSUnyacetAH saH rAmaH svayameva Sokam nigfhya niruDya BrAtfBiH sADAraRaBogam
sp003-004087_RV_14	SarIrasTitimAtropayuktam ityarTaH
sp003-004088_RV_14	fdDam rAjyam SaSAsa
sp003-004089_RV_14	tAmiti
sp003-004090_RV_14	parivAdaBIroH nindABIroH ata eva ekaBAryAmapi sADvImapi tAm sItAm tyaktavataH nfpasya
sp003-004091_RV_14	vakzasi asaNGawwasuKam asamBAvyasuKam vasantI lakzmIH sapatnIrahitA iva reje didIpe
sp003-004092_RV_14	tasya stryantaraparigrahaH nABUt iti BAvaH
sp003-004093_RV_14	sItAmiti
sp003-004094_RV_14	dASamuKaripuH rAmaH sItAm hitvA tyaktvA anyAm striyam na upayeme na pariRItavAn iti yat
sp003-004095_RV_14	upAdyamaH svakaraRe ityAtmanepadam
sp003-004096_RV_14	kiYca
sp003-004097_RV_14	tasyAH sItAyAH eva pratikfteH pratimAyAH hiraRmayyAH
sp003-004098_RV_14	saKA pratikftisaKaH san kratUn AjahAra AhftavAn iti yat tena
sp003-004099_RV_14	SravaRavizayaprApiRA SrotradeSagAminA BartuH vfttAntena vArtayA hetunA sA sItA
sp003-004100_RV_14	durvAram durniroDam parityAgena yadduHKam tat kaTamapi vizehe visoQavatI
sp003-004101_RV_14	iti mahAmahopADyAyakolAcalamallinATasUriviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp003-004102_RV_14	mahAkaviSrIkAlidAsakftO raGuvaMSe mahAkAvye sItAparityAgo
sp003-004103_RV_14	nAma caturdaSaH sargaH
sp003-004104_RV_15	kfteti
sp003-004105_RV_15	kftasItAparityAgaH saH pfTivIpAlaH rAmaH ratnAkaraH eva meKalA yasyAstAm
sp003-004106_RV_15	sArRavAm ityarTaH
sp003-004107_RV_15	kevalAm
sp003-004108_RV_15	ekAm ityarTaH
sp003-004109_RV_15	pfTivImeva buBuje BuktavAn
sp003-004110_RV_15	natu pArTivIm ityarTaH
sp003-004111_RV_15	sApi ratnaKacitameKalA
sp003-004112_RV_15	pfTivyAH kAntAsamADiH vyajyate rAmasya stryantaraparigrahaH nAstIti SlokABiprAyaH
sp003-004113_RV_15	lavaReneti
sp003-004114_RV_15	lavaRena lavaRAKyena tAmisreRa tamisrAcAriRA
sp003-004115_RV_15	rakzasA ityarTaH
sp003-004116_RV_15	viluptejyAH luptayAgakriyAH ata eva SaraRArTinaH rakzaRArTinaH yamunABAjaH yamunAtIravAsinaH munayaH
sp003-004117_RV_15	SaraRyam SaraRArham rakzaRasamarTam tam rAmam rakzitAram aByayuH prAptAH
sp003-004118_RV_15	yAteH laN
sp003-004119_RV_15	avekzyeti
sp003-004120_RV_15	te munayaH rAmam avekzya
sp003-004121_RV_15	rakzitAram iti SezaH
sp003-004122_RV_15	tasmin lavaRe svatejasA SAparUpeRa na prajahruH
sp003-004123_RV_15	taTAhi
sp003-004124_RV_15	trAyata iti trARam rakzakam
sp003-004125_RV_15	kartari lyuw
sp003-004126_RV_15	tadaBAve SApa eva astram yezAm te SApAstrAH santaH tapasaH vyayam kurvanti
sp003-004127_RV_15	SApadAnAt tapasaH vyayaH iti prasidDeH
sp003-004128_RV_15	pratIti
sp003-004129_RV_15	kAkutsTaH rAmaH teByaH muniByaH viGnapratikriyAm lavaRavaDarUpAm pratiSuSrAva pratijajYe
sp003-004130_RV_15	taTAhi
sp003-004131_RV_15	Buvi SArNgiRaH vizRoH pravfttiH rAmarUpeRAvataraRam DarmasaMrakzaRameva arTaH prayojanam yasyAH sA taTEva
sp003-004132_RV_15	ta iti
sp003-004133_RV_15	te munayaH rAmAya vibuDadvizaH surAreH lavaRasya vaDopAyam AcaKyuH
sp003-004134_RV_15	lunAtIti lavaRaH
sp003-004135_RV_15	nandyAditvAt lyuH
sp003-004136_RV_15	tatrEva nipAtanAt Ratvam
sp003-004137_RV_15	lavaRaH SUlI SUlavAn durjayaH ajeyaH
sp003-004138_RV_15	kintu viSUlaH SUlarahitaH prArTyatAm aBigamyatAm
sp003-004139_RV_15	yAcYAyAm aBimAne ca prArTanA kaTyate buDEH iti keSavaH
sp003-004140_RV_15	AdideSeti
sp003-004141_RV_15	aTa tezAm munInAm kzemAya kzemakaraRAya rAGavaH rAmaH SatruGnam AdideSa
sp003-004142_RV_15	atra utprekzyate asya SatruGnasya nAma arinigrahaRAt SatruhananAt hetoH
sp003-004143_RV_15	yaTABUtaH arTaH yasya tat yaTArTam karizyanniva
sp003-004144_RV_15	SatrUn hantIti SatruGnaH
sp003-004145_RV_15	amanuzyakartfke ca iti cakArAt kftaGna SatruGnAdayaH sidDAH iti durgasiMhaH
sp003-004146_RV_15	pARinIyeऽpi bahulagrahaRAt yaTezwasidDiH kftyalyuwo bahulam iti
sp003-004147_RV_15	rAmasya svayam aprayARe hetum Aha
sp003-004148_RV_15	ya iti
sp003-004149_RV_15	hi yasmAt
sp003-004150_RV_15	parAn SatrUn tApayatIti parantapaH
sp003-004151_RV_15	dvizatparayostApeH iti KacpratyayaH
sp003-004152_RV_15	Kaci hrasvaH iti hrasvaH
sp003-004153_RV_15	raGURAm maDye yaH kaScana ekaH
sp003-004154_RV_15	apavAdaH viSezaSAstram utsargam sAmAnyaSAstram iva
sp003-004155_RV_15	param Satrum vyAvartayitum bADitum ISvaraH samarTaH
sp003-004156_RV_15	ataH SatruGnameva AdideSa iti pUrveRa anvayaH
sp003-004157_RV_15	agrajeneti
sp003-004158_RV_15	tataH agrajena rAmeRa prayuktASIH kftASIrvAdaH raTI raTikaH aBIH nirBIkaH dASaraTiH
sp003-004159_RV_15	puzpARi saYjAtAni yAsAm tAH puzpitAH suraBIH AmodamAnAH vanasTalIH paSyan yayO
sp003-004160_RV_15	rAmeti
sp003-004161_RV_15	rAmAdeSAt anugatA senA tasya SatruGnasya
sp003-004162_RV_15	aDyayanam arTaH aBiDeyaH yasya tasya DAtoH iNaDyayane ityasya DAtoH paScAt aDiH aDyupasargaH iva
sp003-004163_RV_15	arTasidDaye prayojanasADanAya ityekatra
sp003-004164_RV_15	anyatra aBiDeyasADanAya aBavat
sp003-004165_RV_15	arToऽBiDeyarEvastuprayojananivfttizu ityamaraH
sp003-004166_RV_15	yaTA iNikO aDyupasargam na vyaBicarataH iti nyAyena aDyupasargaH svayameva
sp003-004167_RV_15	arTasADakasya DAtoH sanniDimAtreRa upakaroti senApi tasya tadvat iti BAvaH
sp003-004168_RV_15	Adizweti
sp003-004169_RV_15	raTaprazWEH raTAgragAmiBiH
sp003-004170_RV_15	prazWoऽgragAmini iti nipAtaH
sp003-004171_RV_15	muniBiH pUrvoktEH AdizwavartmA nirdizwamArgaH gacCan tapatAm dedIpyamAnAnAm maDye varaH SrezWaH saH SatruGnaH
sp003-004172_RV_15	bAlaKilyEH muniBiH aMSumAn sUryaH iva virarAja
sp003-004173_RV_15	teऽpi raTaprazWAH ityanusanDeyam
sp003-004174_RV_15	tasyeti
sp003-004175_RV_15	yataH gacCataH
sp003-004176_RV_15	iRDAtoH SatfpratyayaH
sp003-004177_RV_15	tasya SatruGnasya mArgavaSAt raTasvane utkaRWA udgrIvAH mfgAH yasmin tasmin vAlmIkIye vAlmIkisambanDini
sp003-004178_RV_15	tadDAcCaH iti CapratyayaH
sp003-004179_RV_15	tapovane ekA vasatI rAtriH baBUva
sp003-004180_RV_15	tatra ekAm rAtrim uzitaH ityarTaH
sp003-004181_RV_15	vasatI rAtriveSmanoH ityamaraH
sp003-004182_RV_15	tamiti
sp003-004183_RV_15	klAntavAhanam SrAntayugyam tam kumAram SatruGnam fziH vAlmIkiH
sp003-004184_RV_15	tapapraBAvasidDABiH viSezapratipattiBiH utkfzwasamBAvanABiH pUjayAmAsa
sp003-004185_RV_15	tasyAmiti
sp003-004186_RV_15	tasyAmeva yAminyAm rAtrO asya SatruGnasya
sp003-004187_RV_15	antaH asya astIti antarvatnI garBiRI
sp003-004188_RV_15	antarvatnI ca garBiRI ityamaraH
sp003-004189_RV_15	antarvatpativatornuk iti NIp nugAgamaSca
sp003-004190_RV_15	prajAvatI BrAtfjAyA sItA
sp003-004191_RV_15	kzitiH sampannO samagrO koSadaRqO iva sutO asUta
sp003-004192_RV_15	santAneti
sp003-004193_RV_15	BrAtuH jyezWasya santAnaSravaRAt hetoH sOmanasyavAn prItimAn
sp003-004194_RV_15	sOmitriH SatruGnaH prAtaH yuktaraTaH sajjaraTassan
sp003-004195_RV_15	prAYjaliH kftAYjaliH munim Amantrya ApfcCya yayO
sp003-004196_RV_15	sa ceti
sp003-004197_RV_15	saH SatruGnaSca maDUpaGnam nAma lavaRapuram prApa
sp003-004198_RV_15	kumBInasI nAma rAvaRasvasA
sp003-004199_RV_15	tasyAH kukzijaH putraH lavaRaSca vanAt karam balimiva sattvAnAm prARinAm rASimam AdAya upasTitaH prAptaH
sp003-004200_RV_15	DUmeti
sp003-004201_RV_15	kimBUtaH lavaRaH
sp003-004202_RV_15	DUma iva DUmraH kfzRalohitavarRaH
sp003-004203_RV_15	DUmraDUmalO kfzRalohite ityamaraH
sp003-004204_RV_15	vasAganDaH hfnmedoganDaH
sp003-004205_RV_15	saH asyAstIti vasAganDI
sp003-004206_RV_15	hfnmedastu vapA vasA ityamaraH
sp003-004207_RV_15	jvAlAH iva baBravaH piSaNgAH SiroruhAH keSA yasya saH taToktaH
sp003-004208_RV_15	vipule nakule vizRO baBruH syAt piNgale trizu ityamaraH
sp003-004209_RV_15	kravyam mAMsam adantIti kravyAdaH rAkzasAH tezAm gaRaH eva parivAraH yasya saH taToktaH
sp003-004210_RV_15	ata eva jaNgamaH carizRuH citAgniriva sTitaH
sp003-004211_RV_15	kfSAnupakze DUmEH DUmravarRaH
sp003-004212_RV_15	jvAlAH eva SiroruhAH
sp003-004213_RV_15	kravyAdaH gfDrAdayaH ityanusanDeyam
sp003-004214_RV_15	apaSUlamiti
sp003-004215_RV_15	lakzmaRAnujaH SatruGnaH apaSUlam SUlarahitam tam lavaRam AsAdya ruroDa
sp003-004216_RV_15	taTAhi
sp003-004217_RV_15	ranDraprahAriRAm ranDrapraharaRaSIlAnAm
sp003-004218_RV_15	apaSUlatEva atra ranDram
sp003-004219_RV_15	jayaH sammuKIno hi samuKasya darSano hi
sp003-004220_RV_15	yaTAmuKasammuKasya darSanaH KaH iti KapratyayaH
sp003-004221_RV_15	aDikAralakzaRArTastu durlaBa eva
sp003-004222_RV_15	neti
sp003-004223_RV_15	itIti
sp003-004224_RV_15	yugmam
sp003-004225_RV_15	rAkzasaH lavaRaH adya matkukzeH Bujyata iti Bojanam
sp003-004226_RV_15	Bojyam mfgAdikam nAtiparyAptam anatisamagram Alakzya dfzwvA BIteneva
sp003-004227_RV_15	DAtrA dizwyA BAgyena me tvam upapAditaH kalpitoऽsi
sp003-004228_RV_15	iti SatruGnam santarjya tasya SatruGnasya jiGAMsayA hantumicCayA prAMSum unnatam drumam
sp003-004229_RV_15	mustAstambamiva akleSena utpAwayAmAsa
sp003-004230_RV_15	sOmitreriti
sp003-004231_RV_15	nErfteritaH rakzapreritaH SAKi antarA maDye niSitEH bAREH
sp003-004232_RV_15	SakalIkftassan sOmitreH SatruGnasya gAtram na prApa
sp003-004233_RV_15	kintu puzparajaH prApa
sp003-004234_RV_15	vinASAditi
sp003-004235_RV_15	rakzaH lavaRaH tasya vinASAt hetoH
sp003-004236_RV_15	mahopalam mahAntam pAzARam pfTaksTitam kftAntasya yamasya muzwim iva
sp003-004237_RV_15	muzwiSabdaH dviliNgaH tasmE SatruGnAya prajiGAya prahitavAn
sp003-004238_RV_15	Endramiti
sp003-004239_RV_15	saH mahopalaH SatruGnena endram indradevatAkam astram upAdAya tAqitaH aBihatassan
sp003-004240_RV_15	sikatABAvAdapi parAm paramARutAm prapede
sp003-004241_RV_15	yataH aRurnAsti saH paramARuH ityAhuH
sp003-004242_RV_15	tamiti
sp003-004243_RV_15	niSAcaraH rAkzasaH dakziRam doH
sp003-004244_RV_15	kakuddozaRI iti BagavataH BAzyakArasya prayogAt dozaSabdasya napuMsakatvam drazwavyam
sp003-004245_RV_15	BujabAhU pravezwo doH iti puMliNgasAhacaryAt puMstva ca
sp003-004246_RV_15	taTA ca prayogaH dozam tasya taTAviDasya Bajate iti
sp003-004247_RV_15	savyetaram bAhum udyamya
sp003-004248_RV_15	ekaH tAlaH tadAKyavfkzaH yasmin saH ekatAlaH
sp003-004249_RV_15	utpAtapavanena preritaH giririva
sp003-004250_RV_15	tam SatruGnam upAdravat aBidrutaH
sp003-004251_RV_15	kArzReneti
sp003-004252_RV_15	saH SatruH lavaRaH
sp003-004253_RV_15	kArzRena vEzRavena patriRA bARena
sp003-004254_RV_15	uktam ca rAmAyaRe evameza prajanito vizRostejomayaH SaraH iti
sp003-004255_RV_15	vizRurnArAyaRa kfzRaH ityamaraH
sp003-004256_RV_15	BinnahfdayaH patan BuvaH kampam AninAya AnItavAn
sp003-004257_RV_15	dehaBArAt ityarTaH
sp003-004258_RV_15	ASramavAsinAm kampam jahAra
